Part Number,Bearing Number,Shaft Size,Base to Center Height,Bolt Spacing Min,Bolt Spacing Max,C0 - Static Load,C - Dynamic Load (Basic),CAD,LinkToPart,Engineering Group,Bearing Number,Shaft Size,Shaft Size Type,Full Timken Part Number,Locking Style,Housing Construction,UPC Code,Dimension A,Dimension B,Dimension C,Dimension D Min,Dimension D Max,Dimension F,Dimension G,Dimension H,Dimension J (Bolt Size),Dimension L,Dimension RV,Dimension SV,C0 - Static Load,C - Dynamic Load (Basic),e - Geometry Factor,Y1 - Geometry Factor,Y2 - Geometry Factor,Oil Lubrication - M/N Seal,Oil Lubrication - T Seal,Oil Lubrication - B/C/O Seal,Grease Lubrication - M/N Seal,Grease Lubrication - T Seal,Grease Lubrication - B/C/O Seal,Float,Shaft Tolerance,Eng Internal Radial Clearance - Min,Eng Internal Radial Clearance - Max,Pre Install Clearance Min,Pre Install Clearance Max
QVPL16V212S,22216 ,2 3/4 in,3.25 in / 82.6 mm,7.7 in / 195.6 mm,8.4 in / 213.4 mm,62500 lbf / 278000 N,57200 lbf / 254000 N,,https://cad.timken.com/item/single-v-lock-solid-block-mounted-bearings/single-v-lock-two-bolt-pillow-block/qvpl16v212s,Mounted Bearing,22216,2 3/4 in,Imperial,QVPL16V212SB/QVPL16V212SC/QVPL16V212SEB/QVPL16V212SEC/QVPL16V212SEM/QVPL16V212SEN/QVPL16V212SEO/QVPL16V212SET/QVPL16V212SM/QVPL16V212SN/QVPL16V212SO/QVPL16V212ST,Single V-Lock,Two-Bolt Pillow Block,0883450113175/0883450113199/0883450113205/0883450113212/0883450172097/0883450172851/0883450202862/0883450203241/0883450215282/0883450215664/0883450227704/0883450228084,3.25 in/82.6 mm,6.59 in/167.4 mm,4.19 in/106.4 mm,7.7 in/195.6 mm,8.4 in/213.4 mm,10.44 in/265.2 mm,3 in/76.2 mm,1.38 in/35.1 mm,0.75 in/20 mm,3.59 in/91.2 mm,0.2 in/5.1 mm,3.29 in/83.6 mm,62500 lbf/278000 N,57200 lbf/254000 N,0.22,3.14,4.67,1500 rpm,2650 rpm,1200 rpm,1500 rpm,2200 rpm,1150 rpm,0.083 in/2.108 mm,0.0020 in/0.051 mm,0.0037,0.0047,0.0037 in/0.095 mm,0.0047 in/0.120 mm
QVPA16V212S,22216 ,2 3/4 in,3.5 in / 88.9 mm,9 in / 228.6 mm,11 in / 279.4 mm,62500 lbf / 278000 N,57200 lbf / 254000 N,,https://cad.timken.com/item/single-v-lock-solid-block-mounted-bearings/single-v-lock-two-bolt-pillow-block/qvpa16v212s,Mounted Bearing,22216,2 3/4 in,Imperial,QVPA16V212SB/QVPA16V212SC/QVPA16V212SEB/QVPA16V212SEC/QVPA16V212SEM/QVPA16V212SEN/QVPA16V212SEO/QVPA16V212SET/QVPA16V212SM/QVPA16V212SN/QVPA16V212SO/QVPA16V212ST,Single V-Lock,Two-Bolt Pillow Block,883450564199/883450564205/883450583060/883450583077/883450583084/883450583091/883450583107/883450583114/883450583121/883450583138/883450583145/883450583152,3.5 in/88.9 mm,6.96 in/176.7 mm,4.19 in/106.4 mm,9 in/228.6 mm,11 in/279.4 mm,13 in/330.2 mm,2.86 in/72.6 mm,1.25 in/31.8 mm,0.75 in/20 mm,3.47 in/88.2 mm,0.23 in/5.8 mm,3.06 in/77.8 mm,62500 lbf/278000 N,57200 lbf/254000 N,0.22,3.14,4.67,1500 rpm,2650 rpm,1200 rpm,1500 rpm,2200 rpm,1150 rpm,0.083 in/2.108 mm,0.0020 in/0.051 mm,0.0037,0.0047,0.0037 in/0.095 mm,0.0047 in/0.120 mm
QVPN16V212S,22216 ,2 3/4 in,3.74 in / 95 mm,9.25 in / 235 mm,10.5 in / 266.7 mm,62500 lbf / 278000 N,57200 lbf / 254000 N,,https://cad.timken.com/item/single-v-lock-solid-block-mounted-bearings/single-v-lock-two-bolt-pillow-block/qvpn16v212s,Mounted Bearing,22216,2 3/4 in,Imperial,QVPN16V212SB/QVPN16V212SC/QVPN16V212SEB/QVPN16V212SEC/QVPN16V212SEM/QVPN16V212SEN/QVPN16V212SEO/QVPN16V212SET/QVPN16V212SM/QVPN16V212SN/QVPN16V212SO/QVPN16V212ST,Single V-Lock,Two-Bolt Pillow Block,883450422420/883450422437/883450422444/883450422451/883450422468/883450422475/883450422482/883450422499/883450422505/883450422512/883450422529/883450422536,3.74 in/95 mm,7.1 in/180.3 mm,4.17 in/106 mm,9.25 in/235 mm,10.5 in/266.7 mm,12.4 in/315 mm,2.86 in/72.5 mm,1.25 in/31.8 mm,0.75 in/20 mm,3.52 in/89.4 mm,0.12 in/3 mm,3.35 in/85.2 mm,62500 lbf/278000 N,57200 lbf/254000 N,0.22,3.14,4.67,1500 rpm,2650 rpm,1200 rpm,1500 rpm,2200 rpm,1150 rpm,0.083 in/2.108 mm,0.0020 in/0.051 mm,0.0037,0.0047,0.0037 in/0.095 mm,0.0047 in/0.120 mm
QVSN16V212S,22216 ,2 3/4 in,3.74 in / 95 mm,9.49 in / 241 mm,10.98 in / 279 mm,62500 lbf / 278000 N,57200 lbf / 254000 N,,https://cad.timken.com/item/single-v-lock-solid-block-mounted-bearings/single-v-lock-two-bolt-pillow-block/qvsn16v212s,Mounted Bearing,22216,2 3/4 in,Imperial,QVSN16V212SB/QVSN16V212SC/QVSN16V212SEB/QVSN16V212SEC/QVSN16V212SEM/QVSN16V212SEN/QVSN16V212SEO/QVSN16V212SET/QVSN16V212SM/QVSN16V212SN/QVSN16V212SO/QVSN16V212ST,Single V-Lock,Two-Bolt Pillow Block,0883450147279/0883450147286/0883450147316/0883450147323/0883450177412/0883450177856/0883450205023/0883450205405/0883450217446/0883450217828/0883450229869/0883450230247,3.74 in/95 mm,7.2 in/183 mm,4.17 in/106 mm,9.49 in/241 mm,10.98 in/279 mm,12.44 in/316 mm,2.99 in/76 mm,1.33 in/34 mm,0.75 in/20 mm,3.58 in/91 mm,0.29 in/7.4 mm,3.29 in/83.6 mm,62500 lbf/278000 N,57200 lbf/254000 N,0.22,3.14,4.67,1500 rpm,2650 rpm,1200 rpm,1500 rpm,2200 rpm,1150 rpm,0.083 in/2.108 mm,0.0020 in/0.051 mm,0.0037,0.0047,0.0037 in/0.095 mm,0.0047 in/0.120 mm
QVPXT16V212S,22216 ,2 3/4 in,3.5 in / 88.9 mm,9.06 in / 230.1 mm,10.44 in / 265.2 mm,62500 lbf / 278000 N,57200 lbf / 254000 N,,https://cad.timken.com/item/single-v-lock-solid-block-mounted-bearings/single-v-lock-two-bolt-pillow-block/qvpxt16v212s,Mounted Bearing,22216,2 3/4 in,Imperial,QVPXT16V212SB/QVPXT16V212SC/QVPXT16V212SEB/QVPXT16V212SEC/QVPXT16V212SEM/QVPXT16V212SEN/QVPXT16V212SEO/QVPXT16V212SET/QVPXT16V212SM/QVPXT16V212SN/QVPXT16V212SO/QVPXT16V212ST,Single V-Lock,Two-Bolt Pillow Block,,3.5 in/88.9 mm,6.84 in/173.7 mm,4.19 in/106.4 mm,9.06 in/230.1 mm,10.44 in/265.2 mm,13 in/330.2 mm,2.98 in/75.7 mm,1.38 in/35.1 mm,0.875 in/24 mm,3.58 in/90.9 mm,0.24 in/6 mm,3.29 in/83.6 mm,62500 lbf/278000 N,57200 lbf/254000 N,0.22,3.14,4.67,1500 rpm,2650 rpm,1200 rpm,1500 rpm,2200 rpm,1150 rpm,0.083 in/2.108 mm,0.0020 in/0.051 mm,0.0037,0.0047,0.0037 in/0.095 mm,0.0047 in/0.120 mm
QVP16V215S,22216 ,2 15/16 in,3.13 in / 79.5 mm,7.8 in / 198.1 mm,9.63 in / 244.6 mm,62500 lbf / 278000 N,57200 lbf / 254000 N,,https://cad.timken.com/item/single-v-lock-solid-block-mounted-bearings/single-v-lock-two-bolt-pillow-block/qvp16v215s,Mounted Bearing,22216,2 15/16 in,Imperial,QVP16V215SB/QVP16V215SC/QVP16V215SEB/QVP16V215SEC/QVP16V215SEM/QVP16V215SEN/QVP16V215SEO/QVP16V215SET/QVP16V215SM/QVP16V215SN/QVP16V215SO/QVP16V215ST,Single V-Lock,Two-Bolt Pillow Block,0883450110952/0883450110976/0883450110983/0883450110990/0883450170604/0883450171359/0883450202121/0883450202503/0883450214544/0883450214926/0883450226967/0883450227346,3.13 in/79.5 mm,6.47 in/164.3 mm,4.19 in/106.4 mm,7.8 in/198.1 mm,9.63 in/244.6 mm,11.63 in/295.4 mm,3 in/76.2 mm,1.38 in/35.1 mm,0.75 in/20 mm,3.59 in/91.2 mm,0.22 in/5.6 mm,3.29 in/83.6 mm,62500 lbf/278000 N,57200 lbf/254000 N,0.22,3.14,4.67,1500 rpm,2650 rpm,1200 rpm,1500 rpm,2200 rpm,1150 rpm,0.083 in/2.108 mm,0.0020 in/0.051 mm,0.0037,0.0047,0.0037 in/0.095 mm,0.0047 in/0.120 mm
QVPA17V215S,22217 ,2 15/16 in,3.75 in / 95.3 mm,9.5 in / 241.3 mm,11 in / 279.4 mm,71900 lbf / 320000 N,66900 lbf / 297000 N,,https://cad.timken.com/item/single-v-lock-solid-block-mounted-bearings/single-v-lock-two-bolt-pillow-block/qvpa17v215s,Mounted Bearing,22217,2 15/16 in,Imperial,QVPA17V215SB/QVPA17V215SC/QVPA17V215SEB/QVPA17V215SEC/QVPA17V215SEM/QVPA17V215SEN/QVPA17V215SEO/QVPA17V215SET/QVPA17V215SETHT/QVPA17V215SM/QVPA17V215SN/QVPA17V215SO/QVPA17V215ST/QVPA17V215STHT,Single V-Lock,Two-Bolt Pillow Block,0883450048194/0883450048224/0883450206068/0883450206211/0883450218498/0883450218641/0883450230919/0883450231060/0883450239653/0883450239806/0883450244619/0883450244763/0883450460576/0883450462785,3.75 in/95.3 mm,7.32 in/186 mm,4.19 in/106.4 mm,9.5 in/241.3 mm,11 in/279.4 mm,12.63 in/320.8 mm,3 in/76.2 mm,1.33 in/33.8 mm,0.75 in/20 mm,3.59 in/91.2 mm,0.28 in/7.1 mm,3.33 in/84.6 mm,71900 lbf/320000 N,66900 lbf/297000 N,0.22,3.07,4.57,1400 rpm,2400 rpm,1100 rpm,1400 rpm,2000 rpm,1100 rpm,0.083 in/2.108 mm,0.0020 in/0.051 mm,0.0037,0.0047,0.0037 in/0.095 mm,0.0047 in/0.120 mm
QVPL16V215S,22216 ,2 15/16 in,3.25 in / 82.6 mm,7.7 in / 195.6 mm,8.4 in / 213.4 mm,62500 lbf / 278000 N,57200 lbf / 254000 N,,https://cad.timken.com/item/single-v-lock-solid-block-mounted-bearings/single-v-lock-two-bolt-pillow-block/qvpl16v215s,Mounted Bearing,22216,2 15/16 in,Imperial,QVPL16V215SB/QVPL16V215SC/QVPL16V215SEB/QVPL16V215SEC/QVPL16V215SEM/QVPL16V215SEMNP/QVPL16V215SEMNPFG/QVPL16V215SEN/QVPL16V215SEO/QVPL16V215SET/QVPL16V215SETNG/QVPL16V215SM/QVPL16V215SMNP/QVPL16V215SMNPFG/QVPL16V215SN/QVPL16V215SO/QVPL16V215ST,Single V-Lock,Two-Bolt Pillow Block,0883450113236/0883450113250/0883450113267/0883450113274/0883450172110/0883450172875/0883450202886/0883450203265/0883450215305/0883450215688/0883450227728/0883450228107/0883450457897/0883450493826/0883450493833/0883450497367/0883450497374,3.25 in/82.6 mm,6.59 in/167.4 mm,4.19 in/106.4 mm,7.7 in/195.6 mm,8.4 in/213.4 mm,10.44 in/265.2 mm,3 in/76.2 mm,1.38 in/35.1 mm,0.75 in/20 mm,3.59 in/91.2 mm,0.2 in/5.1 mm,3.29 in/83.6 mm,62500 lbf/278000 N,57200 lbf/254000 N,0.22,3.14,4.67,1500 rpm,2650 rpm,1200 rpm,1500 rpm,2200 rpm,1150 rpm,0.083 in/2.108 mm,0.0020 in/0.051 mm,0.0037,0.0047,0.0037 in/0.095 mm,0.0047 in/0.120 mm
QVPN17V215S,22217 ,2 15/16 in,3.75 in / 95.3 mm,9.5 in / 241.3 mm,11 in / 279.4 mm,71900 lbf / 320000 N,66900 lbf / 297000 N,,https://cad.timken.com/item/single-v-lock-solid-block-mounted-bearings/single-v-lock-two-bolt-pillow-block/qvpn17v215s,Mounted Bearing,22217,2 15/16 in,Imperial,QVPN17V215SB/QVPN17V215SC/QVPN17V215SEB/QVPN17V215SEC/QVPN17V215SEM/QVPN17V215SEN/QVPN17V215SEO/QVPN17V215SET/QVPN17V215SM/QVPN17V215SN/QVPN17V215SO/QVPN17V215ST,Single V-Lock,Two-Bolt Pillow Block,0883450057868/0883450057967/0883450205771/0883450205917/0883450218191/0883450218344/0883450230612/0883450230766/0883450239356/0883450239509/0883450244312/0883450244466,3.75 in/95.3 mm,7.32 in/185.9 mm,4.29 in/109 mm,9.5 in/241.3 mm,11 in/279.4 mm,12.63 in/320.8 mm,3 in/76.2 mm,1.33 in/34 mm,0.75 in/20 mm,3.61 in/91.7 mm,0.28 in/7.1 mm,3.33 in/84.6 mm,71900 lbf/320000 N,66900 lbf/297000 N,0.22,3.07,4.57,1400 rpm,2400 rpm,1100 rpm,1400 rpm,2000 rpm,1100 rpm,0.083 in/2.108 mm,0.0020 in/0.051 mm,0.0037,0.0047,0.0037 in/0.095 mm,0.0047 in/0.120 mm
QVSN16V215S,22216 ,2 15/16 in,3.74 in / 95 mm,9.49 in / 241 mm,10.98 in / 279 mm,62500 lbf / 278000 N,57200 lbf / 254000 N,,https://cad.timken.com/item/single-v-lock-solid-block-mounted-bearings/single-v-lock-two-bolt-pillow-block/qvsn16v215s,Mounted Bearing,22216,2 15/16 in,Imperial,QVSN16V215SB/QVSN16V215SC/QVSN16V215SEB/QVSN16V215SEC/QVSN16V215SEM/QVSN16V215SEN/QVSN16V215SEO/QVSN16V215SET/QVSN16V215SM/QVSN16V215SN/QVSN16V215SO/QVSN16V215ST,Single V-Lock,Two-Bolt Pillow Block,0883450147477/0883450147484/0883450147514/0883450147521/0883450177436/0883450177870/0883450205047/0883450205429/0883450217460/0883450217842/0883450229883/0883450230261,3.74 in/95 mm,7.2 in/183 mm,4.17 in/106 mm,9.49 in/241 mm,10.98 in/279 mm,12.44 in/316 mm,2.99 in/76 mm,1.33 in/34 mm,0.75 in/20 mm,3.58 in/91 mm,0.29 in/7.4 mm,3.29 in/83.6 mm,62500 lbf/278000 N,57200 lbf/254000 N,0.22,3.14,4.67,1500 rpm,2650 rpm,1200 rpm,1500 rpm,2200 rpm,1150 rpm,0.083 in/2.108 mm,0.0020 in/0.051 mm,0.0037,0.0047,0.0037 in/0.095 mm,0.0047 in/0.120 mm
QVPXT16V215S,22216 ,2 15/16 in,3.5 in / 88.9 mm,9.06 in / 230.1 mm,10.44 in / 265.2 mm,62500 lbf / 278000 N,57200 lbf / 254000 N,,https://cad.timken.com/item/single-v-lock-solid-block-mounted-bearings/single-v-lock-two-bolt-pillow-block/qvpxt16v215s,Mounted Bearing,22216,2 15/16 in,Imperial,QVPXT16V215SB/QVPXT16V215SC/QVPXT16V215SEB/QVPXT16V215SEC/QVPXT16V215SEM/QVPXT16V215SEMNP/QVPXT16V215SEMNPFG/QVPXT16V215SEN/QVPXT16V215SEO/QVPXT16V215SET/QVPXT16V215SETNG/QVPXT16V215SM/QVPXT16V215SMNP/QVPXT16V215SMNPFG/QVPXT16V215SN/QVPXT16V215SO/QVPXT16V215ST,Single V-Lock,Two-Bolt Pillow Block,,3.5 in/88.9 mm,6.84 in/173.7 mm,4.19 in/106.4 mm,9.06 in/230.1 mm,10.44 in/265.2 mm,13 in/330.2 mm,2.98 in/75.7 mm,1.38 in/35.1 mm,0.875 in/24 mm,3.58 in/90.9 mm,0.24 in/6 mm,3.29 in/83.6 mm,62500 lbf/278000 N,57200 lbf/254000 N,0.22,3.14,4.67,1500 rpm,2650 rpm,1200 rpm,1500 rpm,2200 rpm,1150 rpm,0.083 in/2.108 mm,0.0020 in/0.051 mm,0.0037,0.0047,0.0037 in/0.095 mm,0.0047 in/0.120 mm
QVP16V300S,22216 ,3 in,3.13 in / 79.5 mm,7.8 in / 198.1 mm,9.63 in / 244.6 mm,62500 lbf / 278000 N,57200 lbf / 254000 N,,https://cad.timken.com/item/single-v-lock-solid-block-mounted-bearings/single-v-lock-two-bolt-pillow-block/qvp16v300s,Mounted Bearing,22216,3 in,Imperial,QVP16V300SB/QVP16V300SC/QVP16V300SEB/QVP16V300SEC/QVP16V300SEM/QVP16V300SEN/QVP16V300SEO/QVP16V300SET/QVP16V300SM/QVP16V300SN/QVP16V300SO/QVP16V300ST/QVP16V300STNG,Single V-Lock,Two-Bolt Pillow Block,0883450111010/0883450111034/0883450111041/0883450111058/0883450170611/0883450171366/0883450202138/0883450202510/0883450214551/0883450214933/0883450226974/0883450227353/0883450492348,3.13 in/79.5 mm,6.47 in/164.3 mm,4.19 in/106.4 mm,7.8 in/198.1 mm,9.63 in/244.6 mm,11.63 in/295.4 mm,3 in/76.2 mm,1.38 in/35.1 mm,0.75 in/20 mm,3.59 in/91.2 mm,0.22 in/5.6 mm,3.29 in/83.6 mm,62500 lbf/278000 N,57200 lbf/254000 N,0.22,3.14,4.67,1500 rpm,2650 rpm,1200 rpm,1500 rpm,2200 rpm,1150 rpm,0.083 in/2.108 mm,0.0020 in/0.051 mm,0.0037,0.0047,0.0037 in/0.095 mm,0.0047 in/0.120 mm
QVPA17V300S,22217 ,3 in,3.75 in / 95.3 mm,9.5 in / 241.3 mm,11 in / 279.4 mm,71900 lbf / 320000 N,66900 lbf / 297000 N,,https://cad.timken.com/item/single-v-lock-solid-block-mounted-bearings/single-v-lock-two-bolt-pillow-block/qvpa17v300s,Mounted Bearing,22217,3 in,Imperial,QVPA17V300SB/QVPA17V300SC/QVPA17V300SEB/QVPA17V300SEC/QVPA17V300SEM/QVPA17V300SEN/QVPA17V300SEO/QVPA17V300SET/QVPA17V300SM/QVPA17V300SN/QVPA17V300SO/QVPA17V300ST,Single V-Lock,Two-Bolt Pillow Block,0883450048293/0883450048323/0883450206075/0883450206228/0883450218504/0883450218658/0883450230926/0883450231077/0883450239660/0883450239813/0883450244626/0883450244770,3.75 in/95.3 mm,7.32 in/186 mm,4.19 in/106.4 mm,9.5 in/241.3 mm,11 in/279.4 mm,12.63 in/320.8 mm,3 in/76.2 mm,1.33 in/33.8 mm,0.75 in/20 mm,3.59 in/91.2 mm,0.28 in/7.1 mm,3.33 in/84.6 mm,71900 lbf/320000 N,66900 lbf/297000 N,0.22,3.07,4.57,1400 rpm,2400 rpm,1100 rpm,1400 rpm,2000 rpm,1100 rpm,0.083 in/2.108 mm,0.0020 in/0.051 mm,0.0037,0.0047,0.0037 in/0.095 mm,0.0047 in/0.120 mm
QVPL16V300S,22216 ,3 in,3.25 in / 82.6 mm,7.7 in / 195.6 mm,8.4 in / 213.4 mm,62500 lbf / 278000 N,57200 lbf / 254000 N,,https://cad.timken.com/item/single-v-lock-solid-block-mounted-bearings/single-v-lock-two-bolt-pillow-block/qvpl16v300s,Mounted Bearing,22216,3 in,Imperial,QVPL16V300SB/QVPL16V300SC/QVPL16V300SEB/QVPL16V300SEC/QVPL16V300SEM/QVPL16V300SEN/QVPL16V300SEO/QVPL16V300SET/QVPL16V300SM/QVPL16V300SN/QVPL16V300SO/QVPL16V300ST,Single V-Lock,Two-Bolt Pillow Block,0883450113298/0883450113311/0883450113328/0883450113335/0883450172127/0883450172882/0883450202893/0883450203272/0883450215312/0883450215695/0883450227735/0883450228114,3.25 in/82.6 mm,6.59 in/167.4 mm,4.19 in/106.4 mm,7.7 in/195.6 mm,8.4 in/213.4 mm,10.44 in/265.2 mm,3 in/76.2 mm,1.38 in/35.1 mm,0.75 in/20 mm,3.59 in/91.2 mm,0.2 in/5.1 mm,3.29 in/83.6 mm,62500 lbf/278000 N,57200 lbf/254000 N,0.22,3.14,4.67,1500 rpm,2650 rpm,1200 rpm,1500 rpm,2200 rpm,1150 rpm,0.083 in/2.108 mm,0.0020 in/0.051 mm,0.0037,0.0047,0.0037 in/0.095 mm,0.0047 in/0.120 mm
QVPN17V300S,22217 ,3 in,3.75 in / 95.3 mm,9.5 in / 241.3 mm,11 in / 279.4 mm,71900 lbf / 320000 N,66900 lbf / 297000 N,,https://cad.timken.com/item/single-v-lock-solid-block-mounted-bearings/single-v-lock-two-bolt-pillow-block/qvpn17v300s,Mounted Bearing,22217,3 in,Imperial,QVPN17V300SB/QVPN17V300SC/QVPN17V300SEB/QVPN17V300SEC/QVPN17V300SEM/QVPN17V300SEN/QVPN17V300SEO/QVPN17V300SET/QVPN17V300SM/QVPN17V300SN/QVPN17V300SO/QVPN17V300ST,Single V-Lock,Two-Bolt Pillow Block,0883450058063/0883450058162/0883450205788/0883450205924/0883450218207/0883450218351/0883450230629/0883450230773/0883450239363/0883450239516/0883450244329/0883450244473,3.75 in/95.3 mm,7.32 in/185.9 mm,4.29 in/109 mm,9.5 in/241.3 mm,11 in/279.4 mm,12.63 in/320.8 mm,3 in/76.2 mm,1.33 in/34 mm,0.75 in/20 mm,3.61 in/91.7 mm,0.28 in/7.1 mm,3.33 in/84.6 mm,71900 lbf/320000 N,66900 lbf/297000 N,0.22,3.07,4.57,1400 rpm,2400 rpm,1100 rpm,1400 rpm,2000 rpm,1100 rpm,0.083 in/2.108 mm,0.0020 in/0.051 mm,0.0037,0.0047,0.0037 in/0.095 mm,0.0047 in/0.120 mm
QVSN16V300S,22216 ,3 in,3.74 in / 95 mm,9.49 in / 241 mm,10.98 in / 279 mm,62500 lbf / 278000 N,57200 lbf / 254000 N,,https://cad.timken.com/item/single-v-lock-solid-block-mounted-bearings/single-v-lock-two-bolt-pillow-block/qvsn16v300s,Mounted Bearing,22216,3 in,Imperial,QVSN16V300SB/QVSN16V300SC/QVSN16V300SEB/QVSN16V300SEC/QVSN16V300SEM/QVSN16V300SEN/QVSN16V300SEO/QVSN16V300SET/QVSN16V300SM/QVSN16V300SN/QVSN16V300SO/QVSN16V300ST,Single V-Lock,Two-Bolt Pillow Block,0883450147576/0883450147583/0883450147613/0883450147620/0883450177443/0883450177887/0883450205054/0883450205436/0883450217477/0883450217859/0883450229890/0883450230278,3.74 in/95 mm,7.2 in/183 mm,4.17 in/106 mm,9.49 in/241 mm,10.98 in/279 mm,12.44 in/316 mm,2.99 in/76 mm,1.33 in/34 mm,0.75 in/20 mm,3.58 in/91 mm,0.29 in/7.4 mm,3.29 in/83.6 mm,62500 lbf/278000 N,57200 lbf/254000 N,0.22,3.14,4.67,1500 rpm,2650 rpm,1200 rpm,1500 rpm,2200 rpm,1150 rpm,0.083 in/2.108 mm,0.0020 in/0.051 mm,0.0037,0.0047,0.0037 in/0.095 mm,0.0047 in/0.120 mm
QVPXT16V300S,22216 ,3 in,3.5 in / 88.9 mm,9.06 in / 230.1 mm,10.44 in / 265.2 mm,62500 lbf / 278000 N,57200 lbf / 254000 N,,https://cad.timken.com/item/single-v-lock-solid-block-mounted-bearings/single-v-lock-two-bolt-pillow-block/qvpxt16v300s,Mounted Bearing,22216,3 in,Imperial,QVPXT16V300SB/QVPXT16V300SC/QVPXT16V300SEB/QVPXT16V300SEC/QVPXT16V300SEM/QVPXT16V300SEN/QVPXT16V300SEO/QVPXT16V300SET/QVPXT16V300SM/QVPXT16V300SN/QVPXT16V300SO/QVPXT16V300ST,Single V-Lock,Two-Bolt Pillow Block,,3.5 in/88.9 mm,6.84 in/173.7 mm,4.19 in/106.4 mm,9.06 in/230.1 mm,10.44 in/265.2 mm,13 in/330.2 mm,2.98 in/75.7 mm,1.38 in/35.1 mm,0.875 in/24 mm,3.58 in/90.9 mm,0.24 in/6 mm,3.29 in/83.6 mm,62500 lbf/278000 N,57200 lbf/254000 N,0.22,3.14,4.67,1500 rpm,2650 rpm,1200 rpm,1500 rpm,2200 rpm,1150 rpm,0.083 in/2.108 mm,0.0020 in/0.051 mm,0.0037,0.0047,0.0037 in/0.095 mm,0.0047 in/0.120 mm
QVP19V303S,22219 ,3 3/16 in,3.75 in / 95.3 mm,9.38 in / 238.3 mm,11.25 in / 285.8 mm,99000 lbf / 441000 N,86600 lbf / 385000 N,,https://cad.timken.com/item/single-v-lock-solid-block-mounted-bearings/single-v-lock-two-bolt-pillow-block/qvp19v303s,Mounted Bearing,22219,3 3/16 in,Imperial,QVP19V303SB/QVP19V303SC/QVP19V303SEB/QVP19V303SEC/QVP19V303SEM/QVP19V303SEN/QVP19V303SEO/QVP19V303SET/QVP19V303SM/QVP19V303SN/QVP19V303SO/QVP19V303ST,Single V-Lock,Two-Bolt Pillow Block,0883450111195/0883450111218/0883450111225/0883450111232/0883450170635/0883450171380/0883450202152/0883450202534/0883450214575/0883450214957/0883450226998/0883450227377,3.75 in/95.3 mm,7.69 in/195.3 mm,4.9 in/124.5 mm,9.38 in/238.3 mm,11.25 in/285.8 mm,13.5 in/342.9 mm,3.41 in/86.6 mm,1.88 in/47.8 mm,0.875 in/24 mm,4.02 in/102.1 mm,0.23 in/5.8 mm,3.69 in/93.7 mm,99000 lbf/441000 N,86600 lbf/385000 N,0.23,2.88,4.29,1300 rpm,2200 rpm,1000 rpm,1300 rpm,1800 rpm,950 rpm,0.083 in/2.108 mm,0.0030 in/0.076 mm,0.0043,0.0055,0.0043 in/0.110 mm,0.0055 in/0.140 mm
QVPA20V303S,22220 ,3 3/16 in,4.5 in / 114.3 mm,10.88 in / 276.4 mm,12.88 in / 327.2 mm,113000 lbf / 502000 N,97700 lbf / 435000 N,,https://cad.timken.com/item/single-v-lock-solid-block-mounted-bearings/single-v-lock-two-bolt-pillow-block/qvpa20v303s,Mounted Bearing,22220,3 3/16 in,Imperial,QVPA20V303SB/QVPA20V303SC/QVPA20V303SEB/QVPA20V303SEC/QVPA20V303SEM/QVPA20V303SEN/QVPA20V303SEO/QVPA20V303SET/QVPA20V303SM/QVPA20V303SN/QVPA20V303SO/QVPA20V303ST,Single V-Lock,Two-Bolt Pillow Block,0883450146371/0883450146524/0883450151870/0883450152020/0883450165075/0883450168243/0883450182089/0883450183154/0883450259026/0883450260077/0883450281836/0883450281980,4.5 in/114.3 mm,8.63 in/219.2 mm,4.9 in/124.5 mm,10.88 in/276.4 mm,12.88 in/327.2 mm,14.5 in/368.3 mm,3.42 in/86.9 mm,1.63 in/41.4 mm,0.875 in/24 mm,4.03 in/102.4 mm,0.19 in/4.8 mm,3.75 in/95.3 mm,113000 lbf/502000 N,97700 lbf/435000 N,0.24,2.85,4.24,1200 rpm,2000 rpm,900 rpm,1200 rpm,1600 rpm,900 rpm,0.083 in/2.108 mm,0.0030 in/0.076 mm,0.0043,0.0055,0.0043 in/0.110 mm,0.0055 in/0.140 mm
