Part Number,Bearing Number,Shaft Size,Base to Center Height,Bolt Spacing Min,Bolt Spacing Max,C0 - Static Load,C - Dynamic Load (Basic),CAD,LinkToPart,Engineering Group,Bearing Number,Shaft Size,Shaft Size Type,Full Timken Part Number,Locking Style,Housing Construction,UPC Code,Dimension A,Dimension B,Dimension C,Dimension D Min,Dimension D Max,Dimension F,Dimension G,Dimension H,Dimension J (Bolt Size),Dimension KA,Dimension L,Dimension M,Dimension RA,Dimension SA,C0 - Static Load,C - Dynamic Load (Basic),e - Geometry Factor,Y1 - Geometry Factor,Y2 - Geometry Factor,Oil Lubrication - M/N Seal,Oil Lubrication - T Seal,Oil Lubrication - B/C/O Seal,Grease Lubrication - M/N Seal,Grease Lubrication - T Seal,Grease Lubrication - B/C/O Seal,Float,Shaft Tolerance,Eng Internal Radial Clearance - Min,Eng Internal Radial Clearance - Max,Pre Install Clearance Min,Pre Install Clearance Max
QAP08A108S,22208 ,1 1/2 in,2.13 in / 54.1 mm,4.69 in / 119.1 mm,6.5 in / 165.1 mm,22400 lbf / 99700 N,23400 lbf / 104000 N,,https://cad.timken.com/item/single-concentric-solid-block-mounted-bearings/single-concentric-two-bolt-pillow-block/qap08a108s,Mounted Bearing,22208,1 1/2 in,Imperial,QAP08A108SB/QAP08A108SC/QAP08A108SEB/QAP08A108SEC/QAP08A108SEM/QAP08A108SEN/QAP08A108SEO/QAP08A108SET/QAP08A108SM/QAP08A108SN/QAP08A108SO/QAP08A108ST/QAP08A108STNG,Single Concentric,Two-Bolt Pillow Block,0883450403337/0883450403344/0883450403351/0883450403368/0883450403375/0883450403382/0883450403399/0883450403405/0883450403412/0883450403429/0883450403436/0883450403443/0883450493864,2.13 in/54.1 mm,3.98 in/101.1 mm,2.38 in/60.5 mm,4.69 in/119.1 mm,6.5 in/165.1 mm,7.88 in/200.2 mm,2.25 in/57.2 mm,1 in/25.4 mm,0.5 in/12 mm,1 in/25.4 mm,2.88 in/73.2 mm,1.75 in/44.5 mm,0.13 in/3.3 mm,2.75 in/69.9 mm,22400 lbf/99700 N,23400 lbf/104000 N,0.27,2.47,3.67,2700 rpm,4500 rpm,1950 rpm,2700 rpm,4000 rpm,1950 rpm,0.050 in/1.270 mm,0.0010 in/0.025 mm,0.0012,0.0018,0.0012 in/0.030 mm,0.0018 in/0.045 mm
QAPL08A108S,22208 ,1 1/2 in,1.88 in / 47.8 mm,4.69 in / 119.1 mm,6 in / 152.4 mm,22400 lbf / 99700 N,23400 lbf / 104000 N,,https://cad.timken.com/item/single-concentric-solid-block-mounted-bearings/single-concentric-two-bolt-pillow-block/qapl08a108s,Mounted Bearing,22208,1 1/2 in,Imperial,QAPL08A108SB/QAPL08A108SC/QAPL08A108SEB/QAPL08A108SEC/QAPL08A108SEM/QAPL08A108SEN/QAPL08A108SEO/QAPL08A108SET/QAPL08A108SM/QAPL08A108SN/QAPL08A108SO/QAPL08A108ST,Single Concentric,Two-Bolt Pillow Block,883450403696/883450403702/883450403719/883450403726/883450403733/883450403740/883450403757/883450403764/883450403771/883450403788/883450403795/883450403801,1.88 in/47.8 mm,3.73 in/94.7 mm,2.38 in/60.5 mm,4.69 in/119.1 mm,6 in/152.4 mm,6.88 in/174.8 mm,2.25 in/57.2 mm,1 in/25.4 mm,0.5 in/12 mm,1 in/25.4 mm,2.88 in/73.2 mm,1.75 in/44.5 mm,0.13 in/3.3 mm,2.75 in/69.9 mm,22400 lbf/99700 N,23400 lbf/104000 N,0.27,2.47,3.67,2700 rpm,4500 rpm,1950 rpm,2700 rpm,4000 rpm,1950 rpm,0.050 in/1.270 mm,0.0010 in/0.025 mm,0.0012,0.0018,0.0012 in/0.030 mm,0.0018 in/0.045 mm
QASN08A108S,22208 ,1 1/2 in,2.36 in / 60 mm,6.26 in / 159 mm,6.89 in / 175 mm,22400 lbf / 99700 N,23400 lbf / 104000 N,,https://cad.timken.com/item/single-concentric-solid-block-mounted-bearings/single-concentric-two-bolt-pillow-block/qasn08a108s,Mounted Bearing,22208,1 1/2 in,Imperial,QASN08A108SB/QASN08A108SC/QASN08A108SEB/QASN08A108SEC/QASN08A108SEM/QASN08A108SEN/QASN08A108SEO/QASN08A108SET/QASN08A108SM/QASN08A108SN/QASN08A108SO/QASN08A108ST,Single Concentric,Two-Bolt Pillow Block,883450404051/883450404068/883450404075/883450404082/883450404099/883450404105/883450404112/883450404129/883450404136/883450404143/883450404150/883450404167,2.36 in/60 mm,4.37 in/111 mm,2.38 in/60.5 mm,6.26 in/159 mm,6.89 in/175 mm,8.07 in/205 mm,2.44 in/62 mm,1.38 in/35 mm,0.5 in/12 mm,1 in/25.4 mm,2.95 in/73.2 mm,1.75 in/44.5 mm,0.20 in/5 mm,2.75 in/70 mm,22400 lbf/99700 N,23400 lbf/104000 N,0.27,2.47,3.67,2700 rpm,4500 rpm,1950 rpm,2700 rpm,4000 rpm,1950 rpm,0.050 in/1.270 mm,0.0010 in/0.025 mm,0.0012,0.0018,0.0012 in/0.030 mm,0.0018 in/0.045 mm
QAPMD08A108S,22208 ,1 1/2 in,2.13 in / 54.1 mm,5.5 in / 139.7 mm,6.19 in / 157.2 mm,22400 lbf / 99700 N,23400 lbf / 104000 N,,https://cad.timken.com/item/single-concentric-solid-block-mounted-bearings/single-concentric-two-bolt-pillow-block/qapmd08a108s,Mounted Bearing,22208,1 1/2 in,Imperial,,Single Concentric,Two-Bolt Pillow Block,,2.13 in/54.1 mm,4.46 in/113.3 mm,2.38 in/60.5 mm,5.5 in/139.7 mm,6.19 in/157.2 mm,7.44 in/189 mm,2.44 in/62 mm,1 in/25.4 mm,0.5 in/12 mm,1 in/25.4 mm,2.97 in/75.4 mm,1.75 in/44.5 mm,0.22 in/5.6 mm,2.75 in/69.9 mm,22400 lbf/99700 N,23400 lbf/104000 N,0.27,2.47,3.67,2700 rpm,4500 rpm,1950 rpm,2700 rpm,4000 rpm,1950 rpm,0.050 in/1.270 mm,0.0010 in/0.025 mm,0.0012,0.0018,0.0012 in/0.030 mm,0.0018 in/0.045 mm
QAP08A108S - Stainless,22208 ,1 1/2 in,2.13 in / 54.1 mm,4.69 in / 119.1 mm,6.5 in / 165.1 mm,22400 lbf / 99700 N,23400 lbf / 104000 N,,https://cad.timken.com/item/single-concentric-solid-block-mounted-bearings/single-concentric-two-bolt-pillow-block/qap08a108s-stainless,Mounted Bearing,22208,1 1/2 in,Imperial,QAP08A108SBSS/QAP08A108SCSS/QAP08A108SEBSS/QAP08A108SECSS/QAP08A108SEMSS/QAP08A108SENSS/QAP08A108SEOSS/QAP08A108SETSS/QAP08A108SMSS/QAP08A108SNSS/QAP08A108SOSS/QAP08A108STSS,Single Concentric,Two-Bolt Pillow Block,883450700283/883450700290/883450700306/883450700313/883450700320/883450700337/883450700344/883450700351/883450700368/883450700375/883450700382/883450700399,2.13 in/54.1 mm,3.98 in/101.1 mm,2.38 in/60.5 mm,4.69 in/119.1 mm,6.5 in/165.1 mm,7.88 in/200.2 mm,2.25 in/57.2 mm,1 in/25.4 mm,0.5 in/12 mm,1 in/25.4 mm,2.88 in/73.2 mm,1.75 in/44.5 mm,0.13 in/3.3 mm,2.75 in/69.9 mm,22400 lbf/99700 N,23400 lbf/104000 N,0.27,2.47,3.67,2700 rpm,4500 rpm,1950 rpm,2700 rpm,4000 rpm,1950 rpm,0.050 in/1.270 mm,0.0010 in/0.025 mm,0.0012,0.0018,0.0012 in/0.030 mm,0.0018 in/0.045 mm
QAP09A040S,22209 ,40 mm,2.25 in / 57.2 mm,6.25 in / 158.8 mm,7.12 in / 180.8 mm,24200 lbf / 108000 N,24500 lbf / 109000 N,,https://cad.timken.com/item/single-concentric-solid-block-mounted-bearings/single-concentric-two-bolt-pillow-block/qap09a040s,Mounted Bearing,22209,40 mm,Metric,QAP09A040SB/QAP09A040SC/QAP09A040SEB/QAP09A040SEC/QAP09A040SEM/QAP09A040SEN/QAP09A040SEO/QAP09A040SET/QAP09A040SM/QAP09A040SN/QAP09A040SO/QAP09A040ST,Single Concentric,Two-Bolt Pillow Block,883450962292/883450962308/883450962315/883450962322/883450962339/883450962346/883450962353/883450962360/883450962377/883450962384/883450962391/883450962407,2.25 in/57.2 mm,4.25 in/108 mm,2.63 in/66.8 mm,6.25 in/158.8 mm,7.12 in/180.8 mm,8.88 in/225.6 mm,2.44 in/62 mm,1.25 in/31.8 mm,0.625 in/16 mm,1 in/25.4 mm,3.07 in/78 mm,1.88 in/47.8 mm,0.22 in/5.6 mm,2.88 in/73.2 mm,24200 lbf/108000 N,24500 lbf/109000 N,0.26,2.64,3.93,2700 rpm,4500 rpm,1950 rpm,2700 rpm,4000 rpm,1950 rpm,0.050 in/1.270 mm,0.0015 in/0.038 mm,0.0014,0.0022,0.0014 in/0.035 mm,0.0022 in/0.055 mm
QAPL09A040S,22209 ,40 mm,2.13 in / 54.1 mm,5.25 in / 133.4 mm,5.75 in / 146.1 mm,24200 lbf / 108000 N,24500 lbf / 109000 N,,https://cad.timken.com/item/single-concentric-solid-block-mounted-bearings/single-concentric-two-bolt-pillow-block/qapl09a040s,Mounted Bearing,22209,40 mm,Metric,QAPL09A040SB/QAPL09A040SC/QAPL09A040SEB/QAPL09A040SEC/QAPL09A040SEM/QAPL09A040SEN/QAPL09A040SEO/QAPL09A040SET/QAPL09A040SM/QAPL09A040SN/QAPL09A040SO/QAPL09A040ST,Single Concentric,Two-Bolt Pillow Block,883450962773/883450962780/883450962797/883450962803/883450962810/883450962827/883450962834/883450962841/883450962858/883450962865/883450962872/883450962889,2.13 in/54.1 mm,4.13 in/104.9 mm,2.63 in/66.8 mm,5.25 in/133.4 mm,5.75 in/146.1 mm,7.13 in/181.1 mm,2.37 in/60.2 mm,1.25 in/31.8 mm,0.5 in/12 mm,1 in/25.4 mm,3.06 in/78 mm,1.88 in/47.8 mm,0.22 in/5.6 mm,2.88 in/73.2 mm,24200 lbf/108000 N,24500 lbf/109000 N,0.26,2.64,3.93,2700 rpm,4500 rpm,1950 rpm,2700 rpm,4000 rpm,1950 rpm,0.050 in/1.270 mm,0.0015 in/0.038 mm,0.0014,0.0022,0.0014 in/0.035 mm,0.0022 in/0.055 mm
QASN09A040S,22209 ,40 mm,2.36 in / 60 mm,6.26 in / 159 mm,6.89 in / 175 mm,24200 lbf / 108000 N,24500 lbf / 109000 N,,https://cad.timken.com/item/single-concentric-solid-block-mounted-bearings/single-concentric-two-bolt-pillow-block/qasn09a040s,Mounted Bearing,22209,40 mm,Metric,QASN09A040SB/QASN09A040SC/QASN09A040SEB/QASN09A040SEC/QASN09A040SEM/QASN09A040SEN/QASN09A040SEO/QASN09A040SET/QASN09A040SM/QASN09A040SN/QASN09A040SO/QASN09A040ST,Single Concentric,Two-Bolt Pillow Block,883450963237/883450963244/883450963251/883450964142/883450964159/883450964166/883450964173/883450964180/883450964197/883450964203/883450964210/883450964227,2.36 in/60 mm,4.37 in/111 mm,2.63 in/66.8 mm,6.26 in/159 mm,6.89 in/175 mm,8.07 in/205 mm,2.44 in/62 mm,1.38 in/35 mm,0.5 in/12 mm,0.98 in/25 mm,3.11 in/78 mm,1.88 in/47.8 mm,0.22 in/5.6 mm,2.87 in/73 mm,24200 lbf/108000 N,24500 lbf/109000 N,0.26,2.64,3.93,2700 rpm,4500 rpm,1950 rpm,2700 rpm,4000 rpm,1950 rpm,0.050 in/1.270 mm,0.0015 in/0.038 mm,0.0014,0.0022,0.0014 in/0.035 mm,0.0022 in/0.055 mm
QAPMD09A040S,22209 ,40 mm,2.13 in / 54.1 mm,5.5 in / 139.7 mm,6.19 in / 157.2 mm,24200 lbf / 108000 N,24500 lbf / 109000 N,,https://cad.timken.com/item/single-concentric-solid-block-mounted-bearings/single-concentric-two-bolt-pillow-block/qapmd09a040s,Mounted Bearing,22209,40 mm,Metric,,Single Concentric,Two-Bolt Pillow Block,,2.13 in/54.1 mm,4.46 in/113.3 mm,2.63 in/66.8 mm,5.5 in/139.7 mm,6.19 in/157.2 mm,7.44 in/189 mm,2.44 in/62 mm,1 in/25.4 mm,0.5 in/12 mm,1 in/25.4 mm,3.1 in/78.7 mm,1.88 in/47.8 mm,0.22 in/5.6 mm,2.88 in/73.2 mm,24200 lbf/108000 N,24500 lbf/109000 N,0.26,2.64,3.93,2700 rpm,4500 rpm,1950 rpm,2700 rpm,4000 rpm,1950 rpm,0.050 in/1.270 mm,0.0015 in/0.038 mm,0.0014,0.0022,0.0014 in/0.035 mm,0.0022 in/0.055 mm
QAP09A040S - Stainless,22209 ,40 mm,2.25 in / 57.2 mm,6.25 in / 158.8 mm,7.12 in / 180.8 mm,24200 lbf / 108000 N,24500 lbf / 109000 N,,https://cad.timken.com/item/single-concentric-solid-block-mounted-bearings/single-concentric-two-bolt-pillow-block/qap09a040s-stainless,Mounted Bearing,22209,40 mm,Metric,QAP09A040SBSS/QAP09A040SCSS/QAP09A040SEBSS/QAP09A040SECSS/QAP09A040SEMSS/QAP09A040SENSS/QAP09A040SEOSS/QAP09A040SETSS/QAP09A040SMSS/QAP09A040SNSS/QAP09A040SOSS/QAP09A040STSS,Single Concentric,Two-Bolt Pillow Block,883450700528/883450700535/883450700542/883450700559/883450700566/883450700573/883450700580/883450700597/883450700603/883450700610/883450700627/883450700634,2.25 in/57.2 mm,4.25 in/108 mm,2.63 in/66.8 mm,6.25 in/158.8 mm,7.12 in/180.8 mm,8.88 in/225.6 mm,2.44 in/62 mm,1.25 in/31.8 mm,0.625 in/16 mm,1 in/25.4 mm,3.07 in/78 mm,1.88 in/47.8 mm,0.22 in/5.6 mm,2.88 in/73.2 mm,24200 lbf/108000 N,24500 lbf/109000 N,0.26,2.64,3.93,2700 rpm,4500 rpm,1950 rpm,2700 rpm,4000 rpm,1950 rpm,0.050 in/1.270 mm,0.0015 in/0.038 mm,0.0014,0.0022,0.0014 in/0.035 mm,0.0022 in/0.055 mm
QAPMD09A110S,22209 ,1 5/8 in,2.13 in / 54.1 mm,5.5 in / 139.7 mm,6.19 in / 157.2 mm,24200 lbf / 108000 N,24500 lbf / 109000 N,,https://cad.timken.com/item/single-concentric-solid-block-mounted-bearings/single-concentric-two-bolt-pillow-block/qapmd09a110s,Mounted Bearing,22209,1 5/8 in,Imperial,,Single Concentric,Two-Bolt Pillow Block,,2.13 in/54.1 mm,4.46 in/113.3 mm,2.63 in/66.8 mm,5.5 in/139.7 mm,6.19 in/157.2 mm,7.44 in/189 mm,2.44 in/62 mm,1 in/25.4 mm,0.5 in/12 mm,1 in/25.4 mm,3.1 in/78.7 mm,1.88 in/47.8 mm,0.22 in/5.6 mm,2.88 in/73.2 mm,24200 lbf/108000 N,24500 lbf/109000 N,0.26,2.64,3.93,2700 rpm,4500 rpm,1950 rpm,2700 rpm,4000 rpm,1950 rpm,0.050 in/1.270 mm,0.0015 in/0.038 mm,0.0014,0.0022,0.0014 in/0.035 mm,0.0022 in/0.055 mm
QAP09A111S,22209 ,1 11/16 in,2.13 in / 54.1 mm,5.7 in / 144.8 mm,6.5 in / 165.1 mm,24200 lbf / 108000 N,24500 lbf / 109000 N,,https://cad.timken.com/item/single-concentric-solid-block-mounted-bearings/single-concentric-two-bolt-pillow-block/qap09a111s,Mounted Bearing,22209,1 11/16 in,Imperial,QAP09A111SB/QAP09A111SC/QAP09A111SEB/QAP09A111SEC/QAP09A111SEM/QAP09A111SEN/QAP09A111SEO/QAP09A111SET/QAP09A111SM/QAP09A111SN/QAP09A111SO/QAP09A111ST,Single Concentric,Two-Bolt Pillow Block,883450962537/883450962544/883450962551/883450962568/883450962575/883450962582/883450962599/883450962605/883450962612/883450962629/883450962636/883450962643,2.13 in/54.1 mm,4.13 in/104.9 mm,2.63 in/66.8 mm,5.7 in/144.8 mm,6.5 in/165.1 mm,7.88 in/200.2 mm,2.37 in/60.2 mm,1.25 in/31.8 mm,0.5 in/12 mm,1 in/25.4 mm,3.07 in/78 mm,1.88 in/47.8 mm,0.19 in/4.8 mm,2.88 in/73.2 mm,24200 lbf/108000 N,24500 lbf/109000 N,0.26,2.64,3.93,2700 rpm,4500 rpm,1950 rpm,2700 rpm,4000 rpm,1950 rpm,0.050 in/1.270 mm,0.0015 in/0.038 mm,0.0014,0.0022,0.0014 in/0.035 mm,0.0022 in/0.055 mm
QAPL09A111S,22209 ,1 11/16 in,2.13 in / 54.1 mm,5.25 in / 133.4 mm,5.75 in / 146.1 mm,24200 lbf / 108000 N,24500 lbf / 109000 N,,https://cad.timken.com/item/single-concentric-solid-block-mounted-bearings/single-concentric-two-bolt-pillow-block/qapl09a111s,Mounted Bearing,22209,1 11/16 in,Imperial,QAPL09A111SB/QAPL09A111SC/QAPL09A111SEB/QAPL09A111SEC/QAPL09A111SEM/QAPL09A111SEN/QAPL09A111SEO/QAPL09A111SET/QAPL09A111SM/QAPL09A111SN/QAPL09A111SO/QAPL09A111ST,Single Concentric,Two-Bolt Pillow Block,883450963015/883450963022/883450963039/883450963046/883450963053/883450963060/883450963077/883450963084/883450963091/883450963107/883450963114/883450963121,2.13 in/54.1 mm,4.13 in/104.9 mm,2.63 in/66.8 mm,5.25 in/133.4 mm,5.75 in/146.1 mm,7.13 in/181.1 mm,2.37 in/60.2 mm,1.25 in/31.8 mm,0.5 in/12 mm,1 in/25.4 mm,3.06 in/78 mm,1.88 in/47.8 mm,0.19 in/4.8 mm,2.88 in/73.2 mm,24200 lbf/108000 N,24500 lbf/109000 N,0.26,2.64,3.93,2700 rpm,4500 rpm,1950 rpm,2700 rpm,4000 rpm,1950 rpm,0.050 in/1.270 mm,0.0015 in/0.038 mm,0.0014,0.0022,0.0014 in/0.035 mm,0.0022 in/0.055 mm
QASN09A111S,22209 ,1 11/16 in,2.36 in / 60 mm,6.26 in / 159 mm,6.89 in / 175 mm,24200 lbf / 108000 N,24500 lbf / 109000 N,,https://cad.timken.com/item/single-concentric-solid-block-mounted-bearings/single-concentric-two-bolt-pillow-block/qasn09a111s,Mounted Bearing,22209,1 11/16 in,Imperial,QASN09A111SB/QASN09A111SC/QASN09A111SEB/QASN09A111SEC/QASN09A111SEM/QASN09A111SEN/QASN09A111SEO/QASN09A111SET/QASN09A111SM/QASN09A111SN/QASN09A111SO/QASN09A111ST,Single Concentric,Two-Bolt Pillow Block,883450963381/883450963398/883450963404/883450963411/883450963428/883450963435/883450963442/883450963459/883450963466/883450963473/883450963480/883450963497,2.36 in/60 mm,4.37 in/111 mm,2.63 in/66.8 mm,6.26 in/159 mm,6.89 in/175 mm,8.07 in/205 mm,2.44 in/62 mm,1.38 in/35 mm,0.5 in/12 mm,0.98 in/25 mm,3.11 in/78 mm,1.88 in/47.8 mm,0.19 in/4.8 mm,2.87 in/73 mm,24200 lbf/108000 N,24500 lbf/109000 N,0.26,2.64,3.93,2700 rpm,4500 rpm,1950 rpm,2700 rpm,4000 rpm,1950 rpm,0.050 in/1.270 mm,0.0015 in/0.038 mm,0.0014,0.0022,0.0014 in/0.035 mm,0.0022 in/0.055 mm
QAPMD09A111S,22209 ,1 11/16 in,2.25 in / 57.2 mm,6 in / 152.4 mm,6.68 in / 169.7 mm,24200 lbf / 108000 N,24500 lbf / 109000 N,,https://cad.timken.com/item/single-concentric-solid-block-mounted-bearings/single-concentric-two-bolt-pillow-block/qapmd09a111s,Mounted Bearing,22209,1 11/16 in,Imperial,,Single Concentric,Two-Bolt Pillow Block,,2.25 in/57.2 mm,4.58 in/116.3 mm,2.63 in/66.8 mm,6 in/152.4 mm,6.68 in/169.7 mm,8.12 in/206.2 mm,2.44 in/62 mm,1.25 in/31.8 mm,0.625 in/16 mm,1 in/25.4 mm,3.1 in/78.7 mm,1.88 in/47.8 mm,0.22 in/5.6 mm,2.88 in/73.2 mm,24200 lbf/108000 N,24500 lbf/109000 N,0.26,2.64,3.93,2700 rpm,4500 rpm,1950 rpm,2700 rpm,4000 rpm,1950 rpm,0.050 in/1.270 mm,0.0015 in/0.038 mm,0.0014,0.0022,0.0014 in/0.035 mm,0.0022 in/0.055 mm
QAPMD10A115S,22210 ,1 15/16 in,2.5 in / 63.5 mm,6.38 in / 162.1 mm,7.44 in / 189 mm,26600 lbf / 118000 N,26300 lbf / 117000 N,,https://cad.timken.com/item/single-concentric-solid-block-mounted-bearings/single-concentric-two-bolt-pillow-block/qapmd10a115s,Mounted Bearing,22210,1 15/16 in,Imperial,,Single Concentric,Two-Bolt Pillow Block,,2.5 in/63.5 mm,5 in/127 mm,2.88 in/73.2 mm,6.38 in/162.1 mm,7.44 in/189 mm,8.88 in/225.6 mm,2.44 in/62 mm,1.25 in/31.8 mm,0.625 in/16 mm,1 in/25.4 mm,3.11 in/79 mm,1.87 in/47.5 mm,0.24 in/6.1 mm,2.87 in/72.9 mm,26600 lbf/118000 N,26300 lbf/117000 N,0.24,2.84,4.23,2400 rpm,4200 rpm,1800 rpm,2400 rpm,3550 rpm,1800 rpm,0.050 in/1.270 mm,0.0015 in/0.038 mm,0.0016,0.0026,0.0016 in/0.040 mm,0.0026 in/0.065 mm
QAP10A200S,22210 ,2 in,2.25 in / 57.2 mm,6 in / 152.4 mm,7.13 in / 181.1 mm,26600 lbf / 118000 N,26300 lbf / 117000 N,,https://cad.timken.com/item/single-concentric-solid-block-mounted-bearings/single-concentric-two-bolt-pillow-block/qap10a200s,Mounted Bearing,22210,2 in,Imperial,QAP10A200SB/QAP10A200SC/QAP10A200SEB/QAP10A200SEC/QAP10A200SEM/QAP10A200SEN/QAP10A200SEO/QAP10A200SET/QAP10A200SM/QAP10A200SMSLA/QAP10A200SN/QAP10A200SO/QAP10A200ST/QAP10A200STHT/QAP10A200STNG,Single Concentric,Two-Bolt Pillow Block,0883450044400/0883450044417/0883450044431/0883450044448/0883450044455/0883450044462/0883450044479/0883450044486/0883450187831/0883450187992/0883450265331/0883450265492/0883450476553/0883450493871/0883450961370,2.25 in/57.2 mm,4.81 in/122.2 mm,2.88 in/73.2 mm,6 in/152.4 mm,7.13 in/181.1 mm,8.88 in/225.6 mm,2.44 in/62 mm,1.25 in/31.8 mm,0.625 in/16 mm,1 in/25.4 mm,3.11 in/79 mm,1.87 in/47.5 mm,0.24 in/6.1 mm,2.87 in/72.9 mm,26600 lbf/118000 N,26300 lbf/117000 N,0.24,2.84,4.23,2400 rpm,4200 rpm,1800 rpm,2400 rpm,3550 rpm,1800 rpm,0.050 in/1.270 mm,0.0015 in/0.038 mm,0.0016,0.0026,0.0016 in/0.040 mm,0.0026 in/0.065 mm
QAPL10A200S,22210 ,2 in,2.25 in / 57.2 mm,5.93 in / 150.6 mm,6.36 in / 161.5 mm,26600 lbf / 118000 N,26300 lbf / 117000 N,,https://cad.timken.com/item/single-concentric-solid-block-mounted-bearings/single-concentric-two-bolt-pillow-block/qapl10a200s,Mounted Bearing,22210,2 in,Imperial,QAPL10A200SB/QAPL10A200SC/QAPL10A200SEB/QAPL10A200SEC/QAPL10A200SEM/QAPL10A200SEN/QAPL10A200SEO/QAPL10A200SET/QAPL10A200SM/QAPL10A200SMNG/QAPL10A200SN/QAPL10A200SO/QAPL10A200ST/QAPL10A200STNG,Single Concentric,Two-Bolt Pillow Block,0883450047104/0883450047111/0883450047135/0883450047142/0883450047159/0883450047166/0883450047173/0883450047180/0883450188470/0883450188630/0883450265973/0883450266130/0883450454728/0883450458108,2.25 in/57.2 mm,4.81 in/122.2 mm,2.88 in/73.2 mm,5.93 in/150.6 mm,6.36 in/161.5 mm,8.38 in/212.9 mm,2.44 in/62 mm,1.25 in/31.8 mm,0.625 in/16 mm,1 in/25.4 mm,3.11 in/79 mm,1.87 in/47.5 mm,0.24 in/6.1 mm,2.87 in/72.9 mm,26600 lbf/118000 N,26300 lbf/117000 N,0.24,2.84,4.23,2400 rpm,4200 rpm,1800 rpm,2400 rpm,3550 rpm,1800 rpm,0.050 in/1.270 mm,0.0015 in/0.038 mm,0.0016,0.0026,0.0016 in/0.040 mm,0.0026 in/0.065 mm
QAP10A200S - Stainless,22210 ,2 in,2.25 in / 57.2 mm,6 in / 152.4 mm,7.13 in / 181.1 mm,26600 lbf / 118000 N,26300 lbf / 117000 N,,https://cad.timken.com/item/single-concentric-solid-block-mounted-bearings/single-concentric-two-bolt-pillow-block/qap10a200s-stainless,Mounted Bearing,22210,2 in,Imperial,QAP10A200SBSS/QAP10A200SCSS/QAP10A200SEBSS/QAP10A200SECSS/QAP10A200SEMSS/QAP10A200SENSS/QAP10A200SEOSS/QAP10A200SETSS/QAP10A200SMSS/QAP10A200SNSS/QAP10A200SOSS/QAP10A200STSS,Single Concentric,Two-Bolt Pillow Block,0883450701129/0883450701136/0883450701143/0883450701150/0883450701167/0883450701174/0883450701181/0883450701198/0883450701204/0883450701211/0883450701228/0883450701235,2.25 in/57.2 mm,4.81 in/122.2 mm,2.88 in/73.2 mm,6 in/152.4 mm,7.13 in/181.1 mm,8.88 in/225.6 mm,2.44 in/62 mm,1.25 in/31.8 mm,0.625 in/16 mm,1 in/25.4 mm,3.11 in/79 mm,1.87 in/47.5 mm,0.24 in/6.1 mm,2.87 in/72.9 mm,26600 lbf/118000 N,26300 lbf/117000 N,0.24,2.84,4.23,2400 rpm,4200 rpm,1800 rpm,2400 rpm,3550 rpm,1800 rpm,0.050 in/1.270 mm,0.0015 in/0.038 mm,0.0016,0.0026,0.0016 in/0.040 mm,0.0026 in/0.065 mm
QASN10A200S,22210 ,2 in,2.76 in / 70 mm,7.2 in / 183 mm,8.5 in / 216 mm,26600 lbf / 118000 N,26300 lbf / 117000 N,,https://cad.timken.com/item/single-concentric-solid-block-mounted-bearings/single-concentric-two-bolt-pillow-block/qasn10a200s-4,Mounted Bearing,22210,2 in,Imperial,QASN10A200SB/QASN10A200SC/QASN10A200SEB/QASN10A200SEC/QASN10A200SEM/QASN10A200SEN/QASN10A200SEO/QASN10A200SET/QASN10A200SM/QASN10A200SN/QASN10A200SO/QASN10A200ST,Single Concentric,Two-Bolt Pillow Block,0883450352963/0883450352970/0883450352987/0883450352994/0883450353007/0883450353014/0883450353021/0883450353038/0883450353045/0883450353052/0883450353069/0883450353076,2.76 in/70 mm,5.35 in/136 mm,2.87 in/73 mm,7.2 in/183 mm,8.5 in/216 mm,10 in/254 mm,2.68 in/68 mm,0.98 in/25 mm,0.625 in/16 mm,1 in/25.4 mm,3.23 in/82 mm,1.89 in/48 mm,0.35 in/9 mm,2.87 in/73 mm,26600 lbf/118000 N,26300 lbf/117000 N,0.24,2.84,4.23,2400 rpm,4200 rpm,1800 rpm,2400 rpm,3550 rpm,1800 rpm,0.050 in/1.270 mm,0.0015 in/0.038 mm,0.0016,0.0026,0.0016 in/0.040 mm,0.0026 in/0.065 mm
QAPMD10A200S,22210 ,2 in,2.5 in / 63.5 mm,6.38 in / 162.1 mm,7.44 in / 189 mm,26600 lbf / 118000 N,26300 lbf / 117000 N,,https://cad.timken.com/item/single-concentric-solid-block-mounted-bearings/single-concentric-two-bolt-pillow-block/qapmd10a200s,Mounted Bearing,22210,2 in,Imperial,,Single Concentric,Two-Bolt Pillow Block,,2.5 in/63.5 mm,5 in/127 mm,2.88 in/73.2 mm,6.38 in/162.1 mm,7.44 in/189 mm,8.88 in/225.6 mm,2.44 in/62 mm,1.25 in/31.8 mm,0.625 in/16 mm,1 in/25.4 mm,3.11 in/79 mm,1.87 in/47.5 mm,0.24 in/6.1 mm,2.87 in/72.9 mm,26600 lbf/118000 N,26300 lbf/117000 N,0.24,2.84,4.23,2400 rpm,4200 rpm,1800 rpm,2400 rpm,3550 rpm,1800 rpm,0.050 in/1.270 mm,0.0015 in/0.038 mm,0.0016,0.0026,0.0016 in/0.040 mm,0.0026 in/0.065 mm
