Part Number,Bearing Number,Shaft Size,Base to Center Height,Bolt Spacing Min,Bolt Spacing Max,C0 - Static Load,C - Dynamic Load (Basic),CAD,Engineering Group,Bearing Number,Shaft Size,Shaft Size Type,Locking Style,Housing Construction,Dimension A,Dimension B,Dimension C,Dimension D Min,Dimension D Max,Dimension F,Dimension G,Dimension H,Dimension J (Bolt Size),Dimension L,Dimension M,Dimension S,C0 - Static Load,C - Dynamic Load (Basic),e - Geometry Factor,Y1 - Geometry Factor,Y2 - Geometry Factor,Oil Lubrication - M/N Seal,Oil Lubrication - T Seal,Oil Lubrication - B/C/O Seal,Grease Lubrication - M/N Seal,Grease Lubrication - T Seal,Grease Lubrication - B/C/O Seal,Float,Shaft Tolerance,Eng Internal Radial Clearance - Min,Eng Internal Radial Clearance - Max,Pre Install Clearance Min,Pre Install Clearance Max,Full Timken Part Number,UPC Code
TASD09K040S,22209 ,40 mm,2.88 in / 73.2 mm,6.88 in / 174.8 mm,7.63 in / 193.8 mm,24200 lbf / 108000 N,24500 lbf / 109000 N,,Mounted Bearing,22209,40 mm,Metric,Tapered Adapter,Two-Bolt Pillow Block,2.88 in/73.2 mm,4.88 in/124 mm,2.56 in/65 mm,6.88 in/174.8 mm,7.63 in/193.8 mm,9 in/228.6 mm,2.03 in/51.7 mm,1.14 in/29 mm,0.5 in/12 mm,2.23 in/56.6 mm,1.21 in/30.7 mm,1.98 in/50.2 mm,24200 lbf/108000 N,24500 lbf/109000 N,0.26,2.64,3.93,2700 rpm,4500 rpm,1950 rpm,2700 rpm,4000 rpm,1950 rpm,0.050 in/1.270 mm,0.0015 in/0.038 mm,0.0014,0.0022,0.0014 in/0.035 mm,0.0022 in/0.055 mm,,
TAPN09K040S,22209 ,40 mm,2.362 in / 60 mm,6.25 in / 158.8 mm,7 in / 177.8 mm,24200 lbf / 108000 N,24500 lbf / 109000 N,,Mounted Bearing,22209,40 mm,Metric,Tapered Adapter,Two-Bolt Pillow Block,2.362 in/60 mm,4.25 in/108 mm,2.56 in/65 mm,6.25 in/158.8 mm,7 in/177.8 mm,8.25 in/209.6 mm,2.1 in/53.3 mm,1.14 in/29 mm,0.5 in/12 mm,2.26 in/57.4 mm,1.21 in/30.7 mm,1.98 in/50.3 mm,24200 lbf/108000 N,24500 lbf/109000 N,0.26,2.64,3.93,2700 rpm,4500 rpm,1950 rpm,2700 rpm,4000 rpm,1950 rpm,0.050 in/1.270 mm,0.0015 in/0.038 mm,0.0014,0.0022,0.0014 in/0.035 mm,0.0022 in/0.055 mm,,
TAPA09K040S,22209 ,40 mm,2.25 in / 57.2 mm,6.25 in / 158.8 mm,7 in / 177.8 mm,24200 lbf / 108000 N,24500 lbf / 109000 N,,Mounted Bearing,22209,40 mm,Metric,Tapered Adapter,Two-Bolt Pillow Block,2.25 in/57.2 mm,4.25 in/108 mm,2.56 in/65 mm,6.25 in/158.8 mm,7 in/177.8 mm,8.25 in/209.6 mm,2.1 in/53.3 mm,1.14 in/29 mm,0.5 in/12 mm,2.26 in/57.4 mm,1.21 in/30.7 mm,1.98 in/50.3 mm,24200 lbf/108000 N,24500 lbf/109000 N,0.26,2.64,3.93,2700 rpm,4500 rpm,1950 rpm,2700 rpm,4000 rpm,1950 rpm,0.050 in/1.270 mm,0.0015 in/0.038 mm,0.0014,0.0022,0.0014 in/0.035 mm,0.0022 in/0.055 mm,,
TADI09K040S,22209 ,40 mm,2.63 in / 66.8 mm,6.88 in / 174.8 mm,7.63 in / 193.8 mm,24200 lbf / 108000 N,24500 lbf / 109000 N,,Mounted Bearing,22209,40 mm,Metric,Tapered Adapter,Two-Bolt Pillow Block,2.63 in/66.8 mm,5 in/127 mm,2.56 in/65 mm,6.88 in/174.8 mm,7.63 in/193.8 mm,9 in/228.6 mm,2.03 in/51.7 mm,1.25 in/31.8 mm,0.5 in/12 mm,2.23 in/56.6 mm,1.21 in/30.7 mm,1.98 in/50.3 mm,24200 lbf/108000 N,24500 lbf/109000 N,0.26,2.64,3.93,2700 rpm,4500 rpm,1950 rpm,2700 rpm,4000 rpm,1950 rpm,0.050 in/1.270 mm,0.0015 in/0.038 mm,0.0014,0.0022,0.0014 in/0.035 mm,0.0022 in/0.055 mm,TADI09K040SB/TADI09K040SC/TADI09K040SEB/TADI09K040SEC/TADI09K040SEM/TADI09K040SEN/TADI09K040SEO/TADI09K040SET/TADI09K040SM/TADI09K040SN/TADI09K040SO/TADI09K040ST,
DVP09K40S,22209 ,40 mm,2.13 in / 54.1 mm,4.69 in / 119.1 mm,6.5 in / 165.1 mm,24200 lbf / 108000 N,24500 lbf / 109000 N,,Mounted Bearing,22209,40 mm,Metric,Tapered Adapter,Two-Bolt Pillow Block,2.13 in/54.1 mm,4.13 in/104.9 mm,2.56 in/65 mm,4.69 in/119.1 mm,6.5 in/165.1 mm,7.88 in/200.2 mm,2.1 in/53.3 mm,1 in/25.4 mm,0.5 in/12 mm,2.26 in/57.4 mm,1.21 in/30.7 mm,1.98 in/50.3 mm,24200 lbf/108000 N,24500 lbf/109000 N,0.26,2.64,3.93,2700 rpm,4500 rpm,1950 rpm,2700 rpm,4000 rpm,1950 rpm,0.050 in/1.270 mm,0.0015 in/0.038 mm,0.0014,0.0022,0.0014 in/0.035 mm,0.0022 in/0.055 mm,DVP09K40SB/DVP09K40SC/DVP09K40SEB/DVP09K40SEC/DVP09K40SEM/DVP09K40SEN/DVP09K40SEO/DVP09K40SET/DVP09K40SM/DVP09K40SN/DVP09K40SO/DVP09K40ST,
TASD10K111S,22210 ,1 11/16 in,3.13 in / 79.5 mm,7.56 in / 192 mm,7.94 in / 201.7 mm,26600 lbf / 118000 N,26300 lbf / 117000 N,,Mounted Bearing,22210,1 11/16 in,Imperial,Tapered Adapter,Two-Bolt Pillow Block,3.13 in/79.5 mm,5.5 in/139.7 mm,2.76 in/70.1 mm,7.56 in/192 mm,7.94 in/201.7 mm,9.5 in/241.3 mm,2.03 in/51.7 mm,1.25 in/31.8 mm,0.5 in/12 mm,2.34 in/59.4 mm,1.32 in/33.5 mm,2.17 in/55 mm,26600 lbf/118000 N,26300 lbf/117000 N,0.24,2.84,4.23,2400 rpm,4200 rpm,1800 rpm,2400 rpm,3550 rpm,1800 rpm,0.050 in/1.270 mm,0.0015 in/0.038 mm,0.0016,0.0026,0.0016 in/0.040 mm,0.0026 in/0.065 mm,,
TAPN10K111S,22210 ,1 11/16 in,2.362 in / 60 mm,6.5 in / 165.1 mm,7 in / 177.8 mm,26600 lbf / 118000 N,26300 lbf / 117000 N,,Mounted Bearing,22210,1 11/16 in,Imperial,Tapered Adapter,Two-Bolt Pillow Block,2.362 in/60 mm,4.73 in/120.1 mm,2.76 in/70.1 mm,6.5 in/165.1 mm,7 in/177.8 mm,8.25 in/209.6 mm,2.16 in/54.9 mm,1.11 in/28.2 mm,0.5 in/12 mm,2.4 in/61 mm,1.32 in/33.5 mm,2.17 in/55.1 mm,26600 lbf/118000 N,26300 lbf/117000 N,0.24,2.84,4.23,2400 rpm,4200 rpm,1800 rpm,2400 rpm,3550 rpm,1800 rpm,0.050 in/1.270 mm,0.0015 in/0.038 mm,0.0016,0.0026,0.0016 in/0.040 mm,0.0026 in/0.065 mm,,
TAPA10K111S,22210 ,1 11/16 in,2.5 in / 63.5 mm,6.5 in / 165.1 mm,7 in / 177.8 mm,26600 lbf / 118000 N,26300 lbf / 117000 N,,Mounted Bearing,22210,1 11/16 in,Imperial,Tapered Adapter,Two-Bolt Pillow Block,2.5 in/63.5 mm,4.87 in/123.7 mm,2.76 in/70.1 mm,6.5 in/165.1 mm,7 in/177.8 mm,8.25 in/209.6 mm,2.16 in/54.9 mm,1.25 in/31.8 mm,0.5 in/12 mm,2.4 in/61 mm,1.32 in/33.5 mm,2.17 in/55.1 mm,26600 lbf/118000 N,26300 lbf/117000 N,0.24,2.84,4.23,2400 rpm,4200 rpm,1800 rpm,2400 rpm,3550 rpm,1800 rpm,0.050 in/1.270 mm,0.0015 in/0.038 mm,0.0016,0.0026,0.0016 in/0.040 mm,0.0026 in/0.065 mm,,
TADI10K111S,22210 ,1 11/16 in,2.63 in / 66.8 mm,6.88 in / 174.8 mm,7.63 in / 193.8 mm,26600 lbf / 118000 N,26300 lbf / 117000 N,,Mounted Bearing,22210,1 11/16 in,Imperial,Tapered Adapter,Two-Bolt Pillow Block,2.63 in/66.8 mm,5 in/127 mm,2.76 in/70.1 mm,6.88 in/174.8 mm,7.63 in/193.8 mm,9 in/228.6 mm,2.03 in/51.7 mm,1.25 in/31.8 mm,0.5 in/12 mm,2.45 in/62.1 mm,1.32 in/33.5 mm,2.17 in/55.1 mm,26600 lbf/118000 N,26300 lbf/117000 N,0.24,2.84,4.23,2400 rpm,4200 rpm,1800 rpm,2400 rpm,3550 rpm,1800 rpm,0.050 in/1.270 mm,0.0015 in/0.038 mm,0.0016,0.0026,0.0016 in/0.040 mm,0.0026 in/0.065 mm,TADI10K111SB/TADI10K111SC/TADI10K111SEB/TADI10K111SEC/TADI10K111SEM/TADI10K111SEN/TADI10K111SEO/TADI10K111SET/TADI10K111SM/TADI10K111SN/TADI10K111SO/TADI10K111ST,
DVP10K111S,22210 ,1 11/16 in,2.13 in / 54.1 mm,5.7 in / 144.8 mm,6.5 in / 165.1 mm,26600 lbf / 118000 N,26300 lbf / 117000 N,,Mounted Bearing,22210,1 11/16 in,Imperial,Tapered Adapter,Two-Bolt Pillow Block,2.13 in/54.1 mm,4.5 in/114.3 mm,2.76 in/70.1 mm,5.7 in/144.8 mm,6.5 in/165.1 mm,7.88 in/200.2 mm,2.16 in/54.9 mm,1.25 in/31.8 mm,0.5 in/12 mm,2.4 in/61 mm,1.32 in/33.5 mm,2.17 in/55.1 mm,26600 lbf/118000 N,26300 lbf/117000 N,0.24,2.84,4.23,2400 rpm,4200 rpm,1800 rpm,2400 rpm,3550 rpm,1800 rpm,0.050 in/1.270 mm,0.0015 in/0.038 mm,0.0016,0.0026,0.0016 in/0.040 mm,0.0026 in/0.065 mm,DVP10K111SB/DVP10K111SC/DVP10K111SEB/DVP10K111SEC/DVP10K111SEM/DVP10K111SEN/DVP10K111SEO/DVP10K111SET/DVP10K111SM/DVP10K111SN/DVP10K111SO/DVP10K111ST,
TASD10K112S,22210 ,1 3/4 in,3.13 in / 79.5 mm,7.56 in / 192 mm,7.94 in / 201.7 mm,26600 lbf / 118000 N,26300 lbf / 117000 N,,Mounted Bearing,22210,1 3/4 in,Imperial,Tapered Adapter,Two-Bolt Pillow Block,3.13 in/79.5 mm,5.5 in/139.7 mm,2.76 in/70.1 mm,7.56 in/192 mm,7.94 in/201.7 mm,9.5 in/241.3 mm,2.03 in/51.7 mm,1.25 in/31.8 mm,0.5 in/12 mm,2.34 in/59.4 mm,1.32 in/33.5 mm,2.17 in/55 mm,26600 lbf/118000 N,26300 lbf/117000 N,0.24,2.84,4.23,2400 rpm,4200 rpm,1800 rpm,2400 rpm,3550 rpm,1800 rpm,0.050 in/1.270 mm,0.0015 in/0.038 mm,0.0016,0.0026,0.0016 in/0.040 mm,0.0026 in/0.065 mm,,
TAPN10K112S,22210 ,1 3/4 in,2.362 in / 60 mm,6.5 in / 165.1 mm,7 in / 177.8 mm,26600 lbf / 118000 N,26300 lbf / 117000 N,,Mounted Bearing,22210,1 3/4 in,Imperial,Tapered Adapter,Two-Bolt Pillow Block,2.362 in/60 mm,4.73 in/120.1 mm,2.76 in/70.1 mm,6.5 in/165.1 mm,7 in/177.8 mm,8.25 in/209.6 mm,2.16 in/54.9 mm,1.11 in/28.2 mm,0.5 in/12 mm,2.4 in/61 mm,1.32 in/33.5 mm,2.17 in/55.1 mm,26600 lbf/118000 N,26300 lbf/117000 N,0.24,2.84,4.23,2400 rpm,4200 rpm,1800 rpm,2400 rpm,3550 rpm,1800 rpm,0.050 in/1.270 mm,0.0015 in/0.038 mm,0.0016,0.0026,0.0016 in/0.040 mm,0.0026 in/0.065 mm,,
TAPA10K112S,22210 ,1 3/4 in,2.5 in / 63.5 mm,6.5 in / 165.1 mm,7 in / 177.8 mm,26600 lbf / 118000 N,26300 lbf / 117000 N,,Mounted Bearing,22210,1 3/4 in,Imperial,Tapered Adapter,Two-Bolt Pillow Block,2.5 in/63.5 mm,4.87 in/123.7 mm,2.76 in/70.1 mm,6.5 in/165.1 mm,7 in/177.8 mm,8.25 in/209.6 mm,2.16 in/54.9 mm,1.25 in/31.8 mm,0.5 in/12 mm,2.4 in/61 mm,1.32 in/33.5 mm,2.17 in/55.1 mm,26600 lbf/118000 N,26300 lbf/117000 N,0.24,2.84,4.23,2400 rpm,4200 rpm,1800 rpm,2400 rpm,3550 rpm,1800 rpm,0.050 in/1.270 mm,0.0015 in/0.038 mm,0.0016,0.0026,0.0016 in/0.040 mm,0.0026 in/0.065 mm,,
TADI10K112S,22210 ,1 3/4 in,2.88 in / 73.2 mm,7.38 in / 187.5 mm,7.94 in / 201.7 mm,26600 lbf / 118000 N,26300 lbf / 117000 N,,Mounted Bearing,22210,1 3/4 in,Imperial,Tapered Adapter,Two-Bolt Pillow Block,2.88 in/73.2 mm,5.46 in/138.7 mm,2.76 in/70.1 mm,7.38 in/187.5 mm,7.94 in/201.7 mm,10 in/254 mm,2.03 in/51.7 mm,1.25 in/31.8 mm,0.5 in/12 mm,2.57 in/65.3 mm,1.32 in/33.5 mm,2.17 in/55.1 mm,26600 lbf/118000 N,26300 lbf/117000 N,0.24,2.84,4.23,2400 rpm,4200 rpm,1800 rpm,2400 rpm,3550 rpm,1800 rpm,0.050 in/1.270 mm,0.0015 in/0.038 mm,0.0016,0.0026,0.0016 in/0.040 mm,0.0026 in/0.065 mm,TADI10K112SB/TADI10K112SC/TADI10K112SEB/TADI10K112SEC/TADI10K112SEM/TADI10K112SEN/TADI10K112SEO/TADI10K112SET/TADI10K112SM/TADI10K112SN/TADI10K112SO/TADI10K112ST,
DVP10K112S,22210 ,1 3/4 in,2.25 in / 57.2 mm,6.25 in / 158.8 mm,7.12 in / 180.8 mm,26600 lbf / 118000 N,26300 lbf / 117000 N,,Mounted Bearing,22210,1 3/4 in,Imperial,Tapered Adapter,Two-Bolt Pillow Block,2.25 in/57.2 mm,4.62 in/117.3 mm,2.76 in/70.1 mm,6.25 in/158.8 mm,7.12 in/180.8 mm,8.88 in/225.6 mm,2.16 in/54.9 mm,1.25 in/31.8 mm,0.625 in/16 mm,2.4 in/61 mm,1.32 in/33.5 mm,2.17 in/55.1 mm,26600 lbf/118000 N,26300 lbf/117000 N,0.24,2.84,4.23,2400 rpm,4200 rpm,1800 rpm,2400 rpm,3550 rpm,1800 rpm,0.050 in/1.270 mm,0.0015 in/0.038 mm,0.0016,0.0026,0.0016 in/0.040 mm,0.0026 in/0.065 mm,DVP10K112SB/DVP10K112SC/DVP10K112SEB/DVP10K112SEC/DVP10K112SEM/DVP10K112SEN/DVP10K112SEO/DVP10K112SET/DVP10K112SM/DVP10K112SN/DVP10K112SO/DVP10K112ST,
DVP11K200S,22211 ,2 in,2.25 in / 57.2 mm,6 in / 152.4 mm,7.13 in / 181.1 mm,31900 lbf / 142000 N,31400 lbf / 140000 N,,Mounted Bearing,22211,2 in,Imperial,Tapered Adapter,Two-Bolt Pillow Block,2.25 in/57.2 mm,4.86 in/123.4 mm,2.95 in/74.9 mm,6 in/152.4 mm,7.13 in/181.1 mm,8.88 in/225.6 mm,2.43 in/61.7 mm,1.25 in/31.8 mm,0.625 in/16 mm,2.62 in/66.5 mm,1.4 in/35.6 mm,2.32 in/58.9 mm,31900 lbf/142000 N,31400 lbf/140000 N,0.23,2.95,4.40,2200 rpm,3800 rpm,1800 rpm,2200 rpm,3200 rpm,1600 rpm,0.050 in/1.270 mm,0.0030 in/0.076 mm,,,0.0030 in/0.075 mm,0.0037 in/0.094 mm,DVP11K200SB/DVP11K200SC/DVP11K200SEB/DVP11K200SEC/DVP11K200SEM/DVP11K200SEN/DVP11K200SEO/DVP11K200SET/DVP11K200SM/DVP11K200SN/DVP11K200SO/DVP11K200ST,0883450007726/0883450007733/0883450007757/0883450007764/0883450007771/0883450007788/0883450007795/0883450007801/0883450195645/0883450195843/0883450273152/0883450273350
TAPA11K200S,22211 ,2 in,2.75 in / 69.9 mm,6.5 in / 165.1 mm,8.7 in / 221 mm,31900 lbf / 142000 N,31400 lbf / 140000 N,,Mounted Bearing,22211,2 in,Imperial,Tapered Adapter,Two-Bolt Pillow Block,2.75 in/69.9 mm,5.33 in/135.4 mm,2.95 in/74.9 mm,6.5 in/165.1 mm,8.7 in/221 mm,9.88 in/251 mm,2.38 in/60.5 mm,1.25 in/31.8 mm,0.625 in/16 mm,2.59 in/65.8 mm,1.4 in/35.6 mm,2.32 in/58.9 mm,31900 lbf/142000 N,31400 lbf/140000 N,0.23,2.95,4.40,2200 rpm,3800 rpm,1800 rpm,2200 rpm,3200 rpm,1600 rpm,0.050 in/1.270 mm,0.0030 in/0.076 mm,,,0.0030 in/0.075 mm,0.0037 in/0.094 mm,TAPA11K200SB/TAPA11K200SC/TAPA11K200SEB/TAPA11K200SEC/TAPA11K200SEM/TAPA11K200SEN/TAPA11K200SEO/TAPA11K200SET/TAPA11K200SM/TAPA11K200SN/TAPA11K200SO/TAPA11K200ST,0883450124577/0883450124584/0883450124607/0883450124614/0883450124621/0883450124638/0883450124645/0883450124652/0883450197656/0883450197854/0883450275156/0883450275354
