Part Number,Bearing Number,Shaft Size,Base to Center Height,Bolt Spacing Min,Bolt Spacing Max,C0 - Static Load,C - Dynamic Load (Basic),CAD,Engineering Group,Bearing Number,Shaft Size,Shaft Size Type,Full Timken Part Number,Locking Style,Housing Construction,UPC Code,Dimension A,Dimension B,Dimension C,Dimension D Min,Dimension D Max,Dimension F,Dimension G,Dimension H,Dimension J (Bolt Size),Dimension L,Dimension RVV,Dimension SVV,C0 - Static Load,C - Dynamic Load (Basic),e - Geometry Factor,Y1 - Geometry Factor,Y2 - Geometry Factor,Oil Lubrication - M/N Seal,Oil Lubrication - T Seal,Oil Lubrication - B/C/O Seal,Grease Lubrication - M/N Seal,Grease Lubrication - T Seal,Grease Lubrication - B/C/O Seal,Float,Shaft Tolerance,Eng Internal Radial Clearance - Min,Eng Internal Radial Clearance - Max,Pre Install Clearance Min,Pre Install Clearance Max
QVVPN11V200S,22211 ,2 in,2.75 in / 69.9 mm,6.5 in / 165.1 mm,8.7 in / 221 mm,31900 lbf / 142000 N,31400 lbf / 140000 N,,Mounted Bearing,22211,2 in,Imperial,QVVPN11V200SB/QVVPN11V200SC/QVVPN11V200SEB/QVVPN11V200SEC/QVVPN11V200SEM/QVVPN11V200SEN/QVVPN11V200SEO/QVVPN11V200SET/QVVPN11V200SM/QVVPN11V200SN/QVVPN11V200SO/QVVPN11V200ST,Double V-Lock,Two-Bolt Pillow Block,0883450146005/0883450146159/0883450151504/0883450151658/0883450162609/0883450162838/0883450181716/0883450181860/0883450255127/0883450256353/0883450281461/0883450281614,2.75 in/69.9 mm,5.33 in/135.4 mm,2.99 in/75.9 mm,6.5 in/165.1 mm,8.7 in/221 mm,9.88 in/251 mm,2.38 in/60.5 mm,1.25 in/31.8 mm,0.625 in/16 mm,3.2 in/81.3 mm,0.82 in/20.8 mm,4.02 in/102.1 mm,31900 lbf/142000 N,31400 lbf/140000 N,0.23,2.95,4.40,2200 rpm,3800 rpm,1800 rpm,2200 rpm,3200 rpm,1600 rpm,0.050 in/1.270 mm,0.0015 in/0.038 mm,0.0030,0.0037,0.0030 in/0.075 mm,0.0037 in/0.094 mm
QVVSN11V200S,22211 ,2 in,2.76 in / 70 mm,7.2 in / 183 mm,8.5 in / 216 mm,31900 lbf / 142000 N,31400 lbf / 140000 N,,Mounted Bearing,22211,2 in,Imperial,QVVSN11V200SB/QVVSN11V200SC/QVVSN11V200SEB/QVVSN11V200SEC/QVVSN11V200SEM/QVVSN11V200SEN/QVVSN11V200SEO/QVVSN11V200SET/QVVSN11V200SM/QVVSN11V200SN/QVVSN11V200SO/QVVSN11V200ST,Double V-Lock,Two-Bolt Pillow Block,0883450087711/0883450098946/0883450099615/0883450108027/0883450108218/0883450114875/0883450115001/0883450130387/0883450130516/0883450138437/0883450138765/0883450358071,2.76 in/70 mm,5.35 in/136 mm,2.99 in/76 mm,7.2 in/183 mm,8.5 in/216 mm,10 in/254 mm,2.68 in/68 mm,1 in/25 mm,0.625 in/16 mm,3.35 in/85 mm,0.67 in/17 mm,4.02 in/102 mm,31900 lbf/142000 N,31400 lbf/140000 N,0.23,2.95,4.40,2200 rpm,3800 rpm,1800 rpm,2200 rpm,3200 rpm,1600 rpm,0.050 in/1.270 mm,0.0015 in/0.038 mm,0.0030,0.0037,0.0030 in/0.075 mm,0.0037 in/0.094 mm
QVVP12V055S,22212 ,55 mm,2.5 in / 63.5 mm,6.5 in / 165.1 mm,7.88 in / 200.2 mm,39000 lbf / 174000 N,38100 lbf / 169000 N,,Mounted Bearing,22212,55 mm,Metric,QVVP12V055SB/QVVP12V055SC/QVVP12V055SEB/QVVP12V055SEC/QVVP12V055SEM/QVVP12V055SEN/QVVP12V055SEO/QVVP12V055SET/QVVP12V055SM/QVVP12V055SN/QVVP12V055SO/QVVP12V055ST,Double V-Lock,Two-Bolt Pillow Block,0883450032483/0883450032605/0883450095211/0883450095648/0883450106900/0883450107044/0883450113649/0883450113908/0883450126694/0883450127165/0883450137645/0883450137737,2.5 in/63.5 mm,5.25 in/133.4 mm,3.16 in/80.3 mm,6.5 in/165.1 mm,7.88 in/200.2 mm,9.63 in/244.6 mm,2.63 in/66.8 mm,1.25 in/31.8 mm,0.625 in/16 mm,3.33 in/84.6 mm,0.70 in/17.8 mm,4.02 in/102.1 mm,39000 lbf/174000 N,38100 lbf/169000 N,0.24,2.84,4.23,2000 rpm,3500 rpm,1650 rpm,2000 rpm,3000 rpm,1550 rpm,0.050 in/1.270 mm,0.0015 in/0.038 mm,0.0030,0.0037,0.0030 in/0.075 mm,0.0037 in/0.094 mm
QVVPA13V055S,22213 ,55 mm,3 in / 76.2 mm,7.2 in / 182.9 mm,9.2 in / 233.7 mm,48600 lbf / 216000 N,46400 lbf / 206000 N,,Mounted Bearing,22213,55 mm,Metric,QVVPA13V055SB/QVVPA13V055SC/QVVPA13V055SEB/QVVPA13V055SEC/QVVPA13V055SEM/QVVPA13V055SEN/QVVPA13V055SEO/QVVPA13V055SET/QVVPA13V055SM/QVVPA13V055SN/QVVPA13V055SO/QVVPA13V055ST,Double V-Lock,Two-Bolt Pillow Block,0883450146678/0883450146944/0883450152136/0883450152280/0883450169516/0883450174435/0883450183345/0883450183499/0883450261166/0883450263344/0883450282093/0883450282246,3 in/76.2 mm,5.95 in/151.1 mm,3.16 in/80.3 mm,7.2 in/182.9 mm,9.2 in/233.7 mm,10.31 in/261.9 mm,2.7 in/68.6 mm,1.23 in/31.2 mm,0.625 in/16 mm,3.36 in/85.3 mm,0.66 in/16.8 mm,4.02 in/102.1 mm,48600 lbf/216000 N,46400 lbf/206000 N,0.24,2.79,4.15,1800 rpm,3200 rpm,1500 rpm,1800 rpm,2800 rpm,1500 rpm,0.083 in/2.108 mm,0.0015 in/0.038 mm,0.0030,0.0037,0.0030 in/0.075 mm,0.0037 in/0.094 mm
QVVPKT13V055S,22213 ,55 mm,3 in / 76.2 mm,7.66 in / 194.6 mm,8.78 in / 223 mm,48600 lbf / 216000 N,46400 lbf / 206000 N,,Mounted Bearing,22213,55 mm,Metric,QVVPKT13V055SB/QVVPKT13V055SC/QVVPKT13V055SEB/QVVPKT13V055SEC/QVVPKT13V055SEM/QVVPKT13V055SEN/QVVPKT13V055SEO/QVVPKT13V055SET/QVVPKT13V055SM/QVVPKT13V055SN/QVVPKT13V055SO/QVVPKT13V055ST,Double V-Lock,Two-Bolt Pillow Block,0883450149129/0883450149150/0883450153652/0883450153683/0883450176743/0883450176774/0883450185851/0883450185882/0883450279406/0883450279437/0883450283601/0883450283632,3 in/76.2 mm,6.05 in/153.7 mm,3.16 in/80.3 mm,7.66 in/194.6 mm,8.78 in/223 mm,11.25 in/285.8 mm,2.9 in/73.7 mm,1.38 in/35.1 mm,0.75 in/20 mm,3.46 in/87.9 mm,0.56 in/14.2 mm,4.02 in/102.1 mm,48600 lbf/216000 N,46400 lbf/206000 N,0.24,2.79,4.15,1800 rpm,3200 rpm,1500 rpm,1800 rpm,2800 rpm,1500 rpm,0.083 in/2.108 mm,0.0015 in/0.038 mm,0.0030,0.0037,0.0030 in/0.075 mm,0.0037 in/0.094 mm
QVVPL12V055S,22212 ,55 mm,2.5 in / 63.5 mm,6.5 in / 165.1 mm,7.06 in / 179.3 mm,39000 lbf / 174000 N,38100 lbf / 169000 N,,Mounted Bearing,22212,55 mm,Metric,QVVPL12V055SB/QVVPL12V055SC/QVVPL12V055SEB/QVVPL12V055SEC/QVVPL12V055SEM/QVVPL12V055SEN/QVVPL12V055SEO/QVVPL12V055SET/QVVPL12V055SM/QVVPL12V055SN/QVVPL12V055SO/QVVPL12V055ST,Double V-Lock,Two-Bolt Pillow Block,0883450097017/0883450097444/0883450107433/0883450107563/0883450114301/0883450114448/0883450128490/0883450128964/0883450138000/0883450138093/0883450357524/0883450357777,2.5 in/63.5 mm,5.25 in/133.4 mm,3.16 in/80.3 mm,6.5 in/165.1 mm,7.06 in/179.3 mm,8.88 in/225.6 mm,2.58 in/65.5 mm,1.25 in/31.8 mm,0.625 in/16 mm,3.3 in/83.8 mm,0.72 in/18.3 mm,4.02 in/102.1 mm,39000 lbf/174000 N,38100 lbf/169000 N,0.24,2.84,4.23,2000 rpm,3500 rpm,1650 rpm,2000 rpm,3000 rpm,1550 rpm,0.050 in/1.270 mm,0.0015 in/0.038 mm,0.0030,0.0037,0.0030 in/0.075 mm,0.0037 in/0.094 mm
QVVSN12V055S,22212 ,55 mm,2.76 in / 70 mm,7.2 in / 183 mm,8.5 in / 216 mm,39000 lbf / 174000 N,38100 lbf / 169000 N,,Mounted Bearing,22212,55 mm,Metric,QVVSN12V055SB/QVVSN12V055SC/QVVSN12V055SEB/QVVSN12V055SEC/QVVSN12V055SEM/QVVSN12V055SEN/QVVSN12V055SEO/QVVSN12V055SET/QVVSN12V055SM/QVVSN12V055SN/QVVSN12V055SO/QVVSN12V055ST,Double V-Lock,Two-Bolt Pillow Block,0883450087742/0883450099011/0883450099622/0883450108034/0883450108225/0883450114882/0883450115018/0883450130394/0883450130523/0883450138468/0883450138772/0883450358088,2.76 in/70 mm,5.55 in/141 mm,3.15 in/80 mm,7.2 in/183 mm,8.5 in/216 mm,10 in/254 mm,2.68 in/68 mm,1 in/25 mm,0.625 in/16 mm,3.35 in/85 mm,0.67 in/17 mm,4.02 in/102 mm,39000 lbf/174000 N,38100 lbf/169000 N,0.24,2.84,4.23,2000 rpm,3500 rpm,1650 rpm,2000 rpm,3000 rpm,1550 rpm,0.050 in/1.270 mm,0.0015 in/0.038 mm,0.0030,0.0037,0.0030 in/0.075 mm,0.0037 in/0.094 mm
QVVP12V203S,22212 ,2 3/16 in,2.5 in / 63.5 mm,6.5 in / 165.1 mm,7.88 in / 200.2 mm,39000 lbf / 174000 N,38100 lbf / 169000 N,,Mounted Bearing,22212,2 3/16 in,Imperial,QVVP12V203SB/QVVP12V203SC/QVVP12V203SEB/QVVP12V203SEC/QVVP12V203SEM/QVVP12V203SEN/QVVP12V203SEO/QVVP12V203SET/QVVP12V203SM/QVVP12V203SN/QVVP12V203SO/QVVP12V203ST,Double V-Lock,Two-Bolt Pillow Block,0883450032469/0883450032575/0883450095112/0883450095549/0883450106887/0883450107013/0883450113588/0883450113847/0883450126595/0883450127066/0883450137621/0883450137713,2.5 in/63.5 mm,5.25 in/133.4 mm,3.16 in/80.3 mm,6.5 in/165.1 mm,7.88 in/200.2 mm,9.63 in/244.6 mm,2.63 in/66.8 mm,1.25 in/31.8 mm,0.625 in/16 mm,3.33 in/84.6 mm,0.70 in/17.8 mm,4.02 in/102.1 mm,39000 lbf/174000 N,38100 lbf/169000 N,0.24,2.84,4.23,2000 rpm,3500 rpm,1650 rpm,2000 rpm,3000 rpm,1550 rpm,0.050 in/1.270 mm,0.0015 in/0.038 mm,0.0030,0.0037,0.0030 in/0.075 mm,0.0037 in/0.094 mm
QVVPA13V203S,22213 ,2 3/16 in,3 in / 76.2 mm,7.2 in / 182.9 mm,9.2 in / 233.7 mm,48600 lbf / 216000 N,46400 lbf / 206000 N,,Mounted Bearing,22213,2 3/16 in,Imperial,QVVPA13V203SB/QVVPA13V203SC/QVVPA13V203SEB/QVVPA13V203SEC/QVVPA13V203SEM/QVVPA13V203SEN/QVVPA13V203SEO/QVVPA13V203SET/QVVPA13V203SM/QVVPA13V203SN/QVVPA13V203SO/QVVPA13V203ST,Double V-Lock,Two-Bolt Pillow Block,0883450146654/0883450146906/0883450152112/0883450152266/0883450169479/0883450174411/0883450183246/0883450183475/0883450260862/0883450263320/0883450282079/0883450282222,3 in/76.2 mm,5.95 in/151.1 mm,3.16 in/80.3 mm,7.2 in/182.9 mm,9.2 in/233.7 mm,10.31 in/261.9 mm,2.7 in/68.6 mm,1.23 in/31.2 mm,0.625 in/16 mm,3.36 in/85.3 mm,0.66 in/16.8 mm,4.02 in/102.1 mm,48600 lbf/216000 N,46400 lbf/206000 N,0.24,2.79,4.15,1800 rpm,3200 rpm,1500 rpm,1800 rpm,2800 rpm,1500 rpm,0.083 in/2.108 mm,0.0015 in/0.038 mm,0.0030,0.0037,0.0030 in/0.075 mm,0.0037 in/0.094 mm
QVVPKT13V203S,22213 ,2 3/16 in,3 in / 76.2 mm,7.66 in / 194.6 mm,8.78 in / 223 mm,48600 lbf / 216000 N,46400 lbf / 206000 N,,Mounted Bearing,22213,2 3/16 in,Imperial,QVVPKT13V203SB/QVVPKT13V203SC/QVVPKT13V203SEB/QVVPKT13V203SEC/QVVPKT13V203SEM/QVVPKT13V203SEN/QVVPKT13V203SEO/QVVPKT13V203SET/QVVPKT13V203SM/QVVPKT13V203SN/QVVPKT13V203SO/QVVPKT13V203ST,Double V-Lock,Two-Bolt Pillow Block,0883450149082/0883450149136/0883450153638/0883450153669/0883450176729/0883450176750/0883450185837/0883450185868/0883450279383/0883450279413/0883450283588/0883450283618,3 in/76.2 mm,6.05 in/153.7 mm,3.16 in/80.3 mm,7.66 in/194.6 mm,8.78 in/223 mm,11.25 in/285.8 mm,2.9 in/73.7 mm,1.38 in/35.1 mm,0.75 in/20 mm,3.46 in/87.9 mm,0.56 in/14.2 mm,4.02 in/102.1 mm,48600 lbf/216000 N,46400 lbf/206000 N,0.24,2.79,4.15,1800 rpm,3200 rpm,1500 rpm,1800 rpm,2800 rpm,1500 rpm,0.083 in/2.108 mm,0.0015 in/0.038 mm,0.0030,0.0037,0.0030 in/0.075 mm,0.0037 in/0.094 mm
