Part Number,Shaft Size,Shaft Size Type,Dimension L,Dimension A,C90 Dynamic Load Rating,Max. Speed,Lubrication,Housing Coating,CAD,Shaft Size,Shaft Size Type,UPC Code,Lubrication,Housing Coating,Dimension B,Dimension L,Dimension A,Dimension J Min.,Dimension J Max.,Bolt Diameter,Dimension N,Dimension N1,Dimension N2,Dimension H1,Dimension H2,Dimension d1,Dimension H,e,X (if Fa/Fr ≤ e),Y (if Fa/Fr ≤ e),X (if Fa/Fr > e),Y (if Fa/Fr > e),K Factor,C90 Dynamic Load Rating1,C0 Static Load Rating,Fa-max Maximum Permissible Thrust Load2,Fr-max Maximum Allowable Slip Fit Radial Load3,Max. Speed4,Note,Type E Closed Cover Number,Dimension Ac,Dimension d2,Type E Open Cover Number
E-P4B-TRB-60MM-ECO/ECO,60 mm,Metric ,10-1/2 in,3-1/2 in,11600 lbf,2420 rpm,Grease - Premium Industrial ,E-Coat ,,60 mm,Metric,0883450509275,Grease - Premium Industrial,E-Coat,4 in,10-1/2 in,3-1/2 in,8-5/16 in,8-11/16 in,5/8 in,11/16 in,7/8 in,1-7/8 in,1-5/8 in,5-23/32 in,4-1/16 in,2-3/4 in,0.40,0.87,2.17,0.7,2.63,1.51,11600 lbf,54000 lbf,3454 lbf,9500 lbf,2420 rpm,"Note: All units have a 1/8"" pipe thread grease fittingThe Maximum Permissible Thrust Load applies to conditions of slip fit with set screw mounting or in applications where a large moment loading occurs. The values shownare valid only when two collars and set screws are used.When heavy thrust forces are applied, the friction between the pillow block base may not be sufficient to prevent movement. Mechanical stops or shear bars withstrength sufficient to support the load should be added. Never weld the pillow block or bearing to secure it to the shaft or base.",,5.85 in,4.945 in,EUDR-60MM
E-P4B-TRB-60MM-ECO,60 mm,Metric ,10-1/2 in,3-1/2 in,11600 lbf,2420 rpm,Grease - Premium Industrial ,E-Coat ,,60 mm,Metric,0883450507646,Grease - Premium Industrial,E-Coat,4 in,10-1/2 in,3-1/2 in,8-5/16 in,8-11/16 in,5/8 in,11/16 in,7/8 in,1-7/8 in,1-5/8 in,5-23/32 in,4-1/16 in,2-3/4 in,0.40,0.87,2.17,0.7,2.63,1.51,11600 lbf,54000 lbf,3454 lbf,9500 lbf,2420 rpm,"Note: All units have a 1/8"" pipe thread grease fittingThe Maximum Permissible Thrust Load applies to conditions of slip fit with set screw mounting or in applications where a large moment loading occurs. The values shownare valid only when two collars and set screws are used.When heavy thrust forces are applied, the friction between the pillow block base may not be sufficient to prevent movement. Mechanical stops or shear bars withstrength sufficient to support the load should be added. Never weld the pillow block or bearing to secure it to the shaft or base.",,4.675 in,4.945 in,EUDR-60MM
E-P4B-TRB-60MM-SLA,60 mm,Metric ,10-1/2 in,3-1/2 in,11600 lbf,2420 rpm,Solid Lube - Food Grade ,E-Coat ,,60 mm,Metric,,Solid Lube - Food Grade,E-Coat,4 in,10-1/2 in,3-1/2 in,8-5/16 in,8-11/16 in,5/8 in,11/16 in,7/8 in,1-7/8 in,1-5/8 in,5-23/32 in,4-1/16 in,2-3/4 in,0.40,0.87,2.17,0.7,2.63,1.51,11600 lbf,54000 lbf,3454 lbf,9500 lbf,2420 rpm,"Note: All units have a 1/8"" pipe thread grease fittingThe Maximum Permissible Thrust Load applies to conditions of slip fit with set screw mounting or in applications where a large moment loading occurs. The values shownare valid only when two collars and set screws are used.When heavy thrust forces are applied, the friction between the pillow block base may not be sufficient to prevent movement. Mechanical stops or shear bars withstrength sufficient to support the load should be added. Never weld the pillow block or bearing to secure it to the shaft or base.",,,,
E-P4B-TRB-60MM-SLJ,60 mm,Metric ,10-1/2 in,3-1/2 in,11600 lbf,2420 rpm,Solid Lube - Food Grade ,E-Coat ,,60 mm,Metric,,Solid Lube - Food Grade,E-Coat,4 in,10-1/2 in,3-1/2 in,8-5/16 in,8-11/16 in,5/8 in,11/16 in,7/8 in,1-7/8 in,1-5/8 in,5-23/32 in,4-1/16 in,2-3/4 in,0.40,0.87,2.17,0.7,2.63,1.51,11600 lbf,54000 lbf,3454 lbf,9500 lbf,2420 rpm,"Note: All units have a 1/8"" pipe thread grease fittingThe Maximum Permissible Thrust Load applies to conditions of slip fit with set screw mounting or in applications where a large moment loading occurs. The values shownare valid only when two collars and set screws are used.When heavy thrust forces are applied, the friction between the pillow block base may not be sufficient to prevent movement. Mechanical stops or shear bars withstrength sufficient to support the load should be added. Never weld the pillow block or bearing to secure it to the shaft or base.",,,,
E-P4B-TRB-2 7/16,2 7/16 in,Imperial ,10-1/2 in,3-1/2 in,11600 lbf,2420 rpm,Grease - Premium Industrial ,E-Coat ,,2 7/16 in,Imperial,053893607535,Grease - Premium Industrial,E-Coat,4 in,10-1/2 in,3-1/2 in,8-5/16 in,8-11/16 in,5/8 in,11/16 in,7/8 in,1-7/8 in,1-5/8 in,5-23/32 in,4-1/16 in,2-3/4 in,0.40,0.87,2.17,0.7,2.63,1.51,11600 lbf,54000 lbf,3454 lbf,9500 lbf,2420 rpm,"Note: All units have a 1/8"" pipe thread grease fittingThe Maximum Permissible Thrust Load applies to conditions of slip fit with set screw mounting or in applications where a large moment loading occurs. The values shownare valid only when two collars and set screws are used.When heavy thrust forces are applied, the friction between the pillow block base may not be sufficient to prevent movement. Mechanical stops or shear bars withstrength sufficient to support the load should be added. Never weld the pillow block or bearing to secure it to the shaft or base.",,,,
E-P4B-TRB-2 7/16-ECC,2 7/16 in,Imperial ,10-1/2 in,3-1/2 in,11600 lbf,2420 rpm,Grease - Premium Industrial ,E-Coat ,,2 7/16 in,Imperial,0883450504294,Grease - Premium Industrial,E-Coat,4 in,10-1/2 in,3-1/2 in,8-5/16 in,8-11/16 in,5/8 in,11/16 in,7/8 in,1-7/8 in,1-5/8 in,5-23/32 in,4-1/16 in,2-3/4 in,0.40,0.87,2.17,0.7,2.63,1.51,11600 lbf,54000 lbf,3454 lbf,9500 lbf,2420 rpm,"Note: All units have a 1/8"" pipe thread grease fittingThe Maximum Permissible Thrust Load applies to conditions of slip fit with set screw mounting or in applications where a large moment loading occurs. The values shownare valid only when two collars and set screws are used.When heavy thrust forces are applied, the friction between the pillow block base may not be sufficient to prevent movement. Mechanical stops or shear bars withstrength sufficient to support the load should be added. Never weld the pillow block or bearing to secure it to the shaft or base.",EUC-F,4.575 in,4.945 in,
E-P4B-TRB-2 7/16-ECO/ECC,2 7/16 in,Imperial ,10-1/2 in,3-1/2 in,11600 lbf,2420 rpm,Grease - Premium Industrial ,E-Coat ,,2 7/16 in,Imperial,0883450505925,Grease - Premium Industrial,E-Coat,4 in,10-1/2 in,3-1/2 in,8-5/16 in,8-11/16 in,5/8 in,11/16 in,7/8 in,1-7/8 in,1-5/8 in,5-23/32 in,4-1/16 in,2-3/4 in,0.40,0.87,2.17,0.7,2.63,1.51,11600 lbf,54000 lbf,3454 lbf,9500 lbf,2420 rpm,"Note: All units have a 1/8"" pipe thread grease fittingThe Maximum Permissible Thrust Load applies to conditions of slip fit with set screw mounting or in applications where a large moment loading occurs. The values shownare valid only when two collars and set screws are used.When heavy thrust forces are applied, the friction between the pillow block base may not be sufficient to prevent movement. Mechanical stops or shear bars withstrength sufficient to support the load should be added. Never weld the pillow block or bearing to secure it to the shaft or base.",EUC-F,5.75 in,4.945 in,EUDR-2 7/16
E-P4B-TRB-2 7/16-ECO/ECO,2 7/16 in,Imperial ,10-1/2 in,3-1/2 in,11600 lbf,2420 rpm,Grease - Premium Industrial ,E-Coat ,,2 7/16 in,Imperial,0883450509152,Grease - Premium Industrial,E-Coat,4 in,10-1/2 in,3-1/2 in,8-5/16 in,8-11/16 in,5/8 in,11/16 in,7/8 in,1-7/8 in,1-5/8 in,5-23/32 in,4-1/16 in,2-3/4 in,0.40,0.87,2.17,0.7,2.63,1.51,11600 lbf,54000 lbf,3454 lbf,9500 lbf,2420 rpm,"Note: All units have a 1/8"" pipe thread grease fittingThe Maximum Permissible Thrust Load applies to conditions of slip fit with set screw mounting or in applications where a large moment loading occurs. The values shownare valid only when two collars and set screws are used.When heavy thrust forces are applied, the friction between the pillow block base may not be sufficient to prevent movement. Mechanical stops or shear bars withstrength sufficient to support the load should be added. Never weld the pillow block or bearing to secure it to the shaft or base.",,5.85 in,4.945 in,EUDR-2 7/16
E-P4B-TRB-2 7/16-ECO,2 7/16 in,Imperial ,10-1/2 in,3-1/2 in,11600 lbf,2420 rpm,Grease - Premium Industrial ,E-Coat ,,2 7/16 in,Imperial,0883450507523,Grease - Premium Industrial,E-Coat,4 in,10-1/2 in,3-1/2 in,8-5/16 in,8-11/16 in,5/8 in,11/16 in,7/8 in,1-7/8 in,1-5/8 in,5-23/32 in,4-1/16 in,2-3/4 in,0.40,0.87,2.17,0.7,2.63,1.51,11600 lbf,54000 lbf,3454 lbf,9500 lbf,2420 rpm,"Note: All units have a 1/8"" pipe thread grease fittingThe Maximum Permissible Thrust Load applies to conditions of slip fit with set screw mounting or in applications where a large moment loading occurs. The values shownare valid only when two collars and set screws are used.When heavy thrust forces are applied, the friction between the pillow block base may not be sufficient to prevent movement. Mechanical stops or shear bars withstrength sufficient to support the load should be added. Never weld the pillow block or bearing to secure it to the shaft or base.",,4.675 in,4.945 in,EUDR-2 7/16
E-P4B-TRB-2 7/16-SLA,2 7/16 in,Imperial ,10-1/2 in,3-1/2 in,11600 lbf,2420 rpm,Solid Lube - Food Grade ,E-Coat ,,2 7/16 in,Imperial,,Solid Lube - Food Grade,E-Coat,4 in,10-1/2 in,3-1/2 in,8-5/16 in,8-11/16 in,5/8 in,11/16 in,7/8 in,1-7/8 in,1-5/8 in,5-23/32 in,4-1/16 in,2-3/4 in,0.40,0.87,2.17,0.7,2.63,1.51,11600 lbf,54000 lbf,3454 lbf,9500 lbf,2420 rpm,"Note: All units have a 1/8"" pipe thread grease fittingThe Maximum Permissible Thrust Load applies to conditions of slip fit with set screw mounting or in applications where a large moment loading occurs. The values shownare valid only when two collars and set screws are used.When heavy thrust forces are applied, the friction between the pillow block base may not be sufficient to prevent movement. Mechanical stops or shear bars withstrength sufficient to support the load should be added. Never weld the pillow block or bearing to secure it to the shaft or base.",,,,
E-P4B-TRB-2 7/16-SLJ,2 7/16 in,Imperial ,10-1/2 in,3-1/2 in,11600 lbf,2420 rpm,Solid Lube - Food Grade ,E-Coat ,,2 7/16 in,Imperial,,Solid Lube - Food Grade,E-Coat,4 in,10-1/2 in,3-1/2 in,8-5/16 in,8-11/16 in,5/8 in,11/16 in,7/8 in,1-7/8 in,1-5/8 in,5-23/32 in,4-1/16 in,2-3/4 in,0.40,0.87,2.17,0.7,2.63,1.51,11600 lbf,54000 lbf,3454 lbf,9500 lbf,2420 rpm,"Note: All units have a 1/8"" pipe thread grease fittingThe Maximum Permissible Thrust Load applies to conditions of slip fit with set screw mounting or in applications where a large moment loading occurs. The values shownare valid only when two collars and set screws are used.When heavy thrust forces are applied, the friction between the pillow block base may not be sufficient to prevent movement. Mechanical stops or shear bars withstrength sufficient to support the load should be added. Never weld the pillow block or bearing to secure it to the shaft or base.",,,,
E-P4B-TRB-2 1/2,2 1/2 in,Imperial ,10-1/2 in,3-1/2 in,11600 lbf,2420 rpm,Grease - Premium Industrial ,E-Coat ,,2 1/2 in,Imperial,053893607542,Grease - Premium Industrial,E-Coat,4 in,10-1/2 in,3-1/2 in,8-5/16 in,8-11/16 in,5/8 in,11/16 in,7/8 in,1-7/8 in,1-5/8 in,5-23/32 in,4-1/16 in,2-3/4 in,0.40,0.87,2.17,0.7,2.63,1.51,11600 lbf,54000 lbf,3454 lbf,9500 lbf,2420 rpm,"Note: All units have a 1/8"" pipe thread grease fittingThe Maximum Permissible Thrust Load applies to conditions of slip fit with set screw mounting or in applications where a large moment loading occurs. The values shownare valid only when two collars and set screws are used.When heavy thrust forces are applied, the friction between the pillow block base may not be sufficient to prevent movement. Mechanical stops or shear bars withstrength sufficient to support the load should be added. Never weld the pillow block or bearing to secure it to the shaft or base.",,,,
E-P4B-TRB-2 1/2-ECC,2 1/2 in,Imperial ,10-1/2 in,3-1/2 in,11600 lbf,2420 rpm,Grease - Premium Industrial ,E-Coat ,,2 1/2 in,Imperial,0883450504249,Grease - Premium Industrial,E-Coat,4 in,10-1/2 in,3-1/2 in,8-5/16 in,8-11/16 in,5/8 in,11/16 in,7/8 in,1-7/8 in,1-5/8 in,5-23/32 in,4-1/16 in,2-3/4 in,0.40,0.87,2.17,0.7,2.63,1.51,11600 lbf,54000 lbf,3454 lbf,9500 lbf,2420 rpm,"Note: All units have a 1/8"" pipe thread grease fittingThe Maximum Permissible Thrust Load applies to conditions of slip fit with set screw mounting or in applications where a large moment loading occurs. The values shownare valid only when two collars and set screws are used.When heavy thrust forces are applied, the friction between the pillow block base may not be sufficient to prevent movement. Mechanical stops or shear bars withstrength sufficient to support the load should be added. Never weld the pillow block or bearing to secure it to the shaft or base.",EUC-F,4.575 in,4.945 in,
E-P4B-TRB-2 1/2-ECO/ECC,2 1/2 in,Imperial ,10-1/2 in,3-1/2 in,11600 lbf,2420 rpm,Grease - Premium Industrial ,E-Coat ,,2 1/2 in,Imperial,0883450505871,Grease - Premium Industrial,E-Coat,4 in,10-1/2 in,3-1/2 in,8-5/16 in,8-11/16 in,5/8 in,11/16 in,7/8 in,1-7/8 in,1-5/8 in,5-23/32 in,4-1/16 in,2-3/4 in,0.40,0.87,2.17,0.7,2.63,1.51,11600 lbf,54000 lbf,3454 lbf,9500 lbf,2420 rpm,"Note: All units have a 1/8"" pipe thread grease fittingThe Maximum Permissible Thrust Load applies to conditions of slip fit with set screw mounting or in applications where a large moment loading occurs. The values shownare valid only when two collars and set screws are used.When heavy thrust forces are applied, the friction between the pillow block base may not be sufficient to prevent movement. Mechanical stops or shear bars withstrength sufficient to support the load should be added. Never weld the pillow block or bearing to secure it to the shaft or base.",EUC-F,5.75 in,4.945 in,EUDR-2 1/2
E-P4B-TRB-2 1/2-ECO/ECO,2 1/2 in,Imperial ,10-1/2 in,3-1/2 in,11600 lbf,2420 rpm,Grease - Premium Industrial ,E-Coat ,,2 1/2 in,Imperial,0883450509107,Grease - Premium Industrial,E-Coat,4 in,10-1/2 in,3-1/2 in,8-5/16 in,8-11/16 in,5/8 in,11/16 in,7/8 in,1-7/8 in,1-5/8 in,5-23/32 in,4-1/16 in,2-3/4 in,0.40,0.87,2.17,0.7,2.63,1.51,11600 lbf,54000 lbf,3454 lbf,9500 lbf,2420 rpm,"Note: All units have a 1/8"" pipe thread grease fittingThe Maximum Permissible Thrust Load applies to conditions of slip fit with set screw mounting or in applications where a large moment loading occurs. The values shownare valid only when two collars and set screws are used.When heavy thrust forces are applied, the friction between the pillow block base may not be sufficient to prevent movement. Mechanical stops or shear bars withstrength sufficient to support the load should be added. Never weld the pillow block or bearing to secure it to the shaft or base.",,5.85 in,4.945 in,EUDR-2 1/2
E-P4B-TRB-2 11/16-ECO,2 11/16 in,Imperial ,12 in,4 in,12300 lbf,2060 rpm,Grease - Premium Industrial ,E-Coat ,,2 11/16 in,Imperial,0883450507493,Grease - Premium Industrial,E-Coat,4-1/2 in,12 in,4 in,9-3/16 in,9-13/16 in,5/8 in,11/16 in,1 in,2-1/8 in,1-7/8 in,6-1/4 in,4-23/32 in,3-1/8 in,0.46,0.87,1.87,0.7,2.26,1.30,12300 lbf,61200 lbf,5181 lbf,10000 lbf,2060 rpm,"Note: All units have a 1/8"" pipe thread grease fittingThe Maximum Permissible Thrust Load applies to conditions of slip fit with set screw mounting or in applications where a large moment loading occurs. The values shownare valid only when two collars and set screws are used.When heavy thrust forces are applied, the friction between the pillow block base may not be sufficient to prevent movement. Mechanical stops or shear bars withstrength sufficient to support the load should be added. Never weld the pillow block or bearing to secure it to the shaft or base.",,5.3 in,5.65 in,EUDR-2 11/16
E-P4B-TRB-2 11/16-SLA,2 11/16 in,Imperial ,12 in,4 in,12300 lbf,2060 rpm,Solid Lube - Food Grade ,E-Coat ,,2 11/16 in,Imperial,,Solid Lube - Food Grade,E-Coat,4-1/2 in,12 in,4 in,9-3/16 in,9-13/16 in,5/8 in,11/16 in,1 in,2-1/8 in,1-7/8 in,6-1/4 in,4-23/32 in,3-1/8 in,0.46,0.87,1.87,0.7,2.26,1.30,12300 lbf,61200 lbf,5181 lbf,10000 lbf,2060 rpm,"Note: All units have a 1/8"" pipe thread grease fittingThe Maximum Permissible Thrust Load applies to conditions of slip fit with set screw mounting or in applications where a large moment loading occurs. The values shownare valid only when two collars and set screws are used.When heavy thrust forces are applied, the friction between the pillow block base may not be sufficient to prevent movement. Mechanical stops or shear bars withstrength sufficient to support the load should be added. Never weld the pillow block or bearing to secure it to the shaft or base.",,,,
E-P4B-TRB-2 11/16-SLJ,2 11/16 in,Imperial ,12 in,4 in,12300 lbf,2060 rpm,Solid Lube - Food Grade ,E-Coat ,,2 11/16 in,Imperial,,Solid Lube - Food Grade,E-Coat,4-1/2 in,12 in,4 in,9-3/16 in,9-13/16 in,5/8 in,11/16 in,1 in,2-1/8 in,1-7/8 in,6-1/4 in,4-23/32 in,3-1/8 in,0.46,0.87,1.87,0.7,2.26,1.30,12300 lbf,61200 lbf,5181 lbf,10000 lbf,2060 rpm,"Note: All units have a 1/8"" pipe thread grease fittingThe Maximum Permissible Thrust Load applies to conditions of slip fit with set screw mounting or in applications where a large moment loading occurs. The values shownare valid only when two collars and set screws are used.When heavy thrust forces are applied, the friction between the pillow block base may not be sufficient to prevent movement. Mechanical stops or shear bars withstrength sufficient to support the load should be added. Never weld the pillow block or bearing to secure it to the shaft or base.",,,,
