Part Number,Bearing Number,Shaft Size,Base to Center Height,Bolt Spacing Min,Bolt Spacing Max,Bolt Hole Spacing - Across,C0 - Static Load,C - Dynamic Load (Basic),CAD,Engineering Group,Bearing Number,Shaft Size,Shaft Size Type,Full Timken Part Number,Locking Style,Housing Construction,UPC Code,Dimension A,Dimension B,Dimension C,Dimension D Min,Dimension D Max,Dimension E,Dimension F,Dimension G,Dimension H,Dimension J (Bolt Size),Dimension L,Dimension MT,Dimension RTT,Dimension ST,C0 - Static Load,C - Dynamic Load (Basic),e - Geometry Factor,Y1 - Geometry Factor,Y2 - Geometry Factor,Oil Lubrication - M/N Seal,Oil Lubrication - T Seal,Oil Lubrication - B/C/O Seal,Grease Lubrication - M/N Seal,Grease Lubrication - T Seal,Grease Lubrication - B/C/O Seal,Float,Shaft Tolerance,Pre Install Clearance Min,Pre Install Clearance Max
TAAPH13K204S,22213 ,2 1/4 in,3 in / 76.2 mm,7.18 in / 182.4 mm,8.56 in / 217.4 mm,2 in / 50.8 mm,48600 lbf / 216000 N,46400 lbf / 206000 N,,Mounted Bearing,22213,2 1/4 in,Imperial,TAAPH13K204SB/TAAPH13K204SC/TAAPH13K204SEB/TAAPH13K204SEC/TAAPH13K204SEM/TAAPH13K204SEN/TAAPH13K204SEO/TAAPH13K204SET/TAAPH13K204SM/TAAPH13K204SN/TAAPH13K204SO/TAAPH13K204ST,Double Nut Tapered Adapter,Four-Bolt Pillow Block,0883450128872/0883450128889/0883450128902/0883450128919/0883450128926/0883450128933/0883450128940/0883450128957/0883450198486/0883450198684/0883450275989/0883450276184,3 in/76.2 mm,5.95 in/151.1 mm,3.35 in/85.1 mm,7.18 in/182.4 mm,8.56 in/217.4 mm,2 in/50.8 mm,10.31 in/261.9 mm,3.25 in/82.6 mm,1.23 in/31.2 mm,0.5 in/12 mm,3.19 in/81 mm,1.72 in/43.7 mm,0.2 in/5.1 mm,3.26 in/82.8 mm,48600 lbf/216000 N,46400 lbf/206000 N,0.24,2.79,4.15,1800 rpm,3200 rpm,1500 rpm,1800 rpm,2800 rpm,1500 rpm,0.083 in/2.108 mm,0.0030 in/0.076 mm,0.0030 in/0.076 mm,0.0037 in/0.094 mm
TAAPG16K212S,22216 ,2 3/4 in,3.74 in / 95 mm,9.25 in / 235 mm,10.5 in / 266.7 mm,1.97 in / 50 mm,62500 lbf / 278000 N,57200 lbf / 254000 N,,Mounted Bearing,22216,2 3/4 in,Imperial,,Double Nut Tapered Adapter,Four-Bolt Pillow Block,,3.74 in/95 mm,7.1 in/180.3 mm,4.12 in/104.6 mm,9.25 in/235 mm,10.5 in/266.7 mm,1.97 in/50 mm,12.4 in/315 mm,3.54 in/89.9 mm,1.25 in/31.8 mm,0.625 in/16 mm,3.64 in/92.5 mm,2.04 in/51.7 mm,0.45 in/11.3 mm,3.91 in/99.33 mm,62500 lbf/278000 N,57200 lbf/254000 N,0.22,3.14,4.67,1500 rpm,2650 rpm,1200 rpm,1500 rpm,2200 rpm,1150 rpm,0.083 in/2.108 mm,0.0020 in/0.051 mm,0.0037 in/0.095 mm,0.0047 in/0.120 mm
TAAPH16K212S,22216 ,2 3/4 in,3.5 in / 88.9 mm,9 in / 228.6 mm,11 in / 279.4 mm,2.13 in / 53.9 mm,62500 lbf / 278000 N,57200 lbf / 254000 N,,Mounted Bearing,22216,2 3/4 in,Imperial,,Double Nut Tapered Adapter,Four-Bolt Pillow Block,,3.5 in/88.9 mm,6.96 in/176.6 mm,4.12 in/104.7 mm,9 in/228.6 mm,11 in/279.4 mm,2.13 in/53.9 mm,13 in/330.2 mm,3-1/2 in/88.9 mm,1.25 in/31.7 mm,0.325 in/16 mm,3.61 in/91.7 mm,2.04 in/51.7 mm,0.45 in/11.3 mm,3.91 in/99.33 mm,62500 lbf/278000 N,57200 lbf/254000 N,0.22,3.14,4.67,1500 rpm,2650 rpm,1200 rpm,1500 rpm,2200 rpm,1150 rpm,0.083 in/2.108 mm,0.0020 in/0.051 mm,0.0037 in/0.095 mm,0.0047 in/0.120 mm
TAAPG13K060S,22213 ,60 mm,3.15 in / 80 mm,7.18 in / 182.4 mm,8.56 in / 217.4 mm,1.89 in / 48 mm,48600 lbf / 216000 N,46400 lbf / 206000 N,,Mounted Bearing,22213,60 mm,Metric,TAAPG13K060SB/TAAPG13K060SC/TAAPG13K060SEB/TAAPG13K060SEC/TAAPG13K060SEM/TAAPG13K060SEN/TAAPG13K060SEO/TAAPG13K060SET/TAAPG13K060SM/TAAPG13K060SN/TAAPG13K060SO/TAAPG13K060ST,Double Nut Tapered Adapter,Four-Bolt Pillow Block,0883450126670/0883450126687/0883450126700/0883450126717/0883450126724/0883450126731/0883450126748/0883450126755/0883450198097/0883450198295/0883450275590/0883450275798,3.15 in/80 mm,6.1 in/154.9 mm,3.35 in/85.1 mm,7.18 in/182.4 mm,8.56 in/217.4 mm,1.89 in/48 mm,10.31 in/261.9 mm,3.25 in/82.6 mm,1.38 in/35.1 mm,0.625 in/16 mm,3.19 in/81 mm,1.72 in/43.7 mm,0.2 in/5.1 mm,3.26 in/82.8 mm,48600 lbf/216000 N,46400 lbf/206000 N,0.24,2.79,4.15,1800 rpm,3200 rpm,1500 rpm,1800 rpm,2800 rpm,1500 rpm,0.083 in/2.108 mm,0.0030 in/0.076 mm,0.0030 in/0.076 mm,0.0037 in/0.094 mm
TAAPH13K060S,22213 ,60 mm,3 in / 76.2 mm,7.18 in / 182.4 mm,8.56 in / 217.4 mm,2 in / 50.8 mm,48600 lbf / 216000 N,46400 lbf / 206000 N,,Mounted Bearing,22213,60 mm,Metric,TAAPH13K060SB/TAAPH13K060SC/TAAPH13K060SEB/TAAPH13K060SEC/TAAPH13K060SEM/TAAPH13K060SEN/TAAPH13K060SEO/TAAPH13K060SET/TAAPH13K060SM/TAAPH13K060SN/TAAPH13K060SO/TAAPH13K060ST,Double Nut Tapered Adapter,Four-Bolt Pillow Block,0883450128674/0883450128681/0883450128704/0883450128711/0883450128728/0883450128735/0883450128742/0883450128759/0883450198493/0883450198691/0883450275996/0883450276191,3 in/76.2 mm,5.95 in/151.1 mm,3.35 in/85.1 mm,7.18 in/182.4 mm,8.56 in/217.4 mm,2 in/50.8 mm,10.31 in/261.9 mm,3.25 in/82.6 mm,1.23 in/31.2 mm,0.5 in/12 mm,3.19 in/81 mm,1.72 in/43.7 mm,0.2 in/5.1 mm,3.26 in/82.8 mm,48600 lbf/216000 N,46400 lbf/206000 N,0.24,2.79,4.15,1800 rpm,3200 rpm,1500 rpm,1800 rpm,2800 rpm,1500 rpm,0.083 in/2.108 mm,0.0030 in/0.076 mm,0.0030 in/0.076 mm,0.0037 in/0.094 mm
TAAPG15K207S,22215 ,2 7/16 in,3.15 in / 80 mm,7.94 in / 201.7 mm,9.69 in / 246.1 mm,1.56 in / 39.6 mm,54100 lbf / 240000 N,49900 lbf / 222000 N,,Mounted Bearing,22215,2 7/16 in,Imperial,TAAPG15K207SB/TAAPG15K207SC/TAAPG15K207SEB/TAAPG15K207SEC/TAAPG15K207SEM/TAAPG15K207SEN/TAAPG15K207SEO/TAAPG15K207SET/TAAPG15K207SM/TAAPG15K207SN/TAAPG15K207SO/TAAPG15K207ST,Double Nut Tapered Adapter,Four-Bolt Pillow Block,0883450127073/0883450127080/0883450127103/0883450127110/0883450127127/0883450127134/0883450127141/0883450127158/0883450198103/0883450198301/0883450275606/0883450275804,3.15 in/80 mm,6.38 in/162.1 mm,3.86 in/98 mm,7.94 in/201.7 mm,9.69 in/246.1 mm,1.56 in/39.6 mm,10.88 in/276.4 mm,3.13 in/79.5 mm,1.19 in/30.2 mm,0.625 in/16 mm,3.3 in/83.8 mm,1.92 in/48.8 mm,0.33 in/8.4 mm,3.64 in/92.5 mm,54100 lbf/240000 N,49900 lbf/222000 N,0.22,3.14,4.67,1600 rpm,2900 rpm,1300 rpm,1600 rpm,2400 rpm,1300 rpm,0.083 in/2.108 mm,0.0035 in/0.089 mm,0.0037 in/0.094 mm,0.0047 in/0.119 mm
TAAPH15K207S,22215 ,2 7/16 in,3.25 in / 82.6 mm,7.94 in / 201.7 mm,9.69 in / 246.1 mm,1.88 in / 47.8 mm,54100 lbf / 240000 N,49900 lbf / 222000 N,,Mounted Bearing,22215,2 7/16 in,Imperial,TAAPH15K207SB/TAAPH15K207SC/TAAPH15K207SEB/TAAPH15K207SEC/TAAPH15K207SEM/TAAPH15K207SEN/TAAPH15K207SEO/TAAPH15K207SET/TAAPH15K207SM/TAAPH15K207SN/TAAPH15K207SO/TAAPH15K207ST,Double Nut Tapered Adapter,Four-Bolt Pillow Block,0883450129077/0883450129084/0883450129107/0883450129114/0883450129121/0883450129138/0883450129145/0883450129152/0883450198509/0883450198707/0883450276009/0883450276207,3.25 in/82.6 mm,6.38 in/162.1 mm,3.86 in/98 mm,7.94 in/201.7 mm,9.69 in/246.1 mm,1.88 in/47.8 mm,10.88 in/276.4 mm,3.13 in/79.5 mm,1.29 in/32.8 mm,0.5 in/12 mm,3.29 in/83.6 mm,1.92 in/48.8 mm,0.33 in/8.4 mm,3.64 in/92.5 mm,54100 lbf/240000 N,49900 lbf/222000 N,0.22,3.14,4.67,1600 rpm,2900 rpm,1300 rpm,1600 rpm,2400 rpm,1300 rpm,0.083 in/2.108 mm,0.0035 in/0.089 mm,0.0037 in/0.094 mm,0.0047 in/0.119 mm
TAAPK15K207S,22215 ,2 7/16 in,3.5 in / 88.9 mm,9.06 in / 230.1 mm,10.44 in / 265.2 mm,2.75 in / 69.9 mm,54100 lbf / 240000 N,49900 lbf / 222000 N,,Mounted Bearing,22215,2 7/16 in,Imperial,TAAPK15K207SB/TAAPK15K207SC/TAAPK15K207SEB/TAAPK15K207SEC/TAAPK15K207SEM/TAAPK15K207SEN/TAAPK15K207SEO/TAAPK15K207SET/TAAPK15K207SM/TAAPK15K207SN/TAAPK15K207SO/TAAPK15K207ST,Double Nut Tapered Adapter,Four-Bolt Pillow Block,0883450131070/0883450131087/0883450131100/0883450131117/0883450131124/0883450131131/0883450131148/0883450131155/0883450198905/0883450199100/0883450276542/0883450276740,3.5 in/88.9 mm,6.83 in/173.5 mm,3.86 in/98 mm,9.06 in/230.1 mm,10.44 in/265.2 mm,2.75 in/69.9 mm,13 in/330.2 mm,4.25 in/108 mm,1.54 in/39.1 mm,0.75 in/20 mm,3.86 in/98 mm,1.92 in/48.8 mm,0.18 in/4.6 mm,3.64 in/92.5 mm,54100 lbf/240000 N,49900 lbf/222000 N,0.22,3.14,4.67,1600 rpm,2900 rpm,1300 rpm,1600 rpm,2400 rpm,1300 rpm,0.083 in/2.108 mm,0.0035 in/0.089 mm,0.0037 in/0.094 mm,0.0047 in/0.119 mm
TAA4SD15K207S,22215 ,2 7/16 in,4 in / 101.6 mm,9.88 in / 251 mm,11.63 in / 295.4 mm,2-1/2 in / 63.5 mm,54100 lbf / 240000 N,49900 lbf / 222000 N,,Mounted Bearing,22215,2 7/16 in,Imperial,TAA4SD15K207SB/TAA4SD15K207SC/TAA4SD15K207SEB/TAA4SD15K207SEC/TAA4SD15K207SEM/TAA4SD15K207SEN/TAA4SD15K207SEO/TAA4SD15K207SET/TAA4SD15K207SMT/TAA4SD15K207SNT/TAA4SD15K207SO/TAA4SD15K207ST,Double Nut Tapered Adapter,Four-Bolt Pillow Block,,4 in/101.6 mm,7.71 in/182.1 mm,3.86 in/98.04 mm,9.88 in/251 mm,11.63 in/295.4 mm,2-1/2 in/63.5 mm,13.25 in/336.6 mm,4.07 in/103.4 mm,1.25 in/31.8 mm,0.625 in/16 mm,3.89 in/98.7 mm,1.85 in/47 mm,0.34 in/8.6 mm,3.46 in/87.9 mm,54100 lbf/240000 N,49900 lbf/222000 N,0.22,3.14,4.67,1600 rpm,2900 rpm,1300 rpm,1600 rpm,2400 rpm,1300 rpm,0.083 in/2.108 mm,0.0035 in/0.089 mm,0.0037 in/0.094 mm,0.0047 in/0.119 mm
TAA4DI15K207S,22215 ,2 7/16 in,3.25 in / 82.6 mm,9.2 in / 235 mm,10.25 in / 260.4 mm,1.75 in / 44.5 mm,54100 lbf / 240000 N,49900 lbf / 222000 N,,Mounted Bearing,22215,2 7/16 in,Imperial,TAA4DI15K207SB/TAA4DI15K207SC/TAA4DI15K207SEB/TAA4DI15K207SEC/TAA4DI15K207SEM/TAA4DI15K207SEN/TAA4DI15K207SEO/TAA4DI15K207SET/TAA4DI15K207SMT/TAA4DI15K207SNT/TAA4DI15K207SO/TAA4DI15K207ST,Double Nut Tapered Adapter,Four-Bolt Pillow Block,,3.25 in/82.6 mm,6.38 in/162.1 mm,3.86 in/98 mm,9.2 in/235 mm,10.25 in/260.4 mm,1.75 in/44.5 mm,12 in/304.8 mm,3 in/76.2 mm,1.25 in/31.8 mm,0.5 in/12 mm,3.11 in/78.9 mm,1.85 in/47 mm,0.34 in/8.6 mm,3.46 in/87.9 mm,54100 lbf/240000 N,49900 lbf/222000 N,0.22,3.14,4.67,1600 rpm,2900 rpm,1300 rpm,1600 rpm,2400 rpm,1300 rpm,0.083 in/2.108 mm,0.0035 in/0.089 mm,0.0037 in/0.094 mm,0.0047 in/0.119 mm
