Part Number,Bearing Number,Shaft Size,Base to Center Height,Bolt Spacing Min,Bolt Spacing Max,Bolt Hole Spacing - Across,C0 - Static Load,C - Dynamic Load (Basic),CAD,Engineering Group,Bearing Number,Shaft Size,Shaft Size Type,Full Timken Part Number,Locking Style,Housing Construction,UPC Code,Dimension A,Dimension B,Dimension C,Dimension D Min,Dimension D Max,Dimension E,Dimension F,Dimension G,Dimension H,Dimension J (Bolt Size),Dimension L,Dimension M,Dimension S,C0 - Static Load,C - Dynamic Load (Basic),e - Geometry Factor,Y1 - Geometry Factor,Y2 - Geometry Factor,Oil Lubrication - M/N Seal,Oil Lubrication - T Seal,Oil Lubrication - B/C/O Seal,Grease Lubrication - M/N Seal,Grease Lubrication - T Seal,Grease Lubrication - B/C/O Seal,Float,Shaft Tolerance,Pre Install Clearance Min,Pre Install Clearance Max,Eng Internal Radial Clearance - Min,Eng Internal Radial Clearance - Max
TAPH13K204S,22213 ,2 1/4 in,3 in / 76.2 mm,7.18 in / 182.4 mm,8.56 in / 217.4 mm,2 in / 50.8 mm,48600 lbf / 216000 N,46400 lbf / 206000 N,,Mounted Bearing,22213,2 1/4 in,Imperial,TAPH13K204SB/TAPH13K204SC/TAPH13K204SEB/TAPH13K204SEC/TAPH13K204SEM/TAPH13K204SEN/TAPH13K204SEO/TAPH13K204SET/TAPH13K204SM/TAPH13K204SN/TAPH13K204SO/TAPH13K204ST,Tapered Adapter,Four-Bolt Pillow Block,0883450128872/0883450128889/0883450128902/0883450128919/0883450128926/0883450128933/0883450128940/0883450128957/0883450198486/0883450198684/0883450275989/0883450276184,3 in/76.2 mm,5.95 in/151.1 mm,3.35 in/85.1 mm,7.18 in/182.4 mm,8.56 in/217.4 mm,2 in/50.8 mm,10.31 in/261.9 mm,3.25 in/82.6 mm,1.23 in/31.2 mm,0.5 in/12 mm,3.19 in/81 mm,1.56 in/39.6 mm,2.56 in/65 mm,48600 lbf/216000 N,46400 lbf/206000 N,0.24,2.79,4.15,1800 rpm,3200 rpm,1500 rpm,1800 rpm,2800 rpm,1500 rpm,0.083 in/2.108 mm,0.0030 in/0.076 mm,0.0030 in/0.076 mm,0.0037 in/0.094 mm,,
TAPH16K212S,22216 ,2 3/4 in,3.5 in / 88.9 mm,9 in / 228.6 mm,11 in / 279.4 mm,2.13 in / 53.9 mm,62500 lbf / 278000 N,57200 lbf / 254000 N,,Mounted Bearing,22216,2 3/4 in,Imperial,,Tapered Adapter,Four-Bolt Pillow Block,,3.5 in/88.9 mm,6.96 in/176.6 mm,4.12 in/104.7 mm,9 in/228.6 mm,11 in/279.4 mm,2.13 in/53.9 mm,13 in/330.2 mm,3-1/2 in/88.9 mm,1.25 in/31.7 mm,0.325 in/16 mm,3.61 in/91.7 mm,1.87 in/47.5 mm,3.06 in/77.7 mm,62500 lbf/278000 N,57200 lbf/254000 N,0.22,3.14,4.67,1500 rpm,2650 rpm,1200 rpm,1500 rpm,2200 rpm,1150 rpm,0.083 in/2.108 mm,0.0020 in/0.051 mm,0.0037 in/0.095 mm,0.0047 in/0.120 mm,0.0037,0.0047
TAPG16K212S,22216 ,2 3/4 in,3.74 in / 95 mm,9.25 in / 235 mm,10.5 in / 266.7 mm,1.97 in / 50 mm,62500 lbf / 278000 N,57200 lbf / 254000 N,,Mounted Bearing,22216,2 3/4 in,Imperial,,Tapered Adapter,Four-Bolt Pillow Block,,3.74 in/95 mm,7.1 in/180.3 mm,4.12 in/104.6 mm,9.25 in/235 mm,10.5 in/266.7 mm,1.97 in/50 mm,12.4 in/315 mm,3.54 in/89.9 mm,1.25 in/31.8 mm,0.625 in/16 mm,3.64 in/92.5 mm,1.87 in/47.5 mm,3.07 in/78 mm,62500 lbf/278000 N,57200 lbf/254000 N,0.22,3.14,4.67,1500 rpm,2650 rpm,1200 rpm,1500 rpm,2200 rpm,1150 rpm,0.083 in/2.108 mm,0.0020 in/0.051 mm,0.0037 in/0.095 mm,0.0047 in/0.120 mm,0.0037,0.0047
TAPG13K060S,22213 ,60 mm,3.15 in / 80 mm,7.18 in / 182.4 mm,8.56 in / 217.4 mm,1.89 in / 48 mm,48600 lbf / 216000 N,46400 lbf / 206000 N,,Mounted Bearing,22213,60 mm,Metric,TAPG13K060SB/TAPG13K060SC/TAPG13K060SEB/TAPG13K060SEC/TAPG13K060SEM/TAPG13K060SEN/TAPG13K060SEO/TAPG13K060SET/TAPG13K060SM/TAPG13K060SN/TAPG13K060SO/TAPG13K060ST,Tapered Adapter,Four-Bolt Pillow Block,0883450126670/0883450126687/0883450126700/0883450126717/0883450126724/0883450126731/0883450126748/0883450126755/0883450198097/0883450198295/0883450275590/0883450275798,3.15 in/80 mm,6.1 in/154.9 mm,3.35 in/85.1 mm,7.18 in/182.4 mm,8.56 in/217.4 mm,1.89 in/48 mm,10.31 in/261.9 mm,3.25 in/82.6 mm,1.38 in/35.1 mm,0.625 in/16 mm,3.19 in/81 mm,1.56 in/39.6 mm,2.56 in/65 mm,48600 lbf/216000 N,46400 lbf/206000 N,0.24,2.79,4.15,1800 rpm,3200 rpm,1500 rpm,1800 rpm,2800 rpm,1500 rpm,0.083 in/2.108 mm,0.0030 in/0.076 mm,0.0030 in/0.076 mm,0.0037 in/0.094 mm,,
TAPH13K060S,22213 ,60 mm,3 in / 76.2 mm,7.18 in / 182.4 mm,8.56 in / 217.4 mm,2 in / 50.8 mm,48600 lbf / 216000 N,46400 lbf / 206000 N,,Mounted Bearing,22213,60 mm,Metric,TAPH13K060SB/TAPH13K060SC/TAPH13K060SEB/TAPH13K060SEC/TAPH13K060SEM/TAPH13K060SEN/TAPH13K060SEO/TAPH13K060SET/TAPH13K060SM/TAPH13K060SN/TAPH13K060SO/TAPH13K060ST,Tapered Adapter,Four-Bolt Pillow Block,0883450128674/0883450128681/0883450128704/0883450128711/0883450128728/0883450128735/0883450128742/0883450128759/0883450198493/0883450198691/0883450275996/0883450276191,3 in/76.2 mm,5.95 in/151.1 mm,3.35 in/85.1 mm,7.18 in/182.4 mm,8.56 in/217.4 mm,2 in/50.8 mm,10.31 in/261.9 mm,3.25 in/82.6 mm,1.23 in/31.2 mm,0.5 in/12 mm,3.19 in/81 mm,1.56 in/39.6 mm,2.56 in/65 mm,48600 lbf/216000 N,46400 lbf/206000 N,0.24,2.79,4.15,1800 rpm,3200 rpm,1500 rpm,1800 rpm,2800 rpm,1500 rpm,0.083 in/2.108 mm,0.0030 in/0.076 mm,0.0030 in/0.076 mm,0.0037 in/0.094 mm,,
TAPG15K207S,22215 ,2 7/16 in,3.15 in / 80 mm,7.94 in / 201.7 mm,9.69 in / 246.1 mm,1.56 in / 39.6 mm,54100 lbf / 240000 N,49900 lbf / 222000 N,,Mounted Bearing,22215,2 7/16 in,Imperial,TAPG15K207SB/TAPG15K207SC/TAPG15K207SEB/TAPG15K207SEC/TAPG15K207SEM/TAPG15K207SEN/TAPG15K207SEO/TAPG15K207SET/TAPG15K207SM/TAPG15K207SN/TAPG15K207SO/TAPG15K207ST,Tapered Adapter,Four-Bolt Pillow Block,0883450127073/0883450127080/0883450127103/0883450127110/0883450127127/0883450127134/0883450127141/0883450127158/0883450198103/0883450198301/0883450275606/0883450275804,3.15 in/80 mm,6.38 in/162.1 mm,3.86 in/98 mm,7.94 in/201.7 mm,9.69 in/246.1 mm,1.56 in/39.6 mm,10.88 in/276.4 mm,3.13 in/79.5 mm,1.19 in/30.2 mm,0.625 in/16 mm,3.3 in/83.8 mm,1.73 in/43.9 mm,2.87 in/72.9 mm,54100 lbf/240000 N,49900 lbf/222000 N,0.22,3.14,4.67,1600 rpm,2900 rpm,1300 rpm,1600 rpm,2400 rpm,1300 rpm,0.083 in/2.108 mm,0.0035 in/0.089 mm,0.0037 in/0.094 mm,0.0047 in/0.119 mm,,
TAPH15K207S,22215 ,2 7/16 in,3.25 in / 82.6 mm,7.94 in / 201.7 mm,9.69 in / 246.1 mm,1.88 in / 47.8 mm,54100 lbf / 240000 N,49900 lbf / 222000 N,,Mounted Bearing,22215,2 7/16 in,Imperial,TAPH15K207SB/TAPH15K207SC/TAPH15K207SEB/TAPH15K207SEC/TAPH15K207SEM/TAPH15K207SEN/TAPH15K207SEO/TAPH15K207SET/TAPH15K207SM/TAPH15K207SN/TAPH15K207SO/TAPH15K207ST,Tapered Adapter,Four-Bolt Pillow Block,0883450129077/0883450129084/0883450129107/0883450129114/0883450129121/0883450129138/0883450129145/0883450129152/0883450198509/0883450198707/0883450276009/0883450276207,3.25 in/82.6 mm,6.38 in/162.1 mm,3.86 in/98 mm,7.94 in/201.7 mm,9.69 in/246.1 mm,1.88 in/47.8 mm,10.88 in/276.4 mm,3.13 in/79.5 mm,1.29 in/32.8 mm,0.5 in/12 mm,3.29 in/83.6 mm,1.73 in/43.9 mm,2.87 in/72.9 mm,54100 lbf/240000 N,49900 lbf/222000 N,0.22,3.14,4.67,1600 rpm,2900 rpm,1300 rpm,1600 rpm,2400 rpm,1300 rpm,0.083 in/2.108 mm,0.0035 in/0.089 mm,0.0037 in/0.094 mm,0.0047 in/0.119 mm,,
TAPK15K207S,22215 ,2 7/16 in,3.5 in / 88.9 mm,9.06 in / 230.1 mm,10.44 in / 265.2 mm,2.75 in / 69.9 mm,54100 lbf / 240000 N,49900 lbf / 222000 N,,Mounted Bearing,22215,2 7/16 in,Imperial,TAPK15K207SB/TAPK15K207SC/TAPK15K207SEB/TAPK15K207SEC/TAPK15K207SEM/TAPK15K207SEN/TAPK15K207SEO/TAPK15K207SET/TAPK15K207SM/TAPK15K207SN/TAPK15K207SO/TAPK15K207ST,Tapered Adapter,Four-Bolt Pillow Block,0883450131070/0883450131087/0883450131100/0883450131117/0883450131124/0883450131131/0883450131148/0883450131155/0883450198905/0883450199100/0883450276542/0883450276740,3.5 in/88.9 mm,6.83 in/173.5 mm,3.86 in/98 mm,9.06 in/230.1 mm,10.44 in/265.2 mm,2.75 in/69.9 mm,13 in/330.2 mm,4.25 in/108 mm,1.54 in/39.1 mm,0.75 in/20 mm,3.86 in/98 mm,1.73 in/43.9 mm,2.87 in/72.9 mm,54100 lbf/240000 N,49900 lbf/222000 N,0.22,3.14,4.67,1600 rpm,2900 rpm,1300 rpm,1600 rpm,2400 rpm,1300 rpm,0.083 in/2.108 mm,0.0035 in/0.089 mm,0.0037 in/0.094 mm,0.0047 in/0.119 mm,,
TA4SD15K207S,22215 ,2 7/16 in,4 in / 101.6 mm,9.88 in / 251 mm,11.63 in / 295.4 mm,2-1/2 in / 63.5 mm,54100 lbf / 240000 N,49900 lbf / 222000 N,,Mounted Bearing,22215,2 7/16 in,Imperial,,Tapered Adapter,Four-Bolt Pillow Block,,4 in/101.6 mm,7.71 in/182.1 mm,3.86 in/98.04 mm,9.88 in/251 mm,11.63 in/295.4 mm,2-1/2 in/63.5 mm,13.25 in/336.6 mm,4.07 in/103.4 mm,1.25 in/31.8 mm,0.625 in/16 mm,3.89 in/98.7 mm,1.73 in/43.9 mm,2.87 in/72.9 mm,54100 lbf/240000 N,49900 lbf/222000 N,0.22,3.14,4.67,1600 rpm,2900 rpm,1300 rpm,1600 rpm,2400 rpm,1300 rpm,0.083 in/2.108 mm,0.0035 in/0.089 mm,0.0037 in/0.094 mm,0.0047 in/0.119 mm,,
TA4DI15K207S,22215 ,2 7/16 in,3.25 in / 82.6 mm,9.2 in / 235 mm,10.25 in / 260.4 mm,1.75 in / 44.5 mm,54100 lbf / 240000 N,49900 lbf / 222000 N,,Mounted Bearing,22215,2 7/16 in,Imperial,,Tapered Adapter,Four-Bolt Pillow Block,,3.25 in/82.6 mm,6.38 in/162.1 mm,3.86 in/98 mm,9.2 in/235 mm,10.25 in/260.4 mm,1.75 in/44.5 mm,12 in/304.8 mm,3 in/76.2 mm,1.25 in/31.8 mm,0.5 in/12 mm,3.11 in/78.9 mm,1.73 in/43.9 mm,2.87 in/72.9 mm,54100 lbf/240000 N,49900 lbf/222000 N,0.22,3.14,4.67,1600 rpm,2900 rpm,1300 rpm,1600 rpm,2400 rpm,1300 rpm,0.083 in/2.108 mm,0.0035 in/0.089 mm,0.0037 in/0.094 mm,0.0047 in/0.119 mm,,
TAPG15K208S,22215 ,2 1/2 in,3.15 in / 80 mm,7.94 in / 201.7 mm,9.69 in / 246.1 mm,1.56 in / 39.6 mm,54100 lbf / 240000 N,49900 lbf / 222000 N,,Mounted Bearing,22215,2 1/2 in,Imperial,TAPG15K208SB/TAPG15K208SC/TAPG15K208SEB/TAPG15K208SEC/TAPG15K208SEM/TAPG15K208SEN/TAPG15K208SEO/TAPG15K208SET/TAPG15K208SM/TAPG15K208SN/TAPG15K208SO/TAPG15K208ST,Tapered Adapter,Four-Bolt Pillow Block,0883450127172/0883450127189/0883450127202/0883450127219/0883450127226/0883450127233/0883450127240/0883450127257/0883450198110/0883450198318/0883450275613/0883450275811,3.15 in/80 mm,6.38 in/162.1 mm,3.86 in/98 mm,7.94 in/201.7 mm,9.69 in/246.1 mm,1.56 in/39.6 mm,10.88 in/276.4 mm,3.13 in/79.5 mm,1.19 in/30.2 mm,0.625 in/16 mm,3.3 in/83.8 mm,1.73 in/43.9 mm,2.87 in/72.9 mm,54100 lbf/240000 N,49900 lbf/222000 N,0.22,3.14,4.67,1600 rpm,2900 rpm,1300 rpm,1600 rpm,2400 rpm,1300 rpm,0.083 in/2.108 mm,0.0035 in/0.089 mm,0.0037 in/0.094 mm,0.0047 in/0.119 mm,,
