Part Number,Bearing Number,Shaft Size,Base to Center Height,Bolt Spacing Min,Bolt Spacing Max,C0 - Static Load,C - Dynamic Load (Basic),CAD,Engineering Group,Bearing Number,Shaft Size,Shaft Size Type,Full Timken Part Number,Locking Style,Housing Construction,Dimension A,Dimension B,Dimension C,Dimension D Min,Dimension D Max,Dimension F,Dimension G,Dimension H,Dimension J (Bolt Size),Dimension L,Dimension MT,Dimension RTT,Dimension ST,C0 - Static Load,C - Dynamic Load (Basic),e - Geometry Factor,Y1 - Geometry Factor,Y2 - Geometry Factor,Oil Lubrication - M/N Seal,Oil Lubrication - T Seal,Oil Lubrication - B/C/O Seal,Grease Lubrication - M/N Seal,Grease Lubrication - T Seal,Grease Lubrication - B/C/O Seal,Float,Shaft Tolerance,Eng Internal Radial Clearance - Min,Eng Internal Radial Clearance - Max,Pre Install Clearance Min,Pre Install Clearance Max,UPC Code
TAASD09K040S,22209 ,40 mm,2.88 in / 73.2 mm,6.88 in / 174.8 mm,7.63 in / 193.8 mm,24200 lbf / 108000 N,24500 lbf / 109000 N,,['Mounted Bearing'],['22209'],['40 mm'],['Metric'],"['TAASD09K040SB', 'TAASD09K040SC', 'TAASD09K040SEB', 'TAASD09K040SEC', 'TAASD09K040SEM', 'TAASD09K040SEN', 'TAASD09K040SEO', 'TAASD09K040SET', 'TAASD09K040SM', 'TAASD09K040SN', 'TAASD09K040SO', 'TAASD09K040ST']",['Tapered Adapter'],['Two-Bolt Pillow Block'],"['2.88 in', '73.2 mm']","['4.88 in', '124 mm']","['2.56 in', '65 mm']","['6.88 in', '174.8 mm']","['7.63 in', '193.8 mm']","['9 in', '228.6 mm']","['2.03 in', '51.7 mm']","['1.14 in', '29 mm']","['0.5 in', '12 mm']","['2.23 in', '56.6 mm']","['1.31 in', '33.3 mm']","['0.24 in', '6.2 mm']","['2.42 in', '65.3 mm']","['24200 lbf', '108000 N']","['24500 lbf', '109000 N']",['0.26'],['2.64'],['3.93'],['2700 rpm'],['4500 rpm'],['1950 rpm'],['2700 rpm'],['4000 rpm'],['1950 rpm'],"['0.050 in', '1.270 mm']","['0.0015 in', '0.038 mm']",['0.0014'],['0.0022'],"['0.0014 in', '0.035 mm']","['0.0022 in', '0.055 mm']",
TAADI09K040S,22209 ,40 mm,2.63 in / 66.8 mm,6.88 in / 174.8 mm,7.63 in / 193.8 mm,24200 lbf / 108000 N,24500 lbf / 109000 N,,['Mounted Bearing'],['22209'],['40 mm'],['Metric'],"['TAADI09K040SB', 'TAADI09K040SC', 'TAADI09K040SEB', 'TAADI09K040SEC', 'TAADI09K040SEM', 'TAADI09K040SEN', 'TAADI09K040SEO', 'TAADI09K040SET', 'TAADI09K040SM', 'TAADI09K040SN', 'TAADI09K040SO', 'TAADI09K040ST']",['Tapered Adapter'],['Two-Bolt Pillow Block'],"['2.63 in', '66.8 mm']","['5 in', '127 mm']","['2.56 in', '65 mm']","['6.88 in', '174.8 mm']","['7.63 in', '193.8 mm']","['9 in', '228.6 mm']","['2.03 in', '51.7 mm']","['1.25 in', '31.8 mm']","['0.5 in', '12 mm']","['2.23 in', '56.6 mm']","['1.31 in', '33.3 mm']","['0.24 in', '6.2 mm']","['2.42 in', '65.3 mm']","['24200 lbf', '108000 N']","['24500 lbf', '109000 N']",['0.26'],['2.64'],['3.93'],['2700 rpm'],['4500 rpm'],['1950 rpm'],['2700 rpm'],['4000 rpm'],['1950 rpm'],"['0.050 in', '1.270 mm']","['0.0015 in', '0.038 mm']",['0.0014'],['0.0022'],"['0.0014 in', '0.035 mm']","['0.0022 in', '0.055 mm']",
TAAPN09K040S,22209 ,40 mm,2.362 in / 60 mm,6.25 in / 158.8 mm,7 in / 177.8 mm,24200 lbf / 108000 N,24500 lbf / 109000 N,,['Mounted Bearing'],['22209'],['40 mm'],['Metric'],,['Tapered Adapter'],['Two-Bolt Pillow Block'],"['2.362 in', '60 mm']","['4.25 in', '108 mm']","['2.56 in', '65 mm']","['6.25 in', '158.8 mm']","['7 in', '177.8 mm']","['8.25 in', '209.6 mm']","['2.1 in', '53.3 mm']","['1.14 in', '29 mm']","['0.5 in', '12 mm']","['2.26 in', '57.4 mm']","['1.34 in', '34.2 mm']","['0.18 in', '4.6 mm']","['2.57 in', '65.33 mm']","['24200 lbf', '108000 N']","['24500 lbf', '109000 N']",['0.26'],['2.64'],['3.93'],['2700 rpm'],['4500 rpm'],['1950 rpm'],['2700 rpm'],['4000 rpm'],['1950 rpm'],"['0.050 in', '1.270 mm']","['0.0015 in', '0.038 mm']",['0.0014'],['0.0022'],"['0.0014 in', '0.035 mm']","['0.0022 in', '0.055 mm']",
TAAPA09K040S,22209 ,40 mm,2.25 in / 57.2 mm,6.25 in / 158.8 mm,7 in / 177.8 mm,24200 lbf / 108000 N,24500 lbf / 109000 N,,['Mounted Bearing'],['22209'],['40 mm'],['Metric'],,['Tapered Adapter'],['Two-Bolt Pillow Block'],"['2.25 in', '57.2 mm']","['4.25 in', '108 mm']","['2.56 in', '65 mm']","['6.25 in', '158.8 mm']","['7 in', '177.8 mm']","['8.25 in', '209.6 mm']","['2.1 in', '53.3 mm']","['1.14 in', '29 mm']","['0.5 in', '12 mm']","['2.26 in', '57.4 mm']","['1.34 in', '34.2 mm']","['0.18 in', '4.6 mm']","['2.57 in', '65.33 mm']","['24200 lbf', '108000 N']","['24500 lbf', '109000 N']",['0.26'],['2.64'],['3.93'],['2700 rpm'],['4500 rpm'],['1950 rpm'],['2700 rpm'],['4000 rpm'],['1950 rpm'],"['0.050 in', '1.270 mm']","['0.0015 in', '0.038 mm']",['0.0014'],['0.0022'],"['0.0014 in', '0.035 mm']","['0.0022 in', '0.055 mm']",
DAAP09K040S,22209 ,40 mm,2.13 in / 54.1 mm,4.69 in / 119.1 mm,6.5 in / 165.1 mm,24200 lbf / 108000 N,24500 lbf / 109000 N,,['Mounted Bearing'],['22209'],['40 mm'],['Metric'],"['DAAP09K040SB', 'DAAP09K040SC', 'DAAP09K040SEB', 'DAAP09K040SEC', 'DAAP09K040SEM', 'DAAP09K040SEN', 'DAAP09K040SEO', 'DAAP09K040SET', 'DAAP09K040SM', 'DAAP09K040SN', 'DAAP09K040SO', 'DAAP09K040ST']",['Tapered Adapter'],['Two-Bolt Pillow Block'],"['2.13 in', '54.1 mm']","['4.13 in', '104.9 mm']","['2.56 in', '65 mm']","['4.69 in', '119.1 mm']","['6.5 in', '165.1 mm']","['7.88 in', '200.2 mm']","['2.1 in', '53.3 mm']","['1 in', '25.4 mm']","['0.5 in', '12 mm']","['2.26 in', '57.4 mm']","['1.48 in', '37.6 mm']","['0.18 in', '4.5 mm']","['2.57 in', '65.33 mm']","['24200 lbf', '108000 N']","['24500 lbf', '109000 N']",['0.26'],['2.64'],['3.93'],['2700 rpm'],['4500 rpm'],['1950 rpm'],['2700 rpm'],['4000 rpm'],['1950 rpm'],"['0.050 in', '1.270 mm']","['0.0015 in', '0.038 mm']",['0.0014'],['0.0022'],"['0.0014 in', '0.035 mm']","['0.0022 in', '0.055 mm']",
TAASD10K111S,22210 ,1 11/16 in,3.13 in / 79.5 mm,7.56 in / 192 mm,7.94 in / 201.7 mm,26600 lbf / 118000 N,26300 lbf / 117000 N,,['Mounted Bearing'],['22210'],['1 11/16 in'],['Imperial'],"['TAASD10K111SB', 'TAASD10K111SC', 'TAASD10K111SEB', 'TAASD10K111SEC', 'TAASD10K111SEM', 'TAASD10K111SEN', 'TAASD10K111SEO', 'TAASD10K111SET', 'TAASD10K111SM', 'TAASD10K111SN', 'TAASD10K111SO', 'TAASD10K111ST']",['Tapered Adapter'],['Two-Bolt Pillow Block'],"['3.13 in', '79.5 mm']","['5.5 in', '139.7 mm']","['2.76 in', '70.1 mm']","['7.56 in', '192 mm']","['7.94 in', '201.7 mm']","['9.5 in', '241.3 mm']","['2.03 in', '51.7 mm']","['1.25 in', '31.8 mm']","['0.5 in', '12 mm']","['2.34 in', '59.4 mm']","['1.43 in', '36.3 mm']","['0.36 in', '9.2 mm']","['2.64 in', '71.3 mm']","['26600 lbf', '118000 N']","['26300 lbf', '117000 N']",['0.24'],['2.84'],['4.23'],['2400 rpm'],['4200 rpm'],['1800 rpm'],['2400 rpm'],['3550 rpm'],['1800 rpm'],"['0.050 in', '1.270 mm']","['0.0015 in', '0.038 mm']",['0.0016'],['0.0026'],"['0.0016 in', '0.040 mm']","['0.0026 in', '0.065 mm']",
TAADI10K111S,22210 ,1 11/16 in,2.63 in / 66.8 mm,6.88 in / 174.8 mm,7.63 in / 193.8 mm,26600 lbf / 118000 N,26300 lbf / 117000 N,,['Mounted Bearing'],['22210'],['1 11/16 in'],['Imperial'],"['TAADI10K111SB', 'TAADI10K111SC', 'TAADI10K111SEB', 'TAADI10K111SEC', 'TAADI10K111SEM', 'TAADI10K111SEN', 'TAADI10K111SEO', 'TAADI10K111SET', 'TAADI10K111SM', 'TAADI10K111SN', 'TAADI10K111SO', 'TAADI10K111ST']",['Tapered Adapter'],['Two-Bolt Pillow Block'],"['2.63 in', '66.8 mm']","['5 in', '127 mm']","['2.76 in', '70.1 mm']","['6.88 in', '174.8 mm']","['7.63 in', '193.8 mm']","['9 in', '228.6 mm']","['2.03 in', '51.7 mm']","['1.25 in', '31.8 mm']","['0.5 in', '12 mm']","['2.45 in', '62.1 mm']","['1.43 in', '36.3 mm']","['0.36 in', '9.2 mm']","['2.64 in', '71.3 mm']","['26600 lbf', '118000 N']","['26300 lbf', '117000 N']",['0.24'],['2.84'],['4.23'],['2400 rpm'],['4200 rpm'],['1800 rpm'],['2400 rpm'],['3550 rpm'],['1800 rpm'],"['0.050 in', '1.270 mm']","['0.0015 in', '0.038 mm']",['0.0016'],['0.0026'],"['0.0016 in', '0.040 mm']","['0.0026 in', '0.065 mm']",
TAAPN10K111S,22210 ,1 11/16 in,2.362 in / 60 mm,6.5 in / 165.1 mm,7 in / 177.8 mm,26600 lbf / 118000 N,26300 lbf / 117000 N,,['Mounted Bearing'],['22210'],['1 11/16 in'],['Imperial'],,['Tapered Adapter'],['Two-Bolt Pillow Block'],"['2.362 in', '60 mm']","['4.73 in', '120.1 mm']","['2.76 in', '70.1 mm']","['6.5 in', '165.1 mm']","['7 in', '177.8 mm']","['8.25 in', '209.6 mm']","['2.16 in', '54.9 mm']","['1.11 in', '28.2 mm']","['0.5 in', '12 mm']","['2.4 in', '61 mm']","['1.48 in', '37.6 mm']","['0.25 in', '6.3 mm']","['2.81 in', '71.33 mm']","['26600 lbf', '118000 N']","['26300 lbf', '117000 N']",['0.24'],['2.84'],['4.23'],['2400 rpm'],['4200 rpm'],['1800 rpm'],['2400 rpm'],['3550 rpm'],['1800 rpm'],"['0.050 in', '1.270 mm']","['0.0015 in', '0.038 mm']",['0.0016'],['0.0026'],"['0.0016 in', '0.040 mm']","['0.0026 in', '0.065 mm']",
TAAPA10K111S,22210 ,1 11/16 in,2.5 in / 63.5 mm,6.5 in / 165.1 mm,7 in / 177.8 mm,26600 lbf / 118000 N,26300 lbf / 117000 N,,['Mounted Bearing'],['22210'],['1 11/16 in'],['Imperial'],,['Tapered Adapter'],['Two-Bolt Pillow Block'],"['2.5 in', '63.5 mm']","['4.87 in', '123.7 mm']","['2.76 in', '70.1 mm']","['6.5 in', '165.1 mm']","['7 in', '177.8 mm']","['8.25 in', '209.6 mm']","['2.16 in', '54.9 mm']","['1.25 in', '31.8 mm']","['0.5 in', '12 mm']","['2.4 in', '61 mm']","['1.48 in', '37.6 mm']","['0.25 in', '6.3 mm']","['2.81 in', '71.33 mm']","['26600 lbf', '118000 N']","['26300 lbf', '117000 N']",['0.24'],['2.84'],['4.23'],['2400 rpm'],['4200 rpm'],['1800 rpm'],['2400 rpm'],['3550 rpm'],['1800 rpm'],"['0.050 in', '1.270 mm']","['0.0015 in', '0.038 mm']",['0.0016'],['0.0026'],"['0.0016 in', '0.040 mm']","['0.0026 in', '0.065 mm']",
DAAP10K111S,22210 ,1 11/16 in,2.13 in / 54.1 mm,5.7 in / 144.8 mm,6.5 in / 165.1 mm,26600 lbf / 118000 N,26300 lbf / 117000 N,,['Mounted Bearing'],['22210'],['1 11/16 in'],['Imperial'],"['DAAP10K111SB', 'DAAP10K111SC', 'DAAP10K111SEB', 'DAAP10K111SEC', 'DAAP10K111SEM', 'DAAP10K111SEN', 'DAAP10K111SEO', 'DAAP10K111SET', 'DAAP10K111SM', 'DAAP10K111SN', 'DAAP10K111SO', 'DAAP10K111ST']",['Tapered Adapter'],['Two-Bolt Pillow Block'],"['2.13 in', '54.1 mm']","['4.5 in', '114.3 mm']","['2.76 in', '70.1 mm']","['5.7 in', '144.8 mm']","['6.5 in', '165.1 mm']","['7.88 in', '200.2 mm']","['2.16 in', '54.9 mm']","['1.25 in', '31.8 mm']","['0.5 in', '12 mm']","['2.4 in', '61 mm']","['1.48 in', '37.6 mm']","['0.25 in', '6.3 mm']","['2.81 in', '71.33 mm']","['26600 lbf', '118000 N']","['26300 lbf', '117000 N']",['0.24'],['2.84'],['4.23'],['2400 rpm'],['4200 rpm'],['1800 rpm'],['2400 rpm'],['3550 rpm'],['1800 rpm'],"['0.050 in', '1.270 mm']","['0.0015 in', '0.038 mm']",['0.0016'],['0.0026'],"['0.0016 in', '0.040 mm']","['0.0026 in', '0.065 mm']",
