Part Number,Bearing Number,Shaft Size,Base to Center Height,Bolt Spacing Min,Bolt Spacing Max,C0 - Static Load,C - Dynamic Load (Basic),CAD,LinkToPart,Engineering Group,Bearing Number,Shaft Size,Shaft Size Type,Full Timken Part Number,Locking Style,Housing Construction,UPC Code,Dimension A,Dimension B,Dimension C,Dimension D Min,Dimension D Max,Dimension F,Dimension G,Dimension H,Dimension J (Bolt Size),Dimension K,Dimension L,Dimension M,Dimension R,Dimension S,C0 - Static Load,C - Dynamic Load (Basic),e - Geometry Factor,Y1 - Geometry Factor,Y2 - Geometry Factor,Oil Lubrication - M/N Seal,Oil Lubrication - T Seal,Oil Lubrication - B/C/O Seal,Grease Lubrication - M/N Seal,Grease Lubrication - T Seal,Grease Lubrication - B/C/O Seal,Float,Shaft Tolerance,Eng Internal Radial Clearance - Min,Eng Internal Radial Clearance - Max,Pre Install Clearance Min,Pre Install Clearance Max
QMSN13J060S,22213 ,60 mm,3.15 in / 80 mm,7.72 in / 196 mm,9.25 in / 235 mm,48600 lbf / 216000 N,46400 lbf / 206000 N,,https://cad.timken.com/item/eccentric-solid-block-mounted-bearings/eccentric-two-bolt-pillow-block/qmsn13j060s-3,Mounted Bearing,22213,60 mm,Metric,QMSN13J060SB/QMSN13J060SC/QMSN13J060SEB/QMSN13J060SEC/QMSN13J060SEM/QMSN13J060SEN/QMSN13J060SEO/QMSN13J060SET/QMSN13J060SM/QMSN13J060SN/QMSN13J060SO/QMSN13J060ST,Eccentric,Two-Bolt Pillow Block,0883450097024/0883450097031/0883450097055/0883450097062/0883450097079/0883450097086/0883450097093/0883450097109/0883450160896/0883450161251/0883450253550/0883450253949,3.15 in/80 mm,6.18 in/157 mm,3.62 in/92 mm,7.72 in/196 mm,9.25 in/235 mm,10.83 in/275 mm,2.91 in/74 mm,1.38 in/35 mm,0.625 in/16 mm,1.22 in/31 mm,3.58 in/91 mm,2.17 in/55 mm,0.2 in/5 mm,3.39 in/86 mm,48600 lbf/216000 N,46400 lbf/206000 N,0.24,2.79,4.15,1800 rpm,3200 rpm,1500 rpm,1800 rpm,2800 rpm,1500 rpm,0.083 in/2.108 mm,0.0015 in/0.038 mm,0.0016,0.0026,0.0016 in/0.040 mm,0.0026 in/0.065 mm
QMSN13J065S,22213 ,65 mm,3.15 in / 80 mm,7.72 in / 196 mm,9.25 in / 235 mm,48600 lbf / 216000 N,46400 lbf / 206000 N,,https://cad.timken.com/item/eccentric-solid-block-mounted-bearings/eccentric-two-bolt-pillow-block/qmsn13j065s-3,Mounted Bearing,22213,65 mm,Metric,QMSN13J065SB/QMSN13J065SC/QMSN13J065SEB/QMSN13J065SEC/QMSN13J065SEM/QMSN13J065SEN/QMSN13J065SEO/QMSN13J065SET/QMSN13J065SM/QMSN13J065SN/QMSN13J065SO/QMSN13J065ST,Eccentric,Two-Bolt Pillow Block,0883450097123/0883450097130/0883450097154/0883450097161/0883450097178/0883450097185/0883450097192/0883450097208/0883450160926/0883450161282/0883450253581/0883450253970,3.15 in/80 mm,6.18 in/157 mm,3.62 in/92 mm,7.72 in/196 mm,9.25 in/235 mm,10.83 in/275 mm,2.91 in/74 mm,1.38 in/35 mm,0.625 in/16 mm,1.22 in/31 mm,3.58 in/91 mm,2.17 in/55 mm,0.2 in/5 mm,3.39 in/86 mm,48600 lbf/216000 N,46400 lbf/206000 N,0.24,2.79,4.15,1800 rpm,3200 rpm,1500 rpm,1800 rpm,2800 rpm,1500 rpm,0.083 in/2.108 mm,0.0015 in/0.038 mm,0.0016,0.0026,0.0016 in/0.040 mm,0.0026 in/0.065 mm
QMSN13J207S,22213 ,2 7/16 in,3.15 in / 80 mm,7.72 in / 196 mm,9.25 in / 235 mm,48600 lbf / 216000 N,46400 lbf / 206000 N,,https://cad.timken.com/item/eccentric-solid-block-mounted-bearings/eccentric-two-bolt-pillow-block/qmsn13j207s-3,Mounted Bearing,22213,2 7/16 in,Imperial,QMSN13J207SB/QMSN13J207SC/QMSN13J207SEB/QMSN13J207SEC/QMSN13J207SEM/QMSN13J207SEN/QMSN13J207SEO/QMSN13J207SET/QMSN13J207SM/QMSN13J207SN/QMSN13J207SO/QMSN13J207ST,Eccentric,Two-Bolt Pillow Block,0883450097222/0883450097239/0883450097253/0883450097260/0883450097277/0883450097284/0883450097291/0883450097307/0883450160902/0883450161268/0883450253567/0883450253956,3.15 in/80 mm,6.18 in/157 mm,3.62 in/92 mm,7.72 in/196 mm,9.25 in/235 mm,10.83 in/275 mm,2.91 in/74 mm,1.38 in/35 mm,0.625 in/16 mm,1.22 in/31 mm,3.58 in/91 mm,2.17 in/55 mm,0.2 in/5 mm,3.39 in/86 mm,48600 lbf/216000 N,46400 lbf/206000 N,0.24,2.79,4.15,1800 rpm,3200 rpm,1500 rpm,1800 rpm,2800 rpm,1500 rpm,0.083 in/2.108 mm,0.0015 in/0.038 mm,0.0016,0.0026,0.0016 in/0.040 mm,0.0026 in/0.065 mm
QMSN13J208S,22213 ,2 1/2 in,3.15 in / 80 mm,7.72 in / 196 mm,9.25 in / 235 mm,48600 lbf / 216000 N,46400 lbf / 206000 N,,https://cad.timken.com/item/eccentric-solid-block-mounted-bearings/eccentric-two-bolt-pillow-block/qmsn13j208s-3,Mounted Bearing,22213,2 1/2 in,Imperial,QMSN13J208SB/QMSN13J208SC/QMSN13J208SEB/QMSN13J208SEC/QMSN13J208SEM/QMSN13J208SEN/QMSN13J208SEO/QMSN13J208SET/QMSN13J208SM/QMSN13J208SN/QMSN13J208SO/QMSN13J208ST,Eccentric,Two-Bolt Pillow Block,0883450097321/0883450097338/0883450097352/0883450097369/0883450097376/0883450097383/0883450097390/0883450097406/0883450160919/0883450161275/0883450253574/0883450253963,3.15 in/80 mm,6.18 in/157 mm,3.62 in/92 mm,7.72 in/196 mm,9.25 in/235 mm,10.83 in/275 mm,2.91 in/74 mm,1.38 in/35 mm,0.625 in/16 mm,1.22 in/31 mm,3.58 in/91 mm,2.17 in/55 mm,0.2 in/5 mm,3.39 in/86 mm,48600 lbf/216000 N,46400 lbf/206000 N,0.24,2.79,4.15,1800 rpm,3200 rpm,1500 rpm,1800 rpm,2800 rpm,1500 rpm,0.083 in/2.108 mm,0.0015 in/0.038 mm,0.0016,0.0026,0.0016 in/0.040 mm,0.0026 in/0.065 mm
QMSN15J070S,22215 ,70 mm,3.74 in / 95 mm,9.49 in / 241 mm,10.98 in / 279 mm,54100 lbf / 240000 N,49900 lbf / 222000 N,,https://cad.timken.com/item/eccentric-solid-block-mounted-bearings/eccentric-two-bolt-pillow-block/qmsn15j070s-3,Mounted Bearing,22215,70 mm,Metric,QMSN15J070SB/QMSN15J070SC/QMSN15J070SEB/QMSN15J070SEC/QMSN15J070SEM/QMSN15J070SEN/QMSN15J070SEO/QMSN15J070SET/QMSN15J070SM/QMSN15J070SN/QMSN15J070SO/QMSN15J070ST,Eccentric,Two-Bolt Pillow Block,0883450097420/0883450097437/0883450097451/0883450097468/0883450097475/0883450097482/0883450097499/0883450097505/0883450160957/0883450161312/0883450253611/0883450254007,3.74 in/95 mm,7.2 in/183 mm,4.02 in/102 mm,9.49 in/241 mm,10.98 in/279 mm,12.44 in/316 mm,2.99 in/76 mm,1.34 in/34 mm,0.75 in/20 mm,1.26 in/32 mm,3.86 in/98 mm,2.36 in/60 mm,0.24 in/6 mm,3.62 in/92 mm,54100 lbf/240000 N,49900 lbf/222000 N,0.22,3.14,4.67,1600 rpm,2900 rpm,1300 rpm,1600 rpm,2400 rpm,1300 rpm,0.083 in/2.108 mm,0.0020 in/0.051 mm,0.0020,0.0031,0.0020 in/0.050 mm,0.0031 in/0.080 mm
QMSN15J075S,22215 ,75 mm,3.74 in / 95 mm,9.49 in / 241 mm,10.98 in / 279 mm,54100 lbf / 240000 N,49900 lbf / 222000 N,,https://cad.timken.com/item/eccentric-solid-block-mounted-bearings/eccentric-two-bolt-pillow-block/qmsn15j075s-3,Mounted Bearing,22215,75 mm,Metric,QMSN15J075SB/QMSN15J075SC/QMSN15J075SEB/QMSN15J075SEC/QMSN15J075SEM/QMSN15J075SEMNG/QMSN15J075SEN/QMSN15J075SEO/QMSN15J075SET/QMSN15J075SM/QMSN15J075SMNG/QMSN15J075SN/QMSN15J075SO/QMSN15J075ST/QMSN15J075STNG,Eccentric,Two-Bolt Pillow Block,0883450097529/0883450097536/0883450097550/0883450097567/0883450097574/0883450097581/0883450097598/0883450097604/0883450160988/0883450161343/0883450253642/0883450254038/0883450953108/0883450953115/0883450960380,3.74 in/95 mm,7.2 in/183 mm,4.02 in/102 mm,9.49 in/241 mm,10.98 in/279 mm,12.44 in/316 mm,2.99 in/76 mm,1.34 in/34 mm,0.75 in/20 mm,1.26 in/32 mm,3.86 in/98 mm,2.36 in/60 mm,0.24 in/6 mm,3.62 in/92 mm,54100 lbf/240000 N,49900 lbf/222000 N,0.22,3.14,4.67,1600 rpm,2900 rpm,1300 rpm,1600 rpm,2400 rpm,1300 rpm,0.083 in/2.108 mm,0.0020 in/0.051 mm,0.0020,0.0031,0.0020 in/0.050 mm,0.0031 in/0.080 mm
QMSN15J211S,22215 ,2 11/16 in,3.74 in / 95 mm,9.49 in / 241 mm,10.98 in / 279 mm,54100 lbf / 240000 N,49900 lbf / 222000 N,,https://cad.timken.com/item/eccentric-solid-block-mounted-bearings/eccentric-two-bolt-pillow-block/qmsn15j211s-3,Mounted Bearing,22215,2 11/16 in,Imperial,QMSN15J211SB/QMSN15J211SBNG/QMSN15J211SC/QMSN15J211SCNG/QMSN15J211SEB/QMSN15J211SEC/QMSN15J211SEM/QMSN15J211SEN/QMSN15J211SEO/QMSN15J211SET/QMSN15J211SM/QMSN15J211SN/QMSN15J211SO/QMSN15J211ST/QMSN15J211STNG,Eccentric,Two-Bolt Pillow Block,0883450097628/0883450097635/0883450097659/0883450097666/0883450097673/0883450097680/0883450097697/0883450097703/0883450160933/0883450161299/0883450253598/0883450253987/0883450462549/0883450462556/0883450462594,3.74 in/95 mm,7.2 in/183 mm,4.02 in/102 mm,9.49 in/241 mm,10.98 in/279 mm,12.44 in/316 mm,2.99 in/76 mm,1.34 in/34 mm,0.75 in/20 mm,1.26 in/32 mm,3.86 in/98 mm,2.36 in/60 mm,0.24 in/6 mm,3.62 in/92 mm,54100 lbf/240000 N,49900 lbf/222000 N,0.22,3.14,4.67,1600 rpm,2900 rpm,1300 rpm,1600 rpm,2400 rpm,1300 rpm,0.083 in/2.108 mm,0.0020 in/0.051 mm,0.0020,0.0031,0.0020 in/0.050 mm,0.0031 in/0.080 mm
QMSN15J212S,22215 ,2 3/4 in,3.74 in / 95 mm,9.49 in / 241 mm,10.98 in / 279 mm,54100 lbf / 240000 N,49900 lbf / 222000 N,,https://cad.timken.com/item/eccentric-solid-block-mounted-bearings/eccentric-two-bolt-pillow-block/qmsn15j212s-3,Mounted Bearing,22215,2 3/4 in,Imperial,QMSN15J212SB/QMSN15J212SC/QMSN15J212SEB/QMSN15J212SEC/QMSN15J212SEM/QMSN15J212SEN/QMSN15J212SEO/QMSN15J212SET/QMSN15J212SM/QMSN15J212SN/QMSN15J212SO/QMSN15J212ST,Eccentric,Two-Bolt Pillow Block,0883450097727/0883450097734/0883450097758/0883450097765/0883450097772/0883450097789/0883450097796/0883450097802/0883450160940/0883450161305/0883450253604/0883450253994,3.74 in/95 mm,7.2 in/183 mm,4.02 in/102 mm,9.49 in/241 mm,10.98 in/279 mm,12.44 in/316 mm,2.99 in/76 mm,1.34 in/34 mm,0.75 in/20 mm,1.26 in/32 mm,3.86 in/98 mm,2.36 in/60 mm,0.24 in/6 mm,3.62 in/92 mm,54100 lbf/240000 N,49900 lbf/222000 N,0.22,3.14,4.67,1600 rpm,2900 rpm,1300 rpm,1600 rpm,2400 rpm,1300 rpm,0.083 in/2.108 mm,0.0020 in/0.051 mm,0.0020,0.0031,0.0020 in/0.050 mm,0.0031 in/0.080 mm
QMSN15J215S,22215 ,2 15/16 in,3.74 in / 95 mm,9.49 in / 241 mm,10.98 in / 279 mm,54100 lbf / 240000 N,49900 lbf / 222000 N,,https://cad.timken.com/item/eccentric-solid-block-mounted-bearings/eccentric-two-bolt-pillow-block/qmsn15j215s-3,Mounted Bearing,22215,2 15/16 in,Imperial,QMSN15J215SB/QMSN15J215SC/QMSN15J215SEB/QMSN15J215SEC/QMSN15J215SEM/QMSN15J215SEN/QMSN15J215SEO/QMSN15J215SET/QMSN15J215SM/QMSN15J215SN/QMSN15J215SO/QMSN15J215ST,Eccentric,Two-Bolt Pillow Block,0883450097826/0883450097833/0883450097857/0883450097864/0883450097871/0883450097888/0883450097895/0883450097901/0883450160964/0883450161329/0883450253628/0883450254014,3.74 in/95 mm,7.2 in/183 mm,4.02 in/102 mm,9.49 in/241 mm,10.98 in/279 mm,12.44 in/316 mm,2.99 in/76 mm,1.34 in/34 mm,0.75 in/20 mm,1.26 in/32 mm,3.86 in/98 mm,2.36 in/60 mm,0.24 in/6 mm,3.62 in/92 mm,54100 lbf/240000 N,49900 lbf/222000 N,0.22,3.14,4.67,1600 rpm,2900 rpm,1300 rpm,1600 rpm,2400 rpm,1300 rpm,0.083 in/2.108 mm,0.0020 in/0.051 mm,0.0020,0.0031,0.0020 in/0.050 mm,0.0031 in/0.080 mm
QMSN15J300S,22215 ,3 in,3.74 in / 95 mm,9.49 in / 241 mm,10.98 in / 279 mm,54100 lbf / 240000 N,49900 lbf / 222000 N,,https://cad.timken.com/item/eccentric-solid-block-mounted-bearings/eccentric-two-bolt-pillow-block/qmsn15j300s-3,Mounted Bearing,22215,3 in,Imperial,QMSN15J300SB/QMSN15J300SC/QMSN15J300SEB/QMSN15J300SEC/QMSN15J300SEM/QMSN15J300SEN/QMSN15J300SEO/QMSN15J300SET/QMSN15J300SM/QMSN15J300SN/QMSN15J300SO/QMSN15J300ST,Eccentric,Two-Bolt Pillow Block,0883450097925/0883450097932/0883450097956/0883450097963/0883450097970/0883450097987/0883450097994/0883450098007/0883450160971/0883450161336/0883450253635/0883450254021,3.74 in/95 mm,7.2 in/183 mm,4.02 in/102 mm,9.49 in/241 mm,10.98 in/279 mm,12.44 in/316 mm,2.99 in/76 mm,1.34 in/34 mm,0.75 in/20 mm,1.26 in/32 mm,3.86 in/98 mm,2.36 in/60 mm,0.24 in/6 mm,3.62 in/92 mm,54100 lbf/240000 N,49900 lbf/222000 N,0.22,3.14,4.67,1600 rpm,2900 rpm,1300 rpm,1600 rpm,2400 rpm,1300 rpm,0.083 in/2.108 mm,0.0020 in/0.051 mm,0.0020,0.0031,0.0020 in/0.050 mm,0.0031 in/0.080 mm
QMSN18J080S,22218 ,80 mm,3.94 in / 100 mm,10.98 in / 279 mm,11.5 in / 292 mm,87200 lbf / 388000 N,79700 lbf / 355000 N,,https://cad.timken.com/item/eccentric-solid-block-mounted-bearings/eccentric-two-bolt-pillow-block/qmsn18j080s-3,Mounted Bearing,22218,80 mm,Metric,QMSN18J080SB/QMSN18J080SC/QMSN18J080SEB/QMSN18J080SEC/QMSN18J080SEM/QMSN18J080SEN/QMSN18J080SEO/QMSN18J080SET/QMSN18J080SM/QMSN18J080SN/QMSN18J080SO/QMSN18J080ST/QMSN18J080STNG,Eccentric,Two-Bolt Pillow Block,0883450098021/0883450098038/0883450098052/0883450098069/0883450098076/0883450098083/0883450098090/0883450098106/0883450161015/0883450161374/0883450253673/0883450254069/0883450476645,3.94 in/100 mm,7.87 in/200 mm,4.76 in/121 mm,10.98 in/279 mm,11.5 in/292 mm,13.58 in/345 mm,3.39 in/86 mm,1.54 in/39 mm,0.75 in/20 mm,1.46 in/37 mm,4.29 in/109 mm,2.6 in/66 mm,0.28 in/7 mm,4.06 in/103 mm,87200 lbf/388000 N,79700 lbf/355000 N,0.23,2.90,4.31,1400 rpm,2400 rpm,1000 rpm,1400 rpm,2000 rpm,1000 rpm,0.083 in/2.108 mm,0.0030 in/0.076 mm,0.0024,0.0039,0.0024 in/0.060 mm,0.0039 in/0.100 mm
QMSN18J085S,22218 ,85 mm,4.41 in / 112 mm,10.98 in / 279 mm,11.5 in / 292 mm,87200 lbf / 388000 N,79700 lbf / 355000 N,,https://cad.timken.com/item/eccentric-solid-block-mounted-bearings/eccentric-two-bolt-pillow-block/qmsn18j085s-3,Mounted Bearing,22218,85 mm,Metric,QMSN18J085SB/QMSN18J085SC/QMSN18J085SEB/QMSN18J085SEC/QMSN18J085SEM/QMSN18J085SEN/QMSN18J085SEO/QMSN18J085SET/QMSN18J085SM/QMSN18J085SN/QMSN18J085SO/QMSN18J085ST,Eccentric,Two-Bolt Pillow Block,0883450098120/0883450098137/0883450098151/0883450098168/0883450098175/0883450098182/0883450098199/0883450098205/0883450161022/0883450161381/0883450253680/0883450254076,4.41 in/112 mm,8.35 in/212 mm,4.76 in/121 mm,10.98 in/279 mm,11.5 in/292 mm,13.58 in/345 mm,3.39 in/86 mm,1.54 in/39 mm,0.75 in/20 mm,1.46 in/37 mm,4.29 in/109 mm,2.6 in/66 mm,0.28 in/7 mm,4.06 in/103 mm,87200 lbf/388000 N,79700 lbf/355000 N,0.23,2.90,4.31,1400 rpm,2400 rpm,1000 rpm,1400 rpm,2000 rpm,1000 rpm,0.083 in/2.108 mm,0.0030 in/0.076 mm,0.0024,0.0039,0.0024 in/0.060 mm,0.0039 in/0.100 mm
QMSN18J090S,22218 ,90 mm,4.41 in / 112 mm,11.42 in / 290 mm,12.87 in / 327 mm,87200 lbf / 388000 N,79700 lbf / 355000 N,,https://cad.timken.com/item/eccentric-solid-block-mounted-bearings/eccentric-two-bolt-pillow-block/qmsn18j090s-3,Mounted Bearing,22218,90 mm,Metric,QMSN18J090SB/QMSN18J090SC/QMSN18J090SEB/QMSN18J090SEC/QMSN18J090SEM/QMSN18J090SEN/QMSN18J090SEO/QMSN18J090SET/QMSN18J090SM/QMSN18J090SN/QMSN18J090SO/QMSN18J090ST,Eccentric,Two-Bolt Pillow Block,0883450098229/0883450098236/0883450098250/0883450098267/0883450098274/0883450098281/0883450098298/0883450098304/0883450161053/0883450161411/0883450253710/0883450254106,4.41 in/112 mm,8.35 in/212 mm,4.76 in/121 mm,11.42 in/290 mm,12.87 in/327 mm,14.96 in/380 mm,3.31 in/84 mm,1.54 in/39 mm,0.875 in/24 mm,1.46 in/37 mm,4.17 in/106 mm,2.6 in/66 mm,0.16 in/4 mm,4.02 in/102 mm,87200 lbf/388000 N,79700 lbf/355000 N,0.23,2.90,4.31,1400 rpm,2400 rpm,1000 rpm,1400 rpm,2000 rpm,1000 rpm,0.083 in/2.108 mm,0.0030 in/0.076 mm,0.0024,0.0039,0.0024 in/0.060 mm,0.0039 in/0.100 mm
QMSN18J303S,22218 ,3 3/16 in,3.94 in / 100 mm,10.98 in / 279 mm,11.5 in / 292 mm,87200 lbf / 388000 N,79700 lbf / 355000 N,,https://cad.timken.com/item/eccentric-solid-block-mounted-bearings/eccentric-two-bolt-pillow-block/qmsn18j303s-3,Mounted Bearing,22218,3 3/16 in,Imperial,QMSN18J303SB/QMSN18J303SC/QMSN18J303SEB/QMSN18J303SEC/QMSN18J303SEM/QMSN18J303SEN/QMSN18J303SEO/QMSN18J303SET/QMSN18J303SM/QMSN18J303SN/QMSN18J303SO/QMSN18J303ST,Eccentric,Two-Bolt Pillow Block,0883450098328/0883450098335/0883450098359/0883450098366/0883450098373/0883450098380/0883450098397/0883450098403/0883450160995/0883450161350/0883450253659/0883450254045,3.94 in/100 mm,7.87 in/200 mm,4.76 in/121 mm,10.98 in/279 mm,11.5 in/292 mm,13.58 in/345 mm,3.39 in/86 mm,1.54 in/39 mm,0.75 in/20 mm,1.46 in/37 mm,4.29 in/109 mm,2.6 in/66 mm,0.28 in/7 mm,4.06 in/103 mm,87200 lbf/388000 N,79700 lbf/355000 N,0.23,2.90,4.31,1400 rpm,2400 rpm,1000 rpm,1400 rpm,2000 rpm,1000 rpm,0.083 in/2.108 mm,0.0030 in/0.076 mm,0.0024,0.0039,0.0024 in/0.060 mm,0.0039 in/0.100 mm
QMSN18J304S,22218 ,3 1/4 in,3.94 in / 100 mm,10.98 in / 279 mm,11.5 in / 292 mm,87200 lbf / 388000 N,79700 lbf / 355000 N,,https://cad.timken.com/item/eccentric-solid-block-mounted-bearings/eccentric-two-bolt-pillow-block/qmsn18j304s-3,Mounted Bearing,22218,3 1/4 in,Imperial,QMSN18J304SB/QMSN18J304SC/QMSN18J304SEB/QMSN18J304SEC/QMSN18J304SEM/QMSN18J304SEN/QMSN18J304SEO/QMSN18J304SET/QMSN18J304SM/QMSN18J304SN/QMSN18J304SO/QMSN18J304ST,Eccentric,Two-Bolt Pillow Block,0883450098427/0883450098434/0883450098458/0883450098465/0883450098472/0883450098489/0883450098496/0883450098502/0883450161008/0883450161367/0883450253666/0883450254052,3.94 in/100 mm,7.87 in/200 mm,4.76 in/121 mm,10.98 in/279 mm,11.5 in/292 mm,13.58 in/345 mm,3.39 in/86 mm,1.54 in/39 mm,0.75 in/20 mm,1.46 in/37 mm,4.29 in/109 mm,2.6 in/66 mm,0.28 in/7 mm,4.06 in/103 mm,87200 lbf/388000 N,79700 lbf/355000 N,0.23,2.90,4.31,1400 rpm,2400 rpm,1000 rpm,1400 rpm,2000 rpm,1000 rpm,0.083 in/2.108 mm,0.0030 in/0.076 mm,0.0024,0.0039,0.0024 in/0.060 mm,0.0039 in/0.100 mm
QMP11J203S,22211 ,2 3/16 in,2.5 in / 63.5 mm,6.5 in / 165.1 mm,7.88 in / 200.2 mm,31900 lbf / 142000 N,31400 lbf / 140000 N,,https://cad.timken.com/item/eccentric-solid-block-mounted-bearings/eccentric-two-bolt-pillow-block/qmp11j203s,Mounted Bearing,22211,2 3/16 in,Imperial,QMP11J203SB/QMP11J203SC/QMP11J203SEB/QMP11J203SEC/QMP11J203SEM/QMP11J203SEN/QMP11J203SENHT/QMP11J203SEO/QMP11J203SET/QMP11J203SM/QMP11J203SN/QMP11J203SO/QMP11J203ST,Eccentric,Two-Bolt Pillow Block,0883450081023/0883450081030/0883450081054/0883450081061/0883450081078/0883450081085/0883450081092/0883450081108/0883450154376/0883450154710/0883450249324/0883450249669/0883450960533,2.5 in/63.5 mm,5.25 in/133.4 mm,2.99 in/75.9 mm,6.5 in/165.1 mm,7.88 in/200.2 mm,9.63 in/244.6 mm,2.63 in/66.8 mm,1.25 in/31.8 mm,0.625 in/16 mm,1.13 in/28.7 mm,3.31 in/84.1 mm,2 in/50.8 mm,0.19 in/4.8 mm,3.13 in/79.5 mm,31900 lbf/142000 N,31400 lbf/140000 N,0.23,2.95,4.40,2200 rpm,3800 rpm,1600 rpm,2200 rpm,3200 rpm,1600 rpm,0.050 in/1.270 mm,0.0015 in/0.038 mm,0.0016,0.0026,0.0016 in/0.040 mm,0.0026 in/0.065 mm
QMPL11J203S,22211 ,2 3/16 in,2.5 in / 63.5 mm,6.5 in / 165.1 mm,7.06 in / 179.3 mm,31900 lbf / 142000 N,31400 lbf / 140000 N,,https://cad.timken.com/item/eccentric-solid-block-mounted-bearings/eccentric-two-bolt-pillow-block/qmpl11j203s,Mounted Bearing,22211,2 3/16 in,Imperial,QMPL11J203SB/QMPL11J203SC/QMPL11J203SEB/QMPL11J203SEC/QMPL11J203SEM/QMPL11J203SEN/QMPL11J203SEO/QMPL11J203SET/QMPL11J203SM/QMPL11J203SN/QMPL11J203SO/QMPL11J203ST/QMPL11J203STNG/QMPL11J203STP,Eccentric,Two-Bolt Pillow Block,0883450087223/0883450087230/0883450087254/0883450087261/0883450087278/0883450087285/0883450087292/0883450087308/0883450155052/0883450155397/0883450250009/0883450250344/0883450435130/0883450959117,2.5 in/63.5 mm,5.25 in/133.4 mm,2.99 in/75.9 mm,6.5 in/165.1 mm,7.06 in/179.3 mm,8.88 in/225.6 mm,2.58 in/65.5 mm,1.25 in/31.8 mm,0.625 in/16 mm,1.12 in/28.4 mm,3.28 in/83.3 mm,2 in/50.8 mm,0.17 in/4.3 mm,3.12 in/79.2 mm,31900 lbf/142000 N,31400 lbf/140000 N,0.23,2.95,4.40,2200 rpm,3800 rpm,1600 rpm,2200 rpm,3200 rpm,1600 rpm,0.050 in/1.270 mm,0.0015 in/0.038 mm,0.0016,0.0026,0.0016 in/0.040 mm,0.0026 in/0.065 mm
QMPMD11J203S,22211 ,2 3/16 in,2.75 in / 69.9 mm,6.88 in / 174.8 mm,7.94 in / 201.7 mm,31900 lbf / 142000 N,31400 lbf / 140000 N,,https://cad.timken.com/item/eccentric-solid-block-mounted-bearings/eccentric-two-bolt-pillow-block/qmpmd11j203s,Mounted Bearing,22211,2 3/16 in,Imperial,,Eccentric,Two-Bolt Pillow Block,,2.75 in/69.9 mm,5.5 in/139.7 mm,3.25 in/82.6 mm,6.88 in/174.8 mm,7.94 in/201.7 mm,9.5 in/241.3 mm,2.63 in/66.8 mm,1.5 in/38.1 mm,0.625 in/16 mm,1.13 in/28.7 mm,3.32 in/84.3 mm,2 in/50.8 mm,0.19 in/4.8 mm,3.13 in/79.5 mm,31900 lbf/142000 N,31400 lbf/140000 N,0.23,2.95,4.40,2200 rpm,3800 rpm,1600 rpm,2200 rpm,3200 rpm,1600 rpm,0.050 in/1.270 mm,0.0015 in/0.038 mm,0.0016,0.0026,0.0016 in/0.040 mm,0.0026 in/0.065 mm
QMP11J204S,22211 ,2 1/4 in,2.5 in / 63.5 mm,6.5 in / 165.1 mm,7.88 in / 200.2 mm,31900 lbf / 142000 N,31400 lbf / 140000 N,,https://cad.timken.com/item/eccentric-solid-block-mounted-bearings/eccentric-two-bolt-pillow-block/qmp11j204s,Mounted Bearing,22211,2 1/4 in,Imperial,QMP11J204SB/QMP11J204SC/QMP11J204SEB/QMP11J204SEC/QMP11J204SEM/QMP11J204SEN/QMP11J204SEO/QMP11J204SET/QMP11J204SM/QMP11J204SN/QMP11J204SO/QMP11J204ST,Eccentric,Two-Bolt Pillow Block,0883450081122/0883450081139/0883450081153/0883450081160/0883450081177/0883450081184/0883450081191/0883450081207/0883450154383/0883450154727/0883450249331/0883450249676,2.5 in/63.5 mm,5.25 in/133.4 mm,2.99 in/75.9 mm,6.5 in/165.1 mm,7.88 in/200.2 mm,9.63 in/244.6 mm,2.63 in/66.8 mm,1.25 in/31.8 mm,0.625 in/16 mm,1.13 in/28.7 mm,3.31 in/84.1 mm,2 in/50.8 mm,0.19 in/4.8 mm,3.13 in/79.5 mm,31900 lbf/142000 N,31400 lbf/140000 N,0.23,2.95,4.40,2200 rpm,3800 rpm,1600 rpm,2200 rpm,3200 rpm,1600 rpm,0.050 in/1.270 mm,0.0015 in/0.038 mm,0.0016,0.0026,0.0016 in/0.040 mm,0.0026 in/0.065 mm
