Part Number,Shaft Size,Shaft Size Type,Bolt Spacing Min,Bolt Spacing Max,Base to Center Height,C90 Dynamic Load Rating,Max. Speed,Lubrication,CAD,LinkToPart,Shaft Size,Shaft Size Type,Lubrication,Housing Type,Housing Coating,Dimension B,Dimension L,Dimension A,Dimension J Min.,Dimension J Max.,Bolt Diameter,Dimension N,Dimension N1,Dimension N2,Dimension H1,Dimension H2,Dimension d1,Dimension H,Dimension W,e,X (if Fa/Fr ≤ e),Y (if Fa/Fr ≤ e),X (if Fa/Fr > e),Y (if Fa/Fr > e),K Factor,C90 Dynamic Load Rating1,C0 Static Load Rating,Fa-max Maximum Permissible Thrust Load2,Fr-max Maximum Allowable Slip Fit Radial Load3,Max. Speed4,Note,Dimension S1,Dimension R,Dimension E,C90 Dynamic Load Rating2,Fa-max Maximum Permissible Thrust Load3,Fr-max Maximum Allowable Slip Fit Radial Load4,Max. Speed5,EXPANSION
SAFSA-P4BA-TRB-60MME,60 mm,Metric ,7-1/2 in,8-9/16 in,3 in,11600 lbf,2420 rpm,Grease - Premium Industrial ,,https://cad.timken.com/item/self-aligning-mounted-tapered-roller-bearings/-bearing-pillow-block-4-bolt-base-mounted-bearings/safsa-p4ba-trb-60mme,60 mm,Metric,Grease - Premium Industrial,SAF Self-Aligning,Powder Coat,3-5/16 in,10-5/16 in,3-1/2 in,7-1/2 in,8-9/16 in,1/2 in,9/16 in,1-3/32 in,2 in,1-3/8 in,6-5/16 in,4-1/16 in,3 in,6-13/32 in,0.40,0.87,2.17,0.7,2.63,1.51,,54000 lbf,,,,"Note: All units have a 1/8"" pipe thread grease fittingThe Maximum Permissible Thrust Load applies to conditions of slip fit with set screw mounting or in applications where a large moment loading occurs. The values shownare valid only when two collars and set screws are used.When heavy thrust forces are applied, the friction between the pillow block base may not be sufficient to prevent movement. Mechanical stops or shear bars withstrength sufficient to support the load should be added. Never weld the pillow block or bearing to secure it to the shaft or base.",2 in,1-5/16 in,3-3/4 in,11600 lbf,3454 lbf,9500 lbf,2420 rpm,9/16 in
SNSA-P4BA-TRB-60MM,60 mm,Metric ,190.5 mm / 7-1/2 in,217.5 mm / 8-9/16 in,80.2 mm / 3-5/32 in,11600 lbf,2420 rpm,Grease - Premium Industrial ,,https://cad.timken.com/item/self-aligning-mounted-tapered-roller-bearings/-bearing-pillow-block-4-bolt-base-mounted-bearings/snsa-p4ba-trb-60mm,60 mm,Metric,Grease - Premium Industrial,SN Self-Aligning,Powder Coat,84.1 mm/3-5/16 in,261.9 mm/10-5/16 in,88.9 mm/3-1/2 in,190.5 mm/7-1/2 in,217.5 mm/8-9/16 in,16 mm/5/8 in,17.5 mm/11/16 in,27.8 mm/1-3/32 in,48.4 mm/1-29/32 in,38.9 mm/1-17/32 in,163.9 mm/6-29/64 in,103.2 mm/4-1/16 in,80.2 mm/3-5/32 in,162.7 mm/6-13/32 in,0.40,0.87,2.17,0.7,2.63,1.51,11600 lbf,54000 lbf,3454 lbf,9500 lbf,2420 rpm,"Note: All units have a 1/8"" pipe thread grease fittingThe Maximum Permissible Thrust Load applies to conditions of slip fit with set screw mounting or in applications where a large moment loading occurs. The values shownare valid only when two collars and set screws are used.When heavy thrust forces are applied, the friction between the pillow block base may not be sufficient to prevent movement. Mechanical stops or shear bars withstrength sufficient to support the load should be added. Never weld the pillow block or bearing to secure it to the shaft or base.",,,,,,,,
SNSA-P4BA-TRB-60MME,60 mm,Metric ,190.5 mm / 7-1/2 in,217.5 mm / 8-9/16 in,80.2 mm / 3-5/32 in,11600 lbf,2420 rpm,Grease - Premium Industrial ,,https://cad.timken.com/item/self-aligning-mounted-tapered-roller-bearings/-bearing-pillow-block-4-bolt-base-mounted-bearings/snsa-p4ba-trb-60mme,60 mm,Metric,Grease - Premium Industrial,SN Self-Aligning,Powder Coat,84.1 mm/3-5/16 in,261.9 mm/10-5/16 in,88.9 mm/3-1/2 in,190.5 mm/7-1/2 in,217.5 mm/8-9/16 in,16 mm/5/8 in,17.5 mm/11/16 in,27.8 mm/1-3/32 in,48.4 mm/1-29/32 in,38.9 mm/1-17/32 in,163.9 mm/6-29/64 in,103.2 mm/4-1/16 in,80.2 mm/3-5/32 in,162.7 mm/6-13/32 in,0.40,0.87,2.17,0.7,2.63,1.51,11600 lbf,54000 lbf,3454 lbf,9500 lbf,2420 rpm,"Note: All units have a 1/8"" pipe thread grease fittingThe Maximum Permissible Thrust Load applies to conditions of slip fit with set screw mounting or in applications where a large moment loading occurs. The values shownare valid only when two collars and set screws are used.When heavy thrust forces are applied, the friction between the pillow block base may not be sufficient to prevent movement. Mechanical stops or shear bars withstrength sufficient to support the load should be added. Never weld the pillow block or bearing to secure it to the shaft or base.",,,,,,,,14.2 mm/9/16 in
ESA-P4BA-TRB-2 7/16,2 7/16 in,Imperial ,7-3/4 in,8-3/4 in,2-3/4 in,11600 lbf,2420 rpm,Grease - Premium Industrial ,,https://cad.timken.com/item/self-aligning-mounted-tapered-roller-bearings/-bearing-pillow-block-4-bolt-base-mounted-bearings/esa-p4ba-trb-2-7-16,2 7/16 in,Imperial,Grease - Premium Industrial,Type E Self-Aligning,Powder Coat,3-5/16 in,10-3/8 in,3-1/2 in,7-3/4 in,8-3/4 in,5/8 in,3/4 in,1-1/4 in,1-7/8 in,1-5/8 in,6-1/16 in,4-1/16 in,2-3/4 in,6-13/32 in,0.40,0.87,2.17,0.7,2.63,1.51,,54000 lbf,,,,"Note: All units have a 1/8"" pipe thread grease fittingThe Maximum Permissible Thrust Load applies to conditions of slip fit with set screw mounting or in applications where a large moment loading occurs. The values shownare valid only when two collars and set screws are used.When heavy thrust forces are applied, the friction between the pillow block base may not be sufficient to prevent movement. Mechanical stops or shear bars withstrength sufficient to support the load should be added. Never weld the pillow block or bearing to secure it to the shaft or base.",2 in,1-5/16 in,3-3/4 in,11600 lbf,3454 lbf,9500 lbf,2420 rpm,
ESA-P4BA-TRB-2 7/16E,2 7/16 in,Imperial ,7-3/4 in,8-3/4 in,2-3/4 in,11600 lbf,2420 rpm,Grease - Premium Industrial ,,https://cad.timken.com/item/self-aligning-mounted-tapered-roller-bearings/-bearing-pillow-block-4-bolt-base-mounted-bearings/esa-p4ba-trb-2-7-16e,2 7/16 in,Imperial,Grease - Premium Industrial,Type E Self-Aligning,Powder Coat,3-5/16 in,10-3/8 in,3-1/2 in,7-3/4 in,8-3/4 in,5/8 in,3/4 in,1-1/4 in,1-7/8 in,1-5/8 in,6-1/16 in,4-1/16 in,2-3/4 in,6-13/32 in,0.40,0.87,2.17,0.7,2.63,1.51,,54000 lbf,,,,"Note: All units have a 1/8"" pipe thread grease fittingThe Maximum Permissible Thrust Load applies to conditions of slip fit with set screw mounting or in applications where a large moment loading occurs. The values shownare valid only when two collars and set screws are used.When heavy thrust forces are applied, the friction between the pillow block base may not be sufficient to prevent movement. Mechanical stops or shear bars withstrength sufficient to support the load should be added. Never weld the pillow block or bearing to secure it to the shaft or base.",2 in,1-5/16 in,3-3/4 in,11600 lbf,3454 lbf,9500 lbf,2420 rpm,9/16 in
SAFSA-P4BA-TRB-2 7/16,2 7/16 in,Imperial ,7-15/16 in,9-11/16 in,3-1/4 in,11600 lbf,2420 rpm,Grease - Premium Industrial ,,https://cad.timken.com/item/self-aligning-mounted-tapered-roller-bearings/-bearing-pillow-block-4-bolt-base-mounted-bearings/safsa-p4ba-trb-2-7-16,2 7/16 in,Imperial,Grease - Premium Industrial,SAF Self-Aligning,Powder Coat,3-5/16 in,10-7/8 in,3-1/2 in,7-15/16 in,9-11/16 in,5/8 in,11/16 in,1-9/16 in,1-7/8 in,1-5/8 in,6-9/16 in,4-1/16 in,3-1/4 in,6-13/32 in,0.40,0.87,2.17,0.7,2.63,1.51,,54000 lbf,,,,"Note: All units have a 1/8"" pipe thread grease fittingThe Maximum Permissible Thrust Load applies to conditions of slip fit with set screw mounting or in applications where a large moment loading occurs. The values shownare valid only when two collars and set screws are used.When heavy thrust forces are applied, the friction between the pillow block base may not be sufficient to prevent movement. Mechanical stops or shear bars withstrength sufficient to support the load should be added. Never weld the pillow block or bearing to secure it to the shaft or base.",2 in,1-5/16 in,3-3/4 in,11600 lbf,3454 lbf,9500 lbf,2420 rpm,
SAFSA-P4BA-TRB-2 7/16E,2 7/16 in,Imperial ,7-15/16 in,9-11/16 in,3-1/4 in,11600 lbf,2420 rpm,Grease - Premium Industrial ,,https://cad.timken.com/item/self-aligning-mounted-tapered-roller-bearings/-bearing-pillow-block-4-bolt-base-mounted-bearings/safsa-p4ba-trb-2-7-16e,2 7/16 in,Imperial,Grease - Premium Industrial,SAF Self-Aligning,Powder Coat,3-5/16 in,10-7/8 in,3-1/2 in,7-15/16 in,9-11/16 in,5/8 in,11/16 in,1-9/16 in,1-7/8 in,1-5/8 in,6-9/16 in,4-1/16 in,3-1/4 in,6-13/32 in,0.40,0.87,2.17,0.7,2.63,1.51,,54000 lbf,,,,"Note: All units have a 1/8"" pipe thread grease fittingThe Maximum Permissible Thrust Load applies to conditions of slip fit with set screw mounting or in applications where a large moment loading occurs. The values shownare valid only when two collars and set screws are used.When heavy thrust forces are applied, the friction between the pillow block base may not be sufficient to prevent movement. Mechanical stops or shear bars withstrength sufficient to support the load should be added. Never weld the pillow block or bearing to secure it to the shaft or base.",2 in,1-5/16 in,3-3/4 in,11600 lbf,3454 lbf,9500 lbf,2420 rpm,9/16 in
KSA-P4BA-TRB-2 7/16,2 7/16 in,Imperial ,9-9/32 in,10-1/4 in,3-1/4 in,11600 lbf,2420 rpm,Grease - Premium Industrial ,,https://cad.timken.com/item/self-aligning-mounted-tapered-roller-bearings/-bearing-pillow-block-4-bolt-base-mounted-bearings/ksa-p4ba-trb-2-7-16,2 7/16 in,Imperial,Grease - Premium Industrial,Double Interlock Self-Aligning,Powder Coat,3-5/16 in,12 in,3-1/2 in,9-9/32 in,10-1/4 in,5/8 in,9/16 in,1-1/16 in,1-3/4 in,1-5/8 in,6-9/16 in,4-1/16 in,3-1/4 in,6-13/32 in,0.40,0.87,2.17,0.7,2.63,1.51,,54000 lbf,,,,"Note: All units have a 1/8"" pipe thread grease fittingThe Maximum Permissible Thrust Load applies to conditions of slip fit with set screw mounting or in applications where a large moment loading occurs. The values shownare valid only when two collars and set screws are used.When heavy thrust forces are applied, the friction between the pillow block base may not be sufficient to prevent movement. Mechanical stops or shear bars withstrength sufficient to support the load should be added. Never weld the pillow block or bearing to secure it to the shaft or base.",2 in,1-5/16 in,3-3/4 in,11600 lbf,3454 lbf,9500 lbf,2420 rpm,
KSA-P4BA-TRB-2 7/16E,2 7/16 in,Imperial ,9-9/32 in,10-1/4 in,3-1/4 in,11600 lbf,2420 rpm,Grease - Premium Industrial ,,https://cad.timken.com/item/self-aligning-mounted-tapered-roller-bearings/-bearing-pillow-block-4-bolt-base-mounted-bearings/ksa-p4ba-trb-2-7-16e,2 7/16 in,Imperial,Grease - Premium Industrial,Double Interlock Self-Aligning,Powder Coat,3-5/16 in,12 in,3-1/2 in,9-9/32 in,10-1/4 in,5/8 in,9/16 in,1-1/16 in,1-3/4 in,1-5/8 in,6-9/16 in,4-1/16 in,3-1/4 in,6-13/32 in,0.40,0.87,2.17,0.7,2.63,1.51,,54000 lbf,,,,"Note: All units have a 1/8"" pipe thread grease fittingThe Maximum Permissible Thrust Load applies to conditions of slip fit with set screw mounting or in applications where a large moment loading occurs. The values shownare valid only when two collars and set screws are used.When heavy thrust forces are applied, the friction between the pillow block base may not be sufficient to prevent movement. Mechanical stops or shear bars withstrength sufficient to support the load should be added. Never weld the pillow block or bearing to secure it to the shaft or base.",2 in,1-5/16 in,3-3/4 in,11600 lbf,3454 lbf,9500 lbf,2420 rpm,9/16 in
SNSA-P4BA-TRB-2 7/16E,2 7/16 in,Imperial ,201.6 mm / 7-15/16 in,246.1 mm / 9-11/16 in,80.2 mm / 3-5/32 in,11600 lbf,2420 rpm,Grease - Premium Industrial ,,https://cad.timken.com/item/self-aligning-mounted-tapered-roller-bearings/-bearing-pillow-block-4-bolt-base-mounted-bearings/snsa-p4ba-trb-2-7-16e,2 7/16 in,Imperial,Grease - Premium Industrial,SN Self-Aligning,Powder Coat,84.1 mm/3-5/16 in,276.2 mm/10-7/8 in,88.9 mm/3-1/2 in,201.6 mm/7-15/16 in,246.1 mm/9-11/16 in,12 mm/1/2 in,14.3 mm/9/16 in,36.5 mm/1-7/16 in,39.7 mm/1-9/16 in,38.9 mm/1-17/32 in,163.9 mm/6-29/64 in,103.2 mm/4-1/16 in,80.2 mm/3-5/32 in,162.7 mm/6-13/32 in,0.40,0.87,2.17,0.7,2.63,1.51,11600 lbf,54000 lbf,3454 lbf,9500 lbf,2420 rpm,"Note: All units have a 1/8"" pipe thread grease fittingThe Maximum Permissible Thrust Load applies to conditions of slip fit with set screw mounting or in applications where a large moment loading occurs. The values shownare valid only when two collars and set screws are used.When heavy thrust forces are applied, the friction between the pillow block base may not be sufficient to prevent movement. Mechanical stops or shear bars withstrength sufficient to support the load should be added. Never weld the pillow block or bearing to secure it to the shaft or base.",,,,,,,,14.2 mm/9/16 in
ESA-P4BA-TRB-2 1/2,2 1/2 in,Imperial ,7-3/4 in,8-3/4 in,2-3/4 in,11600 lbf,2420 rpm,Grease - Premium Industrial ,,https://cad.timken.com/item/self-aligning-mounted-tapered-roller-bearings/-bearing-pillow-block-4-bolt-base-mounted-bearings/esa-p4ba-trb-2-1-2,2 1/2 in,Imperial,Grease - Premium Industrial,Type E Self-Aligning,Powder Coat,3-5/16 in,10-3/8 in,3-1/2 in,7-3/4 in,8-3/4 in,5/8 in,3/4 in,1-1/4 in,1-7/8 in,1-5/8 in,6-1/16 in,4-1/16 in,2-3/4 in,6-13/32 in,0.40,0.87,2.17,0.7,2.63,1.51,,54000 lbf,,,,"Note: All units have a 1/8"" pipe thread grease fittingThe Maximum Permissible Thrust Load applies to conditions of slip fit with set screw mounting or in applications where a large moment loading occurs. The values shownare valid only when two collars and set screws are used.When heavy thrust forces are applied, the friction between the pillow block base may not be sufficient to prevent movement. Mechanical stops or shear bars withstrength sufficient to support the load should be added. Never weld the pillow block or bearing to secure it to the shaft or base.",2 in,1-5/16 in,3-3/4 in,11600 lbf,3454 lbf,9500 lbf,2420 rpm,
