Part Number,Bearing Number,Shaft Size,Base to Center Height,Bolt Spacing Min,Bolt Spacing Max,C0 - Static Load,C - Dynamic Load (Basic),CAD,Engineering Group,Bearing Number,Shaft Size,Shaft Size Type,Full Timken Part Number,Locking Style,Housing Construction,UPC Code,Dimension A,Dimension B,Dimension C,Dimension D Min,Dimension D Max,Dimension E,Dimension F,Dimension G,Dimension H,Dimension J (Bolt Size),Dimension L,Dimension RVV,Dimension SVV,C0 - Static Load,C - Dynamic Load (Basic),e - Geometry Factor,Y1 - Geometry Factor,Y2 - Geometry Factor,Oil Lubrication - M/N Seal,Oil Lubrication - T Seal,Oil Lubrication - B/C/O Seal,Grease Lubrication - M/N Seal,Grease Lubrication - T Seal,Grease Lubrication - B/C/O Seal,Float,Shaft Tolerance,Eng Internal Radial Clearance - Min,Eng Internal Radial Clearance - Max,Pre Install Clearance Min,Pre Install Clearance Max
QVVPG13V204S,22213 ,2 1/4 in,3.15 in / 80 mm,7.18 in / 182.4 mm,8.56 in / 217.4 mm,48600 lbf / 216000 N,46400 lbf / 206000 N,,Mounted Bearing,22213,2 1/4 in,Imperial,QVVPG13V204SB/QVVPG13V204SC/QVVPG13V204SEB/QVVPG13V204SEC/QVVPG13V204SEM/QVVPG13V204SEN/QVVPG13V204SEO/QVVPG13V204SET/QVVPG13V204SM/QVVPG13V204SN/QVVPG13V204SO/QVVPG13V204ST,Double V-Lock,Four-Bolt Pillow Block,0883450147651/0883450147903/0883450152723/0883450152877/0883450175036/0883450175180/0883450183932/0883450184922/0883450265065/0883450276696/0883450282680/0883450282833,3.15 in/80 mm,6.1 in/154.9 mm,3.16 in/80.3 mm,7.18 in/182.4 mm,8.56 in/217.4 mm,1.89 in/48 mm,10.31 in/261.9 mm,3.25 in/82.6 mm,1.38 in/35.1 mm,0.625 in/16 mm,3.64 in/92.5 mm,0.67 in/17 mm,4.02 in/102.1 mm,48600 lbf/216000 N,46400 lbf/206000 N,0.24,2.79,4.15,1800 rpm,3200 rpm,1500 rpm,1800 rpm,2800 rpm,1500 rpm,0.083 in/2.108 mm,0.0015 in/0.038 mm,0.0030,0.0037,0.0030 in/0.076 mm,0.0037 in/0.094 mm
QVVPH13V204S,22213 ,2 1/4 in,3 in / 76.2 mm,7.18 in / 182.4 mm,8.56 in / 217.4 mm,48600 lbf / 216000 N,46400 lbf / 206000 N,,Mounted Bearing,22213,2 1/4 in,Imperial,QVVPH13V204SB/QVVPH13V204SC/QVVPH13V204SEB/QVVPH13V204SEC/QVVPH13V204SEM/QVVPH13V204SEN/QVVPH13V204SEO/QVVPH13V204SET/QVVPH13V204SM/QVVPH13V204SN/QVVPH13V204SO/QVVPH13V204ST,Double V-Lock,Four-Bolt Pillow Block,0883450148641/0883450148832/0883450153331/0883450153485/0883450176323/0883450176521/0883450185530/0883450185684/0883450279086/0883450279239/0883450283281/0883450283434,3 in/76.2 mm,5.95 in/151.1 mm,3.16 in/80.3 mm,7.18 in/182.4 mm,8.56 in/217.4 mm,2 in/50.8 mm,10.31 in/261.9 mm,3.25 in/82.6 mm,1.23 in/31.2 mm,0.5 in/12 mm,3.64 in/92.5 mm,0.67 in/17 mm,4.02 in/102.1 mm,48600 lbf/216000 N,46400 lbf/206000 N,0.24,2.79,4.15,1800 rpm,3200 rpm,1500 rpm,1800 rpm,2800 rpm,1500 rpm,0.083 in/2.108 mm,0.0015 in/0.038 mm,0.0030,0.0037,0.0030 in/0.076 mm,0.0037 in/0.094 mm
QVVPF14V060S,22214 ,60 mm,2.75 in / 69.9 mm,6.88 in / 174.8 mm,7.63 in / 193.8 mm,52000 lbf / 231000 N,47800 lbf / 213000 N,,Mounted Bearing,22214,60 mm,Metric,QVVPF14V060SB/QVVPF14V060SC/QVVPF14V060SEB/QVVPF14V060SEC/QVVPF14V060SEM/QVVPF14V060SEN/QVVPF14V060SEO/QVVPF14V060SET/QVVPF14V060SM/QVVPF14V060SN/QVVPF14V060SO/QVVPF14V060ST,Double V-Lock,Four-Bolt Pillow Block,0883450074018/0883450074049/0883450074117/0883450173759/0883450173940/0883450174138/0883450203760/0883450204149/0883450216180/0883450216562/0883450228602/0883450228985,2.75 in/69.9 mm,5.8 in/147.3 mm,3.7 in/94 mm,6.88 in/174.8 mm,7.63 in/193.8 mm,1.75 in/44.5 mm,9.25 in/235 mm,3 in/76.2 mm,0.98 in/24.9 mm,0.625 in/16 mm,3.55 in/90.2 mm,0.6 in/15.2 mm,4.09 in/103.9 mm,52000 lbf/231000 N,47800 lbf/213000 N,0.23,2.90,4.32,1700 rpm,3050 rpm,1400 rpm,1700 rpm,2600 rpm,1400 rpm,0.083 in/2.108 mm,0.0015 in/0.038 mm,,,0.0030 in/0.075 mm,0.0037 in/0.095 mm
QVVPH15V060S,22215 ,60 mm,3.25 in / 82.6 mm,7.94 in / 201.7 mm,9.69 in / 246.1 mm,54100 lbf / 240000 N,49900 lbf / 222000 N,,Mounted Bearing,22215,60 mm,Metric,QVVPH15V060SB/QVVPH15V060SC/QVVPH15V060SEB/QVVPH15V060SEC/QVVPH15V060SEM/QVVPH15V060SEN/QVVPH15V060SEO/QVVPH15V060SET/QVVPH15V060SM/QVVPH15V060SN/QVVPH15V060SO/QVVPH15V060ST,Double V-Lock,Four-Bolt Pillow Block,0883450076128/0883450076135/0883450209090/0883450209243/0883450221528/0883450221672/0883450233958/0883450234108/0883450242691/0883450242844/0883450247658/0883450247801,3.25 in/82.6 mm,6.38 in/162.1 mm,3.7 in/94 mm,7.94 in/201.7 mm,9.69 in/246.1 mm,1.88 in/47.8 mm,10.88 in/276.4 mm,3.13 in/79.5 mm,1.29 in/32.8 mm,0.5 in/12 mm,3.61 in/91.7 mm,0.71 in/18 mm,4.09 in/103.9 mm,54100 lbf/240000 N,49900 lbf/222000 N,0.22,3.14,4.67,1600 rpm,2900 rpm,1300 rpm,1600 rpm,2400 rpm,1300 rpm,0.083 in/2.108 mm,0.0015 in/0.038 mm,0.0030,0.0037,0.0030 in/0.075 mm,0.0037 in/0.095 mm
QVVPR14V060S,22214 ,60 mm,2.75 in / 69.9 mm,7.13 in / 181.1 mm,8.75 in / 222.3 mm,52000 lbf / 231000 N,47800 lbf / 213000 N,,Mounted Bearing,22214,60 mm,Metric,QVVPR14V060SB/QVVPR14V060SC/QVVPR14V060SEB/QVVPR14V060SEC/QVVPR14V060SEM/QVVPR14V060SEN/QVVPR14V060SEO/QVVPR14V060SET/QVVPR14V060SM/QVVPR14V060SN/QVVPR14V060SO/QVVPR14V060ST,Double V-Lock,Four-Bolt Pillow Block,0883450080217/0883450080224/0883450080231/0883450175654/0883450175845/0883450176033/0883450204491/0883450204811/0883450216913/0883450217231/0883450229333/0883450229654,2.75 in/69.9 mm,5.8 in/147.3 mm,3.7 in/94 mm,7.13 in/181.1 mm,8.75 in/222.3 mm,1.88 in/47.8 mm,10.25 in/260.4 mm,3.25 in/82.6 mm,0.98 in/24.9 mm,0.625 in/16 mm,3.67 in/93.2 mm,0.6 in/15.2 mm,4.09 in/103.9 mm,52000 lbf/231000 N,47800 lbf/213000 N,0.23,2.90,4.32,1700 rpm,3050 rpm,1400 rpm,1700 rpm,2600 rpm,1400 rpm,0.083 in/2.108 mm,0.0015 in/0.038 mm,,,0.0030 in/0.075 mm,0.0037 in/0.095 mm
QVVPK15V060S,22215 ,60 mm,3.5 in / 88.9 mm,9.06 in / 230.1 mm,10.44 in / 265.2 mm,54100 lbf / 240000 N,49900 lbf / 222000 N,,Mounted Bearing,22215,60 mm,Metric,QVVPK15V060SB/QVVPK15V060SC/QVVPK15V060SEB/QVVPK15V060SEC/QVVPK15V060SEM/QVVPK15V060SEN/QVVPK15V060SEO/QVVPK15V060SET/QVVPK15V060SM/QVVPK15V060SN/QVVPK15V060SO/QVVPK15V060ST,Double V-Lock,Four-Bolt Pillow Block,0883450076463/0883450076470/0883450209502/0883450209625/0883450221900/0883450222051/0883450234399/0883450234542/0883450243070/0883450243223/0883450248037/0883450248181,3.5 in/88.9 mm,6.83 in/173.5 mm,3.7 in/94 mm,9.06 in/230.1 mm,10.44 in/265.2 mm,2.75 in/69.9 mm,13 in/330.2 mm,4.25 in/108 mm,1.54 in/39.1 mm,0.75 in/20 mm,4.17 in/105.9 mm,0.51 in/13 mm,4.09 in/103.9 mm,54100 lbf/240000 N,49900 lbf/222000 N,0.22,3.14,4.67,1600 rpm,2900 rpm,1300 rpm,1600 rpm,2400 rpm,1300 rpm,0.083 in/2.108 mm,0.0015 in/0.038 mm,0.0030,0.0037,0.0030 in/0.075 mm,0.0037 in/0.095 mm
QVVPX14V060S,22214 ,60 mm,3 in / 76.2 mm,6.94 in / 176.3 mm,9.56 in / 242.8 mm,52000 lbf / 231000 N,47800 lbf / 213000 N,,Mounted Bearing,22214,60 mm,Metric,QVVPX14V060SB/QVVPX14V060SC/QVVPX14V060SEB/QVVPX14V060SEC/QVVPX14V060SEM/QVVPX14V060SEN/QVVPX14V060SEO/QVVPX14V060SET/QVVPX14V060SM/QVVPX14V060SN/QVVPX14V060SO/QVVPX14V060ST,Double V-Lock,Four-Bolt Pillow Block,0883450370394/0883450370400/0883450370417/0883450370424/0883450370431/0883450370448/0883450370455/0883450370462/0883450370479/0883450370486/0883450370493/0883450370509,3 in/76.2 mm,6.05 in/153.7 mm,3.7 in/94 mm,6.94 in/176.3 mm,9.56 in/242.8 mm,2.63 in/66.8 mm,11.25 in/285.8 mm,3.88 in/98.6 mm,1.22 in/31 mm,0.625 in/16 mm,3.99 in/101.3 mm,0.6 in/15.2 mm,4.09 in/103.9 mm,52000 lbf/231000 N,47800 lbf/213000 N,0.23,2.90,4.32,1700 rpm,3050 rpm,1400 rpm,1700 rpm,2600 rpm,1400 rpm,0.083 in/2.108 mm,0.0015 in/0.038 mm,,,0.0030 in/0.075 mm,0.0037 in/0.095 mm
QVVPG14V060S,22214 ,60 mm,3.15 in / 80 mm,7.18 in / 182.4 mm,8.56 in / 217.4 mm,52000 lbf / 231000 N,47800 lbf / 213000 N,,Mounted Bearing,22214,60 mm,Metric,QVVPG14V060SB/QVVPG14V060SC/QVVPG14V060SEB/QVVPG14V060SEC/QVVPG14V060SEM/QVVPG14V060SEN/QVVPG14V060SEO/QVVPG14V060SET/QVVPG14V060SM/QVVPG14V060SN/QVVPG14V060SO/QVVPG14V060ST,Double V-Lock,Four-Bolt Pillow Block,883450424288/883450424295/883450424301/883450424318/883450424325/883450424332/883450424349/883450424356/883450424363/883450424370/883450424387/883450424394,3.15 in/80 mm,6.1 in/154.9 mm,3.7 in/94 mm,7.18 in/182.4 mm,8.56 in/217.4 mm,1.89 in/48 mm,10.31 in/261.9 mm,3.25 in/82.6 mm,1.38 in/35.1 mm,0.625 in/16 mm,3.67 in/93.2 mm,0.54 in/13.7 mm,4.09 in/103.9 mm,52000 lbf/231000 N,47800 lbf/213000 N,0.23,2.90,4.32,1700 rpm,3050 rpm,1400 rpm,1700 rpm,2600 rpm,1400 rpm,0.083 in/2.108 mm,0.0015 in/0.038 mm,0.0037,0.0047,0.0030 in/0.075 mm,0.0037 in/0.095 mm
QVVPF14V207S,22214 ,2 7/16 in,2.75 in / 69.9 mm,6.88 in / 174.8 mm,7.63 in / 193.8 mm,52000 lbf / 231000 N,47800 lbf / 213000 N,,Mounted Bearing,22214,2 7/16 in,Imperial,QVVPF14V207SB/QVVPF14V207SC/QVVPF14V207SEB/QVVPF14V207SEC/QVVPF14V207SEM/QVVPF14V207SEN/QVVPF14V207SEO/QVVPF14V207SET/QVVPF14V207SM/QVVPF14V207SN/QVVPF14V207SO/QVVPF14V207ST,Double V-Lock,Four-Bolt Pillow Block,0883450074315/0883450074346/0883450074414/0883450173766/0883450173957/0883450174145/0883450203777/0883450204156/0883450216197/0883450216579/0883450228619/0883450228992,2.75 in/69.9 mm,5.8 in/147.3 mm,3.7 in/94 mm,6.88 in/174.8 mm,7.63 in/193.8 mm,1.75 in/44.5 mm,9.25 in/235 mm,3 in/76.2 mm,0.98 in/24.9 mm,0.625 in/16 mm,3.55 in/90.2 mm,0.6 in/15.2 mm,4.09 in/103.9 mm,52000 lbf/231000 N,47800 lbf/213000 N,0.23,2.90,4.32,1700 rpm,3050 rpm,1400 rpm,1700 rpm,2600 rpm,1400 rpm,0.083 in/2.108 mm,0.0015 in/0.038 mm,,,0.0030 in/0.075 mm,0.0037 in/0.095 mm
QVVPG15V207S,22215 ,2 7/16 in,3.15 in / 80 mm,7.94 in / 201.7 mm,9.69 in / 246.1 mm,54100 lbf / 240000 N,49900 lbf / 222000 N,,Mounted Bearing,22215,2 7/16 in,Imperial,QVVPG15V207SB/QVVPG15V207SC/QVVPG15V207SEB/QVVPG15V207SEC/QVVPG15V207SEM/QVVPG15V207SEN/QVVPG15V207SEO/QVVPG15V207SET/QVVPG15V207SM/QVVPG15V207SN/QVVPG15V207SO/QVVPG15V207ST,Double V-Lock,Four-Bolt Pillow Block,0883450075824/0883450075831/0883450208802/0883450208956/0883450221238/0883450221382/0883450233668/0883450233811/0883450242400/0883450242554/0883450247368/0883450247511,3.15 in/80 mm,6.38 in/162.1 mm,3.7 in/94 mm,7.94 in/201.7 mm,9.69 in/246.1 mm,1.56 in/39.6 mm,10.88 in/276.4 mm,3.13 in/79.5 mm,1.19 in/30.2 mm,0.625 in/16 mm,3.61 in/91.7 mm,0.62 in/15.7 mm,4.09 in/103.9 mm,54100 lbf/240000 N,49900 lbf/222000 N,0.22,3.14,4.67,1600 rpm,2900 rpm,1300 rpm,1600 rpm,2400 rpm,1300 rpm,0.083 in/2.108 mm,0.0015 in/0.038 mm,0.0030,0.0037,0.0030 in/0.075 mm,0.0037 in/0.095 mm
