Part Number,Shaft Size,Shaft Size Type,Dimension L,Dimension A,C90 Dynamic Load Rating,Max. Speed,Lubrication,Housing Coating,CAD,Shaft Size,Shaft Size Type,UPC Code,Lubrication,Housing Coating,Dimension B,Dimension L,Dimension A,Dimension J Min.,Dimension J Max.,Bolt Diameter,Dimension N,Dimension N1,Dimension H1,Dimension H2,Dimension d1,Dimension H,e,X (if Fa/Fr ≤ e),Y (if Fa/Fr ≤ e),X (if Fa/Fr > e),Y (if Fa/Fr > e),K Factor,C90 Dynamic Load Rating1,C0 Static Load Rating,Fa-max Maximum Permissible Thrust Load2,Fr-max Maximum Allowable Slip Fit Radial Load3,Max. Speed4,Note,Type E Closed Cover Number,Dimension Ac,Dimension d2,Type E Open Cover Number
E-P2B-TRB-1 3/8-ECO,1 3/8 in,Imperial ,7-3/8 in,2-1/8 in,6100 lbf,3820 rpm,Grease - Premium Industrial ,E-Coat ,,['1 3/8 in'],['Imperial'],['0883450507141'],['Grease - Premium Industrial'],['E-Coat'],['3 in'],['7-3/8 in'],['2-1/8 in'],['5-5/8 in'],['5-7/8 in'],['1/2 in'],['5/8 in'],['3/4 in'],['1-1/8 in'],['3-3/4 in'],['2-3/4 in'],['1-7/8 in'],['0.46'],['0.87'],['1.89'],['0.7'],['2.28'],['1.31'],['6100 lbf'],['26000 lbf'],['2590 lbf'],['5000 lbf'],['3820 rpm'],"['Note: All units have a 1/8"" pipe thread grease fittingThe Maximum Permissible Thrust Load applies to conditions of slip fit with set screw mounting or in applications where a large moment loading occurs. The values shown\nare valid only when two collars and set screws are used.When heavy thrust forces are applied, the friction between the pillow block base may not be sufficient to prevent movement. Mechanical stops or shear bars with\nstrength sufficient to support the load should be added. Never weld the pillow block or bearing to secure it to the shaft or base.']",,['3.22 in'],['3.345 in'],['EUDR-1 3/8']
E-P2B-TRB-1 3/8-SLA,1 3/8 in,Imperial ,7-3/8 in,2-1/8 in,6100 lbf,3820 rpm,Solid Lube - Industrial ,E-Coat ,,['1 3/8 in'],['Imperial'],,['Solid Lube - Industrial'],['E-Coat'],['3 in'],['7-3/8 in'],['2-1/8 in'],['5-5/8 in'],['5-7/8 in'],['1/2 in'],['5/8 in'],['3/4 in'],['1-1/8 in'],['3-3/4 in'],['2-3/4 in'],['1-7/8 in'],['0.46'],['0.87'],['1.89'],['0.7'],['2.28'],['1.31'],['6100 lbf'],['26000 lbf'],['2590 lbf'],['5000 lbf'],['3820 rpm'],"['Note: All units have a 1/8"" pipe thread grease fittingThe Maximum Permissible Thrust Load applies to conditions of slip fit with set screw mounting or in applications where a large moment loading occurs. The values shown\nare valid only when two collars and set screws are used.When heavy thrust forces are applied, the friction between the pillow block base may not be sufficient to prevent movement. Mechanical stops or shear bars with\nstrength sufficient to support the load should be added. Never weld the pillow block or bearing to secure it to the shaft or base.']",,,,
E-P2B-TRB-1 3/8-SLJ,1 3/8 in,Imperial ,7-3/8 in,2-1/8 in,6100 lbf,3820 rpm,Solid Lube - Food Grade ,E-Coat ,,['1 3/8 in'],['Imperial'],,['Solid Lube - Food Grade'],['E-Coat'],['3 in'],['7-3/8 in'],['2-1/8 in'],['5-5/8 in'],['5-7/8 in'],['1/2 in'],['5/8 in'],['3/4 in'],['1-1/8 in'],['3-3/4 in'],['2-3/4 in'],['1-7/8 in'],['0.46'],['0.87'],['1.89'],['0.7'],['2.28'],['1.31'],['6100 lbf'],['26000 lbf'],['2590 lbf'],['5000 lbf'],['3820 rpm'],"['Note: All units have a 1/8"" pipe thread grease fittingThe Maximum Permissible Thrust Load applies to conditions of slip fit with set screw mounting or in applications where a large moment loading occurs. The values shown\nare valid only when two collars and set screws are used.When heavy thrust forces are applied, the friction between the pillow block base may not be sufficient to prevent movement. Mechanical stops or shear bars with\nstrength sufficient to support the load should be added. Never weld the pillow block or bearing to secure it to the shaft or base.']",,,,
E-P2B-TRB-35MM,35 mm,Metric ,7-3/8 in,2-1/8 in,6100 lbf,3820 rpm,Grease - Premium Industrial ,E-Coat ,,['35 mm'],['Metric'],['053893775425'],['Grease - Premium Industrial'],['E-Coat'],['3 in'],['7-3/8 in'],['2-1/8 in'],['5-5/8 in'],['5-7/8 in'],['1/2 in'],['5/8 in'],['3/4 in'],['1-1/8 in'],['3-3/4 in'],['2-3/4 in'],['1-7/8 in'],['0.46'],['0.87'],['1.89'],['0.7'],['2.28'],['1.31'],['6100 lbf'],['26000 lbf'],['2590 lbf'],['5000 lbf'],['3820 rpm'],"['Note: All units have a 1/8"" pipe thread grease fittingThe Maximum Permissible Thrust Load applies to conditions of slip fit with set screw mounting or in applications where a large moment loading occurs. The values shown\nare valid only when two collars and set screws are used.When heavy thrust forces are applied, the friction between the pillow block base may not be sufficient to prevent movement. Mechanical stops or shear bars with\nstrength sufficient to support the load should be added. Never weld the pillow block or bearing to secure it to the shaft or base.']",,,,
E-P2B-TRB-35MM-ECC,35 mm,Metric ,7-3/8 in,2-1/8 in,6100 lbf,3820 rpm,Grease - Premium Industrial ,E-Coat ,,['35 mm'],['Metric'],['0883450504072'],['Grease - Premium Industrial'],['E-Coat'],['3 in'],['7-3/8 in'],['2-1/8 in'],['5-5/8 in'],['5-7/8 in'],['1/2 in'],['5/8 in'],['3/4 in'],['1-1/8 in'],['3-3/4 in'],['2-3/4 in'],['1-7/8 in'],['0.46'],['0.87'],['1.89'],['0.7'],['2.28'],['1.31'],['6100 lbf'],['26000 lbf'],['2590 lbf'],['5000 lbf'],['3820 rpm'],"['Note: All units have a 1/8"" pipe thread grease fittingThe Maximum Permissible Thrust Load applies to conditions of slip fit with set screw mounting or in applications where a large moment loading occurs. The values shown\nare valid only when two collars and set screws are used.When heavy thrust forces are applied, the friction between the pillow block base may not be sufficient to prevent movement. Mechanical stops or shear bars with\nstrength sufficient to support the load should be added. Never weld the pillow block or bearing to secure it to the shaft or base.']",['EUC-B'],['3.12 in'],['3.345 in'],
E-P2B-TRB-35MM-ECO/ECC,35 mm,Metric ,7-3/8 in,2-1/8 in,6100 lbf,3820 rpm,Grease - Premium Industrial ,E-Coat ,,['35 mm'],['Metric'],['0883450505703'],['Grease - Premium Industrial'],['E-Coat'],['3 in'],['7-3/8 in'],['2-1/8 in'],['5-5/8 in'],['5-7/8 in'],['1/2 in'],['5/8 in'],['3/4 in'],['1-1/8 in'],['3-3/4 in'],['2-3/4 in'],['1-7/8 in'],['0.46'],['0.87'],['1.89'],['0.7'],['2.28'],['1.31'],['6100 lbf'],['26000 lbf'],['2590 lbf'],['5000 lbf'],['3820 rpm'],"['Note: All units have a 1/8"" pipe thread grease fittingThe Maximum Permissible Thrust Load applies to conditions of slip fit with set screw mounting or in applications where a large moment loading occurs. The values shown\nare valid only when two collars and set screws are used.When heavy thrust forces are applied, the friction between the pillow block base may not be sufficient to prevent movement. Mechanical stops or shear bars with\nstrength sufficient to support the load should be added. Never weld the pillow block or bearing to secure it to the shaft or base.']",['EUC-B'],['4.215 in'],['3.345 in'],['EUDR-35MM']
E-P2B-TRB-35MM-ECO/ECO,35 mm,Metric ,7-3/8 in,2-1/8 in,6100 lbf,3820 rpm,Grease - Premium Industrial ,E-Coat ,,['35 mm'],['Metric'],['0883450508933'],['Grease - Premium Industrial'],['E-Coat'],['3 in'],['7-3/8 in'],['2-1/8 in'],['5-5/8 in'],['5-7/8 in'],['1/2 in'],['5/8 in'],['3/4 in'],['1-1/8 in'],['3-3/4 in'],['2-3/4 in'],['1-7/8 in'],['0.46'],['0.87'],['1.89'],['0.7'],['2.28'],['1.31'],['6100 lbf'],['26000 lbf'],['2590 lbf'],['5000 lbf'],['3820 rpm'],"['Note: All units have a 1/8"" pipe thread grease fittingThe Maximum Permissible Thrust Load applies to conditions of slip fit with set screw mounting or in applications where a large moment loading occurs. The values shown\nare valid only when two collars and set screws are used.When heavy thrust forces are applied, the friction between the pillow block base may not be sufficient to prevent movement. Mechanical stops or shear bars with\nstrength sufficient to support the load should be added. Never weld the pillow block or bearing to secure it to the shaft or base.']",,['4.315 in'],['3.345 in'],['EUDR-35MM']
E-P2B-TRB-35MM-ECO,35 mm,Metric ,7-3/8 in,2-1/8 in,6100 lbf,3820 rpm,Grease - Premium Industrial ,E-Coat ,,['35 mm'],['Metric'],['0883450507301'],['Grease - Premium Industrial'],['E-Coat'],['3 in'],['7-3/8 in'],['2-1/8 in'],['5-5/8 in'],['5-7/8 in'],['1/2 in'],['5/8 in'],['3/4 in'],['1-1/8 in'],['3-3/4 in'],['2-3/4 in'],['1-7/8 in'],['0.46'],['0.87'],['1.89'],['0.7'],['2.28'],['1.31'],['6100 lbf'],['26000 lbf'],['2590 lbf'],['5000 lbf'],['3820 rpm'],"['Note: All units have a 1/8"" pipe thread grease fittingThe Maximum Permissible Thrust Load applies to conditions of slip fit with set screw mounting or in applications where a large moment loading occurs. The values shown\nare valid only when two collars and set screws are used.When heavy thrust forces are applied, the friction between the pillow block base may not be sufficient to prevent movement. Mechanical stops or shear bars with\nstrength sufficient to support the load should be added. Never weld the pillow block or bearing to secure it to the shaft or base.']",,['3.22 in'],['3.345 in'],['EUDR-35MM']
E-P2B-TRB-35MM-SLA,35 mm,Metric ,7-3/8 in,2-1/8 in,6100 lbf,3820 rpm,Solid Lube - Industrial ,E-Coat ,,['35 mm'],['Metric'],,['Solid Lube - Industrial'],['E-Coat'],['3 in'],['7-3/8 in'],['2-1/8 in'],['5-5/8 in'],['5-7/8 in'],['1/2 in'],['5/8 in'],['3/4 in'],['1-1/8 in'],['3-3/4 in'],['2-3/4 in'],['1-7/8 in'],['0.46'],['0.87'],['1.89'],['0.7'],['2.28'],['1.31'],['6100 lbf'],['26000 lbf'],['2590 lbf'],['5000 lbf'],['3820 rpm'],"['Note: All units have a 1/8"" pipe thread grease fittingThe Maximum Permissible Thrust Load applies to conditions of slip fit with set screw mounting or in applications where a large moment loading occurs. The values shown\nare valid only when two collars and set screws are used.When heavy thrust forces are applied, the friction between the pillow block base may not be sufficient to prevent movement. Mechanical stops or shear bars with\nstrength sufficient to support the load should be added. Never weld the pillow block or bearing to secure it to the shaft or base.']",,,,
E-P2B-TRB-35MM-SLJ,35 mm,Metric ,7-3/8 in,2-1/8 in,6100 lbf,3820 rpm,Solid Lube - Food Grade ,E-Coat ,,['35 mm'],['Metric'],,['Solid Lube - Food Grade'],['E-Coat'],['3 in'],['7-3/8 in'],['2-1/8 in'],['5-5/8 in'],['5-7/8 in'],['1/2 in'],['5/8 in'],['3/4 in'],['1-1/8 in'],['3-3/4 in'],['2-3/4 in'],['1-7/8 in'],['0.46'],['0.87'],['1.89'],['0.7'],['2.28'],['1.31'],['6100 lbf'],['26000 lbf'],['2590 lbf'],['5000 lbf'],['3820 rpm'],"['Note: All units have a 1/8"" pipe thread grease fittingThe Maximum Permissible Thrust Load applies to conditions of slip fit with set screw mounting or in applications where a large moment loading occurs. The values shown\nare valid only when two collars and set screws are used.When heavy thrust forces are applied, the friction between the pillow block base may not be sufficient to prevent movement. Mechanical stops or shear bars with\nstrength sufficient to support the load should be added. Never weld the pillow block or bearing to secure it to the shaft or base.']",,,,
E-P2B-TRB-1 7/16,1 7/16 in,Imperial ,7-3/8 in,2-1/8 in,6100 lbf,3820 rpm,Grease - Premium Industrial ,E-Coat ,,['1 7/16 in'],['Imperial'],['053893606538'],['Grease - Premium Industrial'],['E-Coat'],['3 in'],['7-3/8 in'],['2-1/8 in'],['5-5/8 in'],['5-7/8 in'],['1/2 in'],['5/8 in'],['3/4 in'],['1-1/8 in'],['3-3/4 in'],['2-3/4 in'],['1-7/8 in'],['0.46'],['0.87'],['1.89'],['0.7'],['2.28'],['1.31'],['6100 lbf'],['26000 lbf'],['2590 lbf'],['5000 lbf'],['3820 rpm'],"['Note: All units have a 1/8"" pipe thread grease fittingThe Maximum Permissible Thrust Load applies to conditions of slip fit with set screw mounting or in applications where a large moment loading occurs. The values shown\nare valid only when two collars and set screws are used.When heavy thrust forces are applied, the friction between the pillow block base may not be sufficient to prevent movement. Mechanical stops or shear bars with\nstrength sufficient to support the load should be added. Never weld the pillow block or bearing to secure it to the shaft or base.']",,,,
E-P2B-TRB-1 7/16-ECC,1 7/16 in,Imperial ,7-3/8 in,2-1/8 in,6100 lbf,3820 rpm,Grease - Premium Industrial ,E-Coat ,,['1 7/16 in'],['Imperial'],['0883450503938'],['Grease - Premium Industrial'],['E-Coat'],['3 in'],['7-3/8 in'],['2-1/8 in'],['5-5/8 in'],['5-7/8 in'],['1/2 in'],['5/8 in'],['3/4 in'],['1-1/8 in'],['3-3/4 in'],['2-3/4 in'],['1-7/8 in'],['0.46'],['0.87'],['1.89'],['0.7'],['2.28'],['1.31'],['6100 lbf'],['26000 lbf'],['2590 lbf'],['5000 lbf'],['3820 rpm'],"['Note: All units have a 1/8"" pipe thread grease fittingThe Maximum Permissible Thrust Load applies to conditions of slip fit with set screw mounting or in applications where a large moment loading occurs. The values shown\nare valid only when two collars and set screws are used.When heavy thrust forces are applied, the friction between the pillow block base may not be sufficient to prevent movement. Mechanical stops or shear bars with\nstrength sufficient to support the load should be added. Never weld the pillow block or bearing to secure it to the shaft or base.']",['EUC-B'],['3.12 in'],['3.345 in'],
E-P2B-TRB-1 7/16-ECO/ECC,1 7/16 in,Imperial ,7-3/8 in,2-1/8 in,6100 lbf,3820 rpm,Grease - Premium Industrial ,E-Coat ,,['1 7/16 in'],['Imperial'],['0883450505567'],['Grease - Premium Industrial'],['E-Coat'],['3 in'],['7-3/8 in'],['2-1/8 in'],['5-5/8 in'],['5-7/8 in'],['1/2 in'],['5/8 in'],['3/4 in'],['1-1/8 in'],['3-3/4 in'],['2-3/4 in'],['1-7/8 in'],['0.46'],['0.87'],['1.89'],['0.7'],['2.28'],['1.31'],['6100 lbf'],['26000 lbf'],['2590 lbf'],['5000 lbf'],['3820 rpm'],"['Note: All units have a 1/8"" pipe thread grease fittingThe Maximum Permissible Thrust Load applies to conditions of slip fit with set screw mounting or in applications where a large moment loading occurs. The values shown\nare valid only when two collars and set screws are used.When heavy thrust forces are applied, the friction between the pillow block base may not be sufficient to prevent movement. Mechanical stops or shear bars with\nstrength sufficient to support the load should be added. Never weld the pillow block or bearing to secure it to the shaft or base.']",['EUC-B'],['4.215 in'],['3.345 in'],['EUDR-1 7/16']
E-P2B-TRB-1 7/16-ECO/ECO,1 7/16 in,Imperial ,7-3/8 in,2-1/8 in,6100 lbf,3820 rpm,Grease - Premium Industrial ,E-Coat ,,['1 7/16 in'],['Imperial'],['0883450508797'],['Grease - Premium Industrial'],['E-Coat'],['3 in'],['7-3/8 in'],['2-1/8 in'],['5-5/8 in'],['5-7/8 in'],['1/2 in'],['5/8 in'],['3/4 in'],['1-1/8 in'],['3-3/4 in'],['2-3/4 in'],['1-7/8 in'],['0.46'],['0.87'],['1.89'],['0.7'],['2.28'],['1.31'],['6100 lbf'],['26000 lbf'],['2590 lbf'],['5000 lbf'],['3820 rpm'],"['Note: All units have a 1/8"" pipe thread grease fittingThe Maximum Permissible Thrust Load applies to conditions of slip fit with set screw mounting or in applications where a large moment loading occurs. The values shown\nare valid only when two collars and set screws are used.When heavy thrust forces are applied, the friction between the pillow block base may not be sufficient to prevent movement. Mechanical stops or shear bars with\nstrength sufficient to support the load should be added. Never weld the pillow block or bearing to secure it to the shaft or base.']",,['4.315 in'],['3.345 in'],['EUDR-1 7/16']
E-P2B-TRB-1 7/16-ECO,1 7/16 in,Imperial ,7-3/8 in,2-1/8 in,6100 lbf,3820 rpm,Grease - Premium Industrial ,E-Coat ,,['1 7/16 in'],['Imperial'],['0883450507165'],['Grease - Premium Industrial'],['E-Coat'],['3 in'],['7-3/8 in'],['2-1/8 in'],['5-5/8 in'],['5-7/8 in'],['1/2 in'],['5/8 in'],['3/4 in'],['1-1/8 in'],['3-3/4 in'],['2-3/4 in'],['1-7/8 in'],['0.46'],['0.87'],['1.89'],['0.7'],['2.28'],['1.31'],['6100 lbf'],['26000 lbf'],['2590 lbf'],['5000 lbf'],['3820 rpm'],"['Note: All units have a 1/8"" pipe thread grease fittingThe Maximum Permissible Thrust Load applies to conditions of slip fit with set screw mounting or in applications where a large moment loading occurs. The values shown\nare valid only when two collars and set screws are used.When heavy thrust forces are applied, the friction between the pillow block base may not be sufficient to prevent movement. Mechanical stops or shear bars with\nstrength sufficient to support the load should be added. Never weld the pillow block or bearing to secure it to the shaft or base.']",,['3.22 in'],['3.345 in'],['EUDR-1 7/16']
